household_id,individual_id,bi2_hhm_new,bi3_hhm_stillm,bi4_hhm_gender,bi5_hhm_age,bi5_hhm_age_months,bi6_hhm_relhhh,bi6_hhm_relhhh_other,key,roster_key,submissiondate
010101088800910017,1,No,Yes,Female,40,,1. Head,,uuid:9f9e2807-9483-47cd-a431-1a33bf5f01c5,uuid:9f9e2807-9483-47cd-a431-1a33bf5f01c5/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-04-28T16:43:56Z
010101088800910017,2,No,Yes,Female,15,,3. Son/Daughter,,uuid:9f9e2807-9483-47cd-a431-1a33bf5f01c5,uuid:9f9e2807-9483-47cd-a431-1a33bf5f01c5/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-04-28T16:43:56Z
010101088800910017,3,No,Yes,Female,10,,3. Son/Daughter,,uuid:9f9e2807-9483-47cd-a431-1a33bf5f01c5,uuid:9f9e2807-9483-47cd-a431-1a33bf5f01c5/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[3],2020-04-28T16:43:56Z
010101088800910017,4,No,Yes,Male,8,,3. Son/Daughter,,uuid:9f9e2807-9483-47cd-a431-1a33bf5f01c5,uuid:9f9e2807-9483-47cd-a431-1a33bf5f01c5/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[4],2020-04-28T16:43:56Z
010101088800910017,5,No,Yes,Male,5,,3. Son/Daughter,,uuid:9f9e2807-9483-47cd-a431-1a33bf5f01c5,uuid:9f9e2807-9483-47cd-a431-1a33bf5f01c5/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[5],2020-04-28T16:43:56Z
010101088800910029,1,No,Yes,Female,20,,1. Head,,uuid:67526976-19b4-4df0-8b7e-340971cb1e00,uuid:67526976-19b4-4df0-8b7e-340971cb1e00/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-05-06T15:10:52Z
010101088800910029,2,No,Yes,Male,1,8,3. Son/Daughter,,uuid:67526976-19b4-4df0-8b7e-340971cb1e00,uuid:67526976-19b4-4df0-8b7e-340971cb1e00/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-05-06T15:10:52Z
010101088800910054,1,No,Yes,Female,30,,1. Head,,uuid:9ad61c4b-bbf6-4209-8b3e-b650d8fc5cd3,uuid:9ad61c4b-bbf6-4209-8b3e-b650d8fc5cd3/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-05-06T15:11:32Z
010101088800910054,2,No,Yes,Female,8,,3. Son/Daughter,,uuid:9ad61c4b-bbf6-4209-8b3e-b650d8fc5cd3,uuid:9ad61c4b-bbf6-4209-8b3e-b650d8fc5cd3/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-05-06T15:11:32Z
010101088800910054,3,No,Yes,Male,2,8,3. Son/Daughter,,uuid:9ad61c4b-bbf6-4209-8b3e-b650d8fc5cd3,uuid:9ad61c4b-bbf6-4209-8b3e-b650d8fc5cd3/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[3],2020-05-06T15:11:32Z
010101088800910082,1,No,Yes,Male,33,,1. Head,,uuid:245cfe28-b34d-4311-b502-51ac369e8c03,uuid:245cfe28-b34d-4311-b502-51ac369e8c03/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-05-06T15:12:18Z
010101088800910082,2,No,Yes,Female,27,,2. Spouse,,uuid:245cfe28-b34d-4311-b502-51ac369e8c03,uuid:245cfe28-b34d-4311-b502-51ac369e8c03/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-05-06T15:12:18Z
010101088800910082,3,No,Yes,Female,6,,3. Son/Daughter,,uuid:245cfe28-b34d-4311-b502-51ac369e8c03,uuid:245cfe28-b34d-4311-b502-51ac369e8c03/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[3],2020-05-06T15:12:18Z
010101088800910082,4,No,Yes,Male,3,6,3. Son/Daughter,,uuid:245cfe28-b34d-4311-b502-51ac369e8c03,uuid:245cfe28-b34d-4311-b502-51ac369e8c03/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[4],2020-05-06T15:12:18Z
010101088800910082,5,No,Yes,Female,0,11,3. Son/Daughter,,uuid:245cfe28-b34d-4311-b502-51ac369e8c03,uuid:245cfe28-b34d-4311-b502-51ac369e8c03/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[5],2020-05-06T15:12:18Z
010101088800910093,1,No,Yes,Female,53,,1. Head,,uuid:04407a46-7c0b-4cbb-a6cb-eeb85a2e4bb5,uuid:04407a46-7c0b-4cbb-a6cb-eeb85a2e4bb5/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-04-25T14:11:39Z
010101088800910093,2,No,Yes,Female,18,,3. Son/Daughter,,uuid:04407a46-7c0b-4cbb-a6cb-eeb85a2e4bb5,uuid:04407a46-7c0b-4cbb-a6cb-eeb85a2e4bb5/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-04-25T14:11:39Z
010101088800910093,3,No,Yes,Female,22,,3. Son/Daughter,,uuid:04407a46-7c0b-4cbb-a6cb-eeb85a2e4bb5,uuid:04407a46-7c0b-4cbb-a6cb-eeb85a2e4bb5/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[3],2020-04-25T14:11:39Z
010101088800910093,4,No,Yes,Male,20,,3. Son/Daughter,,uuid:04407a46-7c0b-4cbb-a6cb-eeb85a2e4bb5,uuid:04407a46-7c0b-4cbb-a6cb-eeb85a2e4bb5/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[4],2020-04-25T14:11:39Z
010101088800910093,5,No,Yes,Female,10,,3. Son/Daughter,,uuid:04407a46-7c0b-4cbb-a6cb-eeb85a2e4bb5,uuid:04407a46-7c0b-4cbb-a6cb-eeb85a2e4bb5/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[5],2020-04-25T14:11:39Z
010101088800910093,6,Yes,Yes,Male,14,,4. Grandchild,,uuid:04407a46-7c0b-4cbb-a6cb-eeb85a2e4bb5,uuid:04407a46-7c0b-4cbb-a6cb-eeb85a2e4bb5/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[6],2020-04-25T14:11:39Z
010102088801010034,1,No,Yes,Female,33,,1. Head,,uuid:80e073ad-f55c-43ac-a7b3-4471f59c66d2,uuid:80e073ad-f55c-43ac-a7b3-4471f59c66d2/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-05-06T15:16:04Z
010102088801010034,2,No,Yes,Male,16,,3. Son/Daughter,,uuid:80e073ad-f55c-43ac-a7b3-4471f59c66d2,uuid:80e073ad-f55c-43ac-a7b3-4471f59c66d2/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-05-06T15:16:04Z
010102088801010034,3,No,Yes,Male,8,,3. Son/Daughter,,uuid:80e073ad-f55c-43ac-a7b3-4471f59c66d2,uuid:80e073ad-f55c-43ac-a7b3-4471f59c66d2/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[3],2020-05-06T15:16:04Z
010102088801010035,1,No,Yes,Female,27,,1. Head,,uuid:0013a717-5804-40ac-9280-a9eb09228ff8,uuid:0013a717-5804-40ac-9280-a9eb09228ff8/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-04-23T15:20:38Z
010102088801010035,2,No,Yes,Female,7,,3. Son/Daughter,,uuid:0013a717-5804-40ac-9280-a9eb09228ff8,uuid:0013a717-5804-40ac-9280-a9eb09228ff8/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-04-23T15:20:38Z
010102088801010048,1,No,Yes,Female,36,,1. Head,,uuid:93988629-13f7-40ed-93ed-ef175fac77a7,uuid:93988629-13f7-40ed-93ed-ef175fac77a7/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-04-28T21:40:39Z
010102088801010048,2,No,Yes,Male,17,,3. Son/Daughter,,uuid:93988629-13f7-40ed-93ed-ef175fac77a7,uuid:93988629-13f7-40ed-93ed-ef175fac77a7/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-04-28T21:40:39Z
010102088801010048,3,No,Yes,Male,10,,3. Son/Daughter,,uuid:93988629-13f7-40ed-93ed-ef175fac77a7,uuid:93988629-13f7-40ed-93ed-ef175fac77a7/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[3],2020-04-28T21:40:39Z
010102088801010090,1,No,Yes,Female,21,,1. Head,,uuid:15a62881-e5df-48c3-8af1-451f93c4220c,uuid:15a62881-e5df-48c3-8af1-451f93c4220c/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-04-24T14:18:33Z
010102088801010104,1,No,Yes,Female,29,,1. Head,,uuid:4d39fc16-642c-4aef-bcf1-1955ab68e592,uuid:4d39fc16-642c-4aef-bcf1-1955ab68e592/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-04-28T16:48:34Z
010102088801010104,2,No,Yes,Male,1,11,3. Son/Daughter,,uuid:4d39fc16-642c-4aef-bcf1-1955ab68e592,uuid:4d39fc16-642c-4aef-bcf1-1955ab68e592/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-04-28T16:48:34Z
010102088801010113,1,No,Yes,Female,37,,1. Head,,uuid:4b1f4bd6-44eb-4d48-94e9-6a9943996a5d,uuid:4b1f4bd6-44eb-4d48-94e9-6a9943996a5d/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-04-24T14:17:07Z
010102088801010113,2,No,Yes,Male,15,,3. Son/Daughter,,uuid:4b1f4bd6-44eb-4d48-94e9-6a9943996a5d,uuid:4b1f4bd6-44eb-4d48-94e9-6a9943996a5d/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-04-24T14:17:07Z
010102088801010113,3,No,Yes,Female,11,,3. Son/Daughter,,uuid:4b1f4bd6-44eb-4d48-94e9-6a9943996a5d,uuid:4b1f4bd6-44eb-4d48-94e9-6a9943996a5d/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[3],2020-04-24T14:17:07Z
010102088801010148,1,No,Yes,Male,50,,1. Head,,uuid:8ec758db-7472-416e-9653-df49ed84b29d,uuid:8ec758db-7472-416e-9653-df49ed84b29d/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-04-23T15:20:38Z
010102088801010148,2,No,Yes,Female,38,,2. Spouse,,uuid:8ec758db-7472-416e-9653-df49ed84b29d,uuid:8ec758db-7472-416e-9653-df49ed84b29d/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-04-23T15:20:38Z
010102088801010148,3,No,Yes,Female,23,,3. Son/Daughter,,uuid:8ec758db-7472-416e-9653-df49ed84b29d,uuid:8ec758db-7472-416e-9653-df49ed84b29d/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[3],2020-04-23T15:20:38Z
010102088801010148,6,No,Yes,Male,16,,3. Son/Daughter,,uuid:8ec758db-7472-416e-9653-df49ed84b29d,uuid:8ec758db-7472-416e-9653-df49ed84b29d/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[4],2020-04-23T15:20:38Z
010102088801010148,7,No,Yes,Male,14,,3. Son/Daughter,,uuid:8ec758db-7472-416e-9653-df49ed84b29d,uuid:8ec758db-7472-416e-9653-df49ed84b29d/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[5],2020-04-23T15:20:38Z
010102088801010148,8,No,Yes,Female,11,,3. Son/Daughter,,uuid:8ec758db-7472-416e-9653-df49ed84b29d,uuid:8ec758db-7472-416e-9653-df49ed84b29d/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[6],2020-04-23T15:20:38Z
010102088801010148,9,No,Yes,Male,5,,3. Son/Daughter,,uuid:8ec758db-7472-416e-9653-df49ed84b29d,uuid:8ec758db-7472-416e-9653-df49ed84b29d/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[7],2020-04-23T15:20:38Z
010102088801010148,10,No,Yes,Female,8,,3. Son/Daughter,,uuid:8ec758db-7472-416e-9653-df49ed84b29d,uuid:8ec758db-7472-416e-9653-df49ed84b29d/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[8],2020-04-23T15:20:38Z
010102088801010173,1,No,Yes,Male,70,,1. Head,,uuid:acd32fac-61d6-4f1b-aaa2-fa50ae2a4c66,uuid:acd32fac-61d6-4f1b-aaa2-fa50ae2a4c66/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-04-25T16:10:58Z
010102088801010173,2,No,Yes,Male,21,,3. Son/Daughter,,uuid:acd32fac-61d6-4f1b-aaa2-fa50ae2a4c66,uuid:acd32fac-61d6-4f1b-aaa2-fa50ae2a4c66/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-04-25T16:10:58Z
010102088801010173,4,No,Yes,Female,17,,3. Son/Daughter,,uuid:acd32fac-61d6-4f1b-aaa2-fa50ae2a4c66,uuid:acd32fac-61d6-4f1b-aaa2-fa50ae2a4c66/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[3],2020-04-25T16:10:58Z
010102088801010173,5,No,Yes,Female,13,,3. Son/Daughter,,uuid:acd32fac-61d6-4f1b-aaa2-fa50ae2a4c66,uuid:acd32fac-61d6-4f1b-aaa2-fa50ae2a4c66/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[4],2020-04-25T16:10:58Z
010102088801010173,6,No,Yes,Male,6,,4. Grandchild,,uuid:acd32fac-61d6-4f1b-aaa2-fa50ae2a4c66,uuid:acd32fac-61d6-4f1b-aaa2-fa50ae2a4c66/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[5],2020-04-25T16:10:58Z
010102088801010173,7,Yes,Yes,Male,16,,3. Son/Daughter,,uuid:acd32fac-61d6-4f1b-aaa2-fa50ae2a4c66,uuid:acd32fac-61d6-4f1b-aaa2-fa50ae2a4c66/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[6],2020-04-25T16:10:58Z
010103088800709056,1,No,Yes,Male,44,,1. Head,,uuid:60fa5372-8fac-4c9f-8fc8-3dc16ebefe6d,uuid:60fa5372-8fac-4c9f-8fc8-3dc16ebefe6d/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-04-23T16:35:42Z
010103088800709056,2,No,Yes,Female,35,,2. Spouse,,uuid:60fa5372-8fac-4c9f-8fc8-3dc16ebefe6d,uuid:60fa5372-8fac-4c9f-8fc8-3dc16ebefe6d/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-04-23T16:35:42Z
010103088800709056,3,No,Yes,Female,18,,3. Son/Daughter,,uuid:60fa5372-8fac-4c9f-8fc8-3dc16ebefe6d,uuid:60fa5372-8fac-4c9f-8fc8-3dc16ebefe6d/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[3],2020-04-23T16:35:42Z
010103088800709056,4,No,Yes,Female,14,,3. Son/Daughter,,uuid:60fa5372-8fac-4c9f-8fc8-3dc16ebefe6d,uuid:60fa5372-8fac-4c9f-8fc8-3dc16ebefe6d/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[4],2020-04-23T16:35:42Z
010103088800709056,5,No,Yes,Male,10,,3. Son/Daughter,,uuid:60fa5372-8fac-4c9f-8fc8-3dc16ebefe6d,uuid:60fa5372-8fac-4c9f-8fc8-3dc16ebefe6d/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[5],2020-04-23T16:35:42Z
