household_id,ii4_resp_id,phw2,cs4_sector,cs5_eaid,cs6_hhid,cs7_hhh_id,cs1_region,cs2_zoneid,cs3_woredaid,cs3c_cityid,cs3c_subcityid,cs3b_kebeleid,ea_id,cs_startdate,cs_submissiondate,cs7a_hhh_gender,cs7a_hhh_age,cs12_round,ii1_attempt,ii4_resp_same,ii4_resp_gender,ii4_resp_age,ii4_resp_relhhh,bi_same_hhh,ac1_atb_med,ac2_atb_med_why,ac2_atb_med_why_other,ac1_atb_teff,ac2_atb_teff_why,ac2_atb_teff_why_other,ac1_atb_wheat,ac2_atb_wheat_why,ac2_atb_wheat_why_other,ac1_atb_maize,ac2_atb_maize_why,ac2_atb_maize_why_other,ac1_atb_oil,ac2_atb_oil_why,ac2_atb_oil_why_other,ac3_sch_child,ac4_2_edu,ac5_edu_type,ac5_edu_type_1,ac5_edu_type_2,ac5_edu_type_3,ac5_edu_type_4,ac5_edu_type_5,ac5_edu_type__96,ac5_edu_type__98,ac5_edu_type__99,ac5_edu_type_other,ac6_med,ac7_med_access,ac8_med_access_reas,ac8_med_access_reas_other,ac9_bank,em1_work_cur,em6_work_cur_act,em6_work_cur_act_other,em7_work_cur_status,em7_work_cur_status_other,em8_work_cur_same,em9_work_change_why,em9_work_change_why_other,em2_work_pre,em3_work_no_why,em3_work_no_why_other,em4_work_pre_act,em4_work_pre_act_other,em5_work_pre_status,em5_work_pre_status_other,em12_work_cur_able,em13_work_cur_notable_paid,em14_work_cur_notable_why,em14_work_cur_notable_why_other,em15_bus,em15a_bus_prev,em15b_bus_prev_closed,em15b_bus_prev_closed_other,em15c_bus_new,em16_bus_sector,em16_bus_sector_other,em17_bus_inc,em18_bus_inc_low_amt,em19_bus_inc_low_why,em19_bus_inc_low_why_1,em19_bus_inc_low_why_2,em19_bus_inc_low_why_3,em19_bus_inc_low_why_4,em19_bus_inc_low_why_5,em19_bus_inc_low_why_6,em19_bus_inc_low_why_7,em19_bus_inc_low_why__98,em19_bus_inc_low_why__99,em19_bus_inc_low_why__96,em19_bus_inc_low_why_other,em20_farm,em21_farm_norm,em22_farm_norm_why,em22_farm_norm_why_1,em22_farm_norm_why_2,em22_farm_norm_why_3,em22_farm_norm_why_4,em22_farm_norm_why_5,em22_farm_norm_why_6,em22_farm_norm_why_7,em22_farm_norm_why__98,em22_farm_norm_why__99,em22_farm_norm_why__96,em22_farm_norm_why_other,em23_we,em24_we_layoff,em25_we_layoff_covid,lc1_farm,lc2_farm_chg,lc1_bus,lc2_bus_chg,lc1_we,lc2_we_chg,lc1_rem_dom,lc2_rem_dom_chg,lc1_rem_for,lc2_rem_for_chg,lc1_isp,lc2_isp_chg,lc1_pen,lc2_pen_chg,lc1_gov,lc2_gov_chg,lc1_ngo,lc2_ngo_chg,lc1_other,lc1_other_source,lc2_other_chg,lc3_total_chg,lc4_total_chg_cope,lc4_total_chg_cope_1,lc4_total_chg_cope_2,lc4_total_chg_cope_3,lc4_total_chg_cope_4,lc4_total_chg_cope_5,lc4_total_chg_cope_6,lc4_total_chg_cope_7,lc4_total_chg_cope_8,lc4_total_chg_cope_9,lc4_total_chg_cope_10,lc4_total_chg_cope_11,lc4_total_chg_cope_12,lc4_total_chg_cope_13,lc4_total_chg_cope_14,lc4_total_chg_cope_15,lc4_total_chg_cope_0,lc4_total_chg_cope__98,lc4_total_chg_cope__99,lc4_total_chg_cope__96,lc4_total_chg_cope_other,fi1_enough,fi2_healthy,fi3_fewkinds,fi4_skipmeal,fi5_ateless,fi6_noteatfullday,fi7_outoffood,fi8_hungrynoteat,as1_assist_type,as1_assist_type_1,as1_assist_type_2,as1_assist_type_3,as1_assist_type_0,as1_assist_type__98,as1_assist_type__99,as1_assist_type__96,as1_assist_type_other,as3_food_value,as2_food_psnp,as4_food_source,as4_food_source_other,as3_forwork_value_food,as3_forwork_value_cash,as2_forwork_psnp,as4_forwork_source,as4_forwork_source_other,as3_cash_value,as2_cash_psnp,as4_cash_source,as4_cash_source_other,as3_other_value,as2_other_psnp,as4_other_source,as4_other_source_other,ir1_endearly,ir1_whyendearly,ir1_whyendearly_other,ir_lang,ir_understand,ir_confident,key
010101088800910017,1,6015.95751953125,Rural,10,17,1,Tigray,1,1,8,88,9,010101088800910,2020-05-21T10:17:45Z,2020-05-21T15:14:49Z,Female,40,Round 2,3,1,Female,40,1. Head,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Yes,,,Yes,No,,,,,,,,,,,Yes,Yes,,,No,No,,,,,,,,No,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Reduced,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,No,,,Tigrinya,Displayed no problems speaking or understanding the language,Very confident,uuid:1f9f958c-c46a-4b86-ad50-01d98755498f
010101088800910029,1,7622.49951171875,Rural,10,29,1,Tigray,1,1,8,88,9,010101088800910,2020-05-27T08:30:05Z,2020-05-27T18:52:01Z,Female,20,Round 2,7,1,Female,20,1. Head,Yes,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Not Applicable (did not need to buy wheat in any form),,,Yes,,,Yes,,,,,,,,,,,,,,,No,,,,"Yes, and successfully received the service",No,,,,,,,,Yes,Temporarily absent,,Agriculture,,Self-Employed,,,,,,No,No,Seasonal closure,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,No,,No,,No,,Yes,Reduced,No,,No,,No,,No,,No,,No,,,Reduced,4 9,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,0,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,No,,,Tigrinya,Displayed no problems speaking or understanding the language,Very confident,uuid:edccb6ff-b10a-4c8d-b896-c747b120d088
010101088800910054,1,8636.837890625,Rural,10,54,1,Tigray,1,1,8,88,9,010101088800910,2020-05-27T08:41:44Z,2020-05-27T18:52:10Z,Female,30,Round 2,7,1,Female,30,1. Head,Yes,Not Applicable (did not need to buy medicine),,,Yes,,,Yes,,,Not Applicable (did not need to buy maize),,,Yes,,,Yes,No,,,,,,,,,,,No,,,,No,No,,,,,,,,No,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,No,,No,,No,,Yes,Stayed the same,No,,No,,No,,No,,No,,No,,,Reduced,11,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,Yes,No,Yes,No,0,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,No,,,Tigrinya,Displayed no problems speaking or understanding the language,Very confident,uuid:0abd3efb-5f87-44bd-93bb-c1e6faa94a33
010101088800910082,1,4370.23291015625,Rural,10,82,1,Tigray,1,1,8,88,9,010101088800910,2020-05-27T08:53:48Z,2020-05-27T18:52:18Z,Male,33,Round 2,7,1,Male,33,1. Head,Yes,Yes,,,Yes,,,Yes,,,Yes,,,Yes,,,No,,,,,,,,,,,,Yes,Yes,,,"Yes, and successfully received the service",No,,,,,,,,Yes,Temporarily absent,,Wholesale and retail trade,,Self-Employed,,,,,,No,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Reduced,4 11,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,Yes,Yes,Yes,No,0,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,No,,,Tigrinya,Displayed no problems speaking or understanding the language,Very confident,uuid:8ae4e757-e998-4c59-8785-929883688295
010101088800910093,1,5069.48486328125,Rural,10,93,1,Tigray,1,1,8,88,9,010101088800910,2020-05-16T10:24:54Z,2020-05-16T12:01:47Z,Female,53,Round 2,2,1,Female,53,1. Head,Yes,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Yes,,,Yes,,,Yes,,,No,,,,,,,,,,,,No,,,,No,No,,,,,,,,No,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Yes,No,,No,,Yes,Total (100%) loss,No,,No,,No,,No,,No,,No,,No,,No,,,Reduced,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,Yes,No,Yes,No,Yes,No,Yes,No,0,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,No,,,Tigrinya,Displayed no problems speaking or understanding the language,Very confident,uuid:ae810c2d-ebbc-42f0-a38c-6de99504f422
010102088801010034,1,13092.078125,Rural,10,34,1,Tigray,1,2,8,88,10,010102088801010,2020-05-26T11:47:53Z,2020-05-26T17:16:24Z,Female,33,Round 2,3,1,Female,33,1. Head,Yes,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Yes,,,Not Applicable (did not need to buy maize),,,Yes,,,Yes,No,,,,,,,,,,,No,,,,"Yes, and successfully received the service",Yes,Agriculture,,Self-Employed,,Yes,,,,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,No,,Yes,Reduced,No,,No,,No,,No,,No,,No,,No,,No,,,Reduced,11,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,No,,,Tigrinya,Displayed no problems speaking or understanding the language,Very confident,uuid:241172eb-0087-4a1b-8200-edf2a35b78a5
010102088801010035,1,14693.7138671875,Rural,10,35,1,Tigray,1,2,8,88,10,010102088801010,2020-05-15T12:28:11Z,2020-05-15T13:25:26Z,Female,27,Round 2,3,1,Female,27,1. Head,Yes,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Not Applicable (did not need to buy wheat in any form),,,Not Applicable (did not need to buy maize),,,Not Applicable (did not need to buy edible oil),,,Yes,No,,,,,,,,,,,No,,,,No,No,,,,,,,,No,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Total (100%) loss,3,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,No,,,Tigrinya,Displayed no problems speaking or understanding the language,Very confident,uuid:0d82787a-17e7-434e-89e2-d22b2bc475aa
010102088801010048,1,5314.6689453125,Rural,10,48,1,Tigray,1,2,8,88,10,010102088801010,2020-05-18T10:32:56Z,2020-05-18T18:32:10Z,Female,36,Round 2,2,1,Female,36,1. Head,Yes,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Not Applicable (did not need to buy wheat in any form),,,Not Applicable (did not need to buy maize),,,Yes,,,Yes,Yes,4,No,No,No,Yes,No,No,No,No,,No,,,,No,Yes,Wholesale and retail trade,,Self-Employed,,Yes,,,,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,No,,Yes,Stayed the same,No,,No,,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,No,No,No,Yes,Yes,0,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,No,,,Tigrinya,Displayed no problems speaking or understanding the language,Very confident,uuid:88290034-5e4e-44ff-abcb-a15afb26938a
010102088801010090,1,6297.40673828125,Rural,10,90,1,Tigray,1,2,8,88,10,010102088801010,2020-05-16T09:22:11Z,2020-05-16T11:59:18Z,Female,21,Round 2,3,1,Female,21,1. Head,Yes,Not Applicable (did not need to buy medicine),,,Yes,,,Not Applicable (did not need to buy wheat in any form),,,Yes,,,Not Applicable (did not need to buy edible oil),,,,,,,,,,,,,,,No,,,,"Yes, and successfully received the service",No,,,,,,,,No,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,,No,,No,,Yes,Stayed the same,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,Yes,No,0,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,No,,,Tigrinya,Displayed no problems speaking or understanding the language,Very confident,uuid:875b91d8-84d7-4d1e-95cc-ff4f1d6593e9
010102088801010104,1,15186.8544921875,Rural,10,104,1,Tigray,1,2,8,88,10,010102088801010,2020-05-21T10:44:39Z,2020-05-21T15:15:26Z,Female,29,Round 2,2,1,Female,29,1. Head,Yes,Not Applicable (did not need to buy medicine),,,Yes,,,Not Applicable (did not need to buy wheat in any form),,,Yes,,,Yes,,,,,,,,,,,,,,,No,,,,"Yes, and successfully received the service",No,,,,,,,,No,,,,,,,,,,,No,No,Seasonal closure,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,No,,No,,No,,Yes,Stayed the same,No,,No,,No,,No,,No,,No,,,Reduced,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,No,No,No,No,No,No,No,No,0,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident,uuid:41a5d131-4c52-4c4b-ba58-ad3a90fc5283
