household_id,phw6,key,ea_id,cs_startdate,cs_submissiondate,cs1_region,cs2_zoneid,cs3_woredaid,cs3c_cityid,cs3c_subcityid,cs3b_kebeleid,cs4_sector,cs5_eaid,cs6_hhid,cs7_hhh_id,cs7a_hhh_gender,cs7a_hhh_age,cs12_round,ii1_attempt,ii4_resp_same,ii4_resp_id,ii4_resp_gender,ii4_resp_age,ii4_resp_relhhh,bi_same_hhh,bh1_handwash,bh2_handwash_freq,bh3_handshake,bh4_gatherings,bh5_mask,bh6_cov_fear,bh7_cov_fin,bh8_cov_test,bh9_cov_vaccine,bh10_cov_vaccine_why,bh10_cov_vaccine_why_1,bh10_cov_vaccine_why_2,bh10_cov_vaccine_why_3,bh10_cov_vaccine_why_4,bh10_cov_vaccine_why_5,bh10_cov_vaccine_why__96,bh10_cov_vaccine_why_other,ac1_atb_med,ac2_atb_med_why,ac2_atb_med_why_other,ac1_atb_teff,ac2_atb_teff_why,ac2_atb_teff_why_other,ac1_atb_wheat,ac2_atb_wheat_why,ac2_atb_wheat_why_other,ac1_atb_maize,ac2_atb_maize_why,ac2_atb_maize_why_other,ac1_atb_oil,ac2_atb_oil_why,ac2_atb_oil_why_other,ac6_med,ac7_med_access,ac8_med_access_reas,ac8_med_access_reas_other,ac9_bank,em1_work_cur,em2_work_pre,em3_work_no_why,em3_work_no_why_other,em4_work_pre_act,em4_work_pre_act_other,em5_work_pre_status,em5_work_pre_status_other,em6_work_cur_act,em6_work_cur_act_other,em7_work_cur_status,em7_work_cur_status_other,em8_work_cur_same,em9_work_change_why,em9_work_change_why_other,em12_work_cur_able,em13_work_cur_notable_paid,em14_work_cur_notable_why,em14_work_cur_notable_why_other,em15_bus,em15a_bus_prev,em15b_bus_prev_closed,em15b_bus_prev_closed_other,em15c_bus_new,em16_bus_sector,em16_bus_sector_other,em17_bus_inc,em18_bus_inc_low_amt,em19_bus_inc_low_why,em19_bus_inc_low_why_1,em19_bus_inc_low_why_2,em19_bus_inc_low_why_3,em19_bus_inc_low_why_4,em19_bus_inc_low_why_5,em19_bus_inc_low_why_6,em19_bus_inc_low_why_7,em19_bus_inc_low_why__96,em19_bus_inc_low_why__98,em19_bus_inc_low_why__99,em19_bus_inc_low_why_other,em20_farm,em21_farm_norm,em22_farm_norm_why,em22_farm_norm_why_1,em22_farm_norm_why_2,em22_farm_norm_why_3,em22_farm_norm_why_4,em22_farm_norm_why_5,em22_farm_norm_why_6,em22_farm_norm_why_7,em22_farm_norm_why__96,em22_farm_norm_why__98,em22_farm_norm_why__99,em22_farm_norm_why_other,em23_we,em24_we_layoff,em25_we_layoff_covid,lc1_farm,lc2_farm_chg,lc1_bus,lc2_bus_chg,lc1_we,lc2_we_chg,lc1_rem_for,lc2_rem_for_chg,lc1_rem_dom,lc2_rem_dom_chg,lc1_isp,lc2_isp_chg,lc1_pen,lc2_pen_chg,lc1_gov,lc2_gov_chg,lc1_ngo,lc2_ngo_chg,lc1_other,lc1_other_source,lc2_other_chg,lc3_total_chg,lc4_total_chg_cope,lc4_total_chg_cope_1,lc4_total_chg_cope_2,lc4_total_chg_cope_3,lc4_total_chg_cope_4,lc4_total_chg_cope_5,lc4_total_chg_cope_6,lc4_total_chg_cope_7,lc4_total_chg_cope_8,lc4_total_chg_cope_9,lc4_total_chg_cope_10,lc4_total_chg_cope_11,lc4_total_chg_cope_12,lc4_total_chg_cope_13,lc4_total_chg_cope_14,lc4_total_chg_cope_15,lc4_total_chg_cope__96,lc4_total_chg_cope_0,lc4_total_chg_cope__98,lc4_total_chg_cope__99,lc4_total_chg_cope_other,fi1_enough,fi2_healthy,fi3_fewkinds,fi4_skipmeal,fi5_ateless,fi6_noteatfullday,fi7_outoffood,fi8_hungrynoteat,as1_assist_type,as1_assist_type_1,as1_assist_type_2,as1_assist_type_3,as1_assist_type__96,as1_assist_type_0,as1_assist_type__98,as1_assist_type__99,as1_assist_type_other,as3_food_value,as2_food_psnp,as4_food_source,as4_food_source_other,as3_forwork_value_food,as3_forwork_value_cash,as2_forwork_psnp,as4_forwork_source,as4_forwork_source_other,as3_cash_value,as2_cash_psnp,as4_cash_source,as4_cash_source_other,as3_other_value,as2_other_psnp,as4_other_source,as4_other_source_other,as5_assist_fair,as6_assist_tension,ag1_crops,ag2_crops_able,ag3_crops_reas,ag3_crops_reas_1,ag3_crops_reas_2,ag3_crops_reas_3,ag3_crops_reas_4,ag3_crops_reas_5,ag3_crops_reas_6,ag3_crops_reas_7,ag3_crops_reas_8,ag3_crops_reas_9,ag3_crops_reas__96,ag3_crops_reas__98,ag3_crops_reas__99,ag3_crops_reas_other,ag4_crops_reas_fert,ag4_crops_reas_fert_other,ag5_crops_reas_seeds,ag5_crops_reas_seeds_other,ag6_ext_need,ag7_ext_receive,lo1_keb,lo2_farm,lo3_impact,lo3_impact_1,lo3_impact_2,lo3_impact_3,lo3_impact_4,lo3_impact__99,lo4_destr,lo5_sprayed,ir1_endearly,ir1_whyendearly,ir1_whyendearly_other,ir_lang,ir_understand,ir_confident,roster_key,roster_count
010101088800910082,6050.16845703125,uuid:8dbdad0c-684d-4d24-9d13-0fbde980e4ee,10101088800910,2020-10-08T08:27:53Z,2020-10-08T17:45:00Z,Tigray,1,1,8,88,9,Rural,10,82,1,Male,33,Round 6,6,1,1,1,33,1,Yes,Yes,All of the time,Yes,Yes,All of the time,Very worried,A substantial threat,I will definitely get tested,Yes,,,,,,,,,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Not Applicable (did not need to buy wheat in any form),,,Not Applicable (did not need to buy maize),,,Not Applicable (did not need to buy edible oil),,,No,,,,No,Yes,Yes,,,Agriculture,,Self-Employed,,Agriculture,,Self-Employed,,Yes,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,No,No,No,Yes,No,0,No,No,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,Community does not receive assistance,,Yes,Yes,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,No,,,Tigrinya,Displayed no problems speaking or understanding the language,Very confident,uuid:8dbdad0c-684d-4d24-9d13-0fbde980e4eecorrect_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],
010102088801010035,12419.5400390625,uuid:7e607780-7079-4e5e-a296-3fa82fad7115,10102088801010,2020-09-23T08:15:47Z,2020-09-23T11:21:00Z,Tigray,1,2,8,88,10,Rural,10,35,1,Female,26,Round 6,4,1,1,2,26,1,Yes,Yes,All of the time,Yes,Yes,All of the time,Very worried,A substantial threat,I will definitely get tested,Yes,,,,,,,,,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Not Applicable (did not need to buy wheat in any form),,,Not Applicable (did not need to buy maize),,,Not Applicable (did not need to buy edible oil),,,No,,,,No,No,No,,,,,,,,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,Yes,Yes,"No, does not have a farm",,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,No,,,Tigrinya,Displayed no problems speaking or understanding the language,Very confident,uuid:7e607780-7079-4e5e-a296-3fa82fad7115correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],
010102088801010090,7235.787109375,uuid:515bcff2-2f97-4b28-bd15-d56a9b6c67c5,10102088801010,2020-09-29T17:41:59Z,2020-09-29T17:36:00Z,Tigray,1,2,8,88,10,Rural,10,90,1,Female,21,Round 6,1,1,1,2,21,1,Yes,Yes,All of the time,Yes,Yes,All of the time,Very worried,A substantial threat,I will definitely get tested,Yes,,,,,,,,,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Yes,,,Not Applicable (did not need to buy maize),,,Yes,,,No,,,,No,No,No,,,,,,,,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,Yes,Stayed the same,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,No,Yes,Yes,Yes,No,No,Yes,No,0,No,No,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,Yes,Yes,"No, does not have a farm",,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,,,,No,No,,,Tigrinya,Displayed no problems speaking or understanding the language,Very confident,uuid:515bcff2-2f97-4b28-bd15-d56a9b6c67c5correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],
010102088801010104,18124.728515625,uuid:30bf5f3f-d28f-4b15-83b6-cdd2b4fb1656,10102088801010,2020-09-26T14:20:02Z,2020-09-27T10:50:00Z,Tigray,1,2,8,88,10,Rural,10,104,1,Female,32,Round 6,2,1,1,2,32,1,Yes,Yes,All of the time,Yes,Yes,All of the time,Very worried,A substantial threat,I will definitely get tested,Yes,,,,,,,,,Yes,,,Not Applicable (did not need to buy teff or injera),,,Yes,,,Not Applicable (did not need to buy maize),,,Yes,,,No,,,,No,No,No,,,,,,,,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,No,No,No,Yes,No,0,No,No,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,No,,,Tigrinya,Displayed no problems speaking or understanding the language,Very confident,uuid:30bf5f3f-d28f-4b15-83b6-cdd2b4fb1656correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],
010102088801010113,5971.68505859375,uuid:4ee8ad30-e3cf-4b3c-a0f9-196b7d736f83,10102088801010,2020-09-22T11:02:05Z,2020-09-22T18:27:00Z,Tigray,1,2,8,88,10,Rural,10,113,1,Female,36,Round 6,1,1,1,2,36,1,Yes,Yes,All of the time,Yes,Yes,All of the time,Very worried,A substantial threat,I will definitely get tested,Yes,,,,,,,,,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Not Applicable (did not need to buy wheat in any form),,,Yes,,,Yes,,,No,,,,No,No,No,,,,,,,,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,No,No,Yes,No,0,No,No,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,Community does not receive assistance,,"No, does not have a farm",,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,No,,,Tigrinya,Displayed no problems speaking or understanding the language,Very confident,uuid:4ee8ad30-e3cf-4b3c-a0f9-196b7d736f83correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],
010102088801010148,7235.787109375,uuid:0f5e84f3-fe38-4b74-a25b-fc05cee5b4f8,10102088801010,2020-09-26T13:10:42Z,2020-09-27T10:50:00Z,Tigray,1,2,8,88,10,Rural,10,148,1,Male,58,Round 6,4,1,1,1,58,1,Yes,Yes,All of the time,Yes,Yes,All of the time,Very worried,A substantial threat,I will definitely get tested,Yes,,,,,,,,,Yes,,,Not Applicable (did not need to buy teff or injera),,,Yes,,,Not Applicable (did not need to buy maize),,,Yes,,,No,,,,No,Yes,Yes,,,Agriculture,,Self-Employed,,Agriculture,,Self-Employed,,Yes,,,,,,,Yes,Yes,,,,Agriculture,,The same as usual,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,No,,,Yes,Stayed the same,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,0,No,No,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,No,Yes,No,,,,,,,,,,No,,,Tigrinya,Displayed no problems speaking or understanding the language,Very confident,uuid:0f5e84f3-fe38-4b74-a25b-fc05cee5b4f8correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],
010102088801010173,10293.0556640625,uuid:7f124d55-48a6-4c3b-829e-b3abad57a18c,10102088801010,2020-09-24T12:38:10Z,2020-09-24T18:35:00Z,Tigray,1,2,8,88,10,Rural,10,173,1,Male,70,Round 6,1,1,1,1,70,1,Yes,Yes,All of the time,Yes,Yes,All of the time,Very worried,A substantial threat,I will definitely get tested,Yes,,,,,,,,,Yes,,,Not Applicable (did not need to buy teff or injera),,,Not Applicable (did not need to buy wheat in any form),,,Yes,,,Yes,,,No,,,,No,Yes,Yes,,,Agriculture,,Casual Worker,,Agriculture,,Casual Worker,,Yes,,,,,,,No,No,No customers,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,No,,,Yes,Stayed the same,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,Yes,No,0,No,No,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,No,,,Tigrinya,Displayed no problems speaking or understanding the language,Very confident,uuid:7f124d55-48a6-4c3b-829e-b3abad57a18ccorrect_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],
010103088800709056,4915.1005859375,uuid:bee0f2c4-8e81-4952-9125-a86ca199cb69,10103088800709,2020-09-24T12:55:55Z,2020-09-24T18:35:00Z,Tigray,1,3,8,88,7,Rural,9,56,1,Male,47,Round 6,5,1,1,1,47,1,Yes,Yes,All of the time,Yes,Yes,All of the time,Very worried,A substantial threat,I will definitely get tested,Yes,,,,,,,,,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Yes,,,Yes,,,Not Applicable (did not need to buy edible oil),,,No,,,,No,Yes,Yes,,,Agriculture,,Self-Employed,,Agriculture,,Self-Employed,,Yes,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,No,No,No,Yes,No,0,No,No,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,Community does not receive assistance,,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,No,,,Tigrinya,Displayed no problems speaking or understanding the language,Very confident,uuid:bee0f2c4-8e81-4952-9125-a86ca199cb69correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],
010103088800709072,5923.1015625,uuid:3f8b82ee-6c5d-4adb-8278-80952ea147c9,10103088800709,2020-09-24T09:55:32Z,2020-09-24T11:06:00Z,Tigray,1,3,8,88,7,Rural,9,72,1,Male,45,Round 6,1,1,1,1,45,1,Yes,Yes,All of the time,Yes,Yes,All of the time,Very worried,A substantial threat,I will definitely get tested,Yes,,,,,,,,,Not Applicable (did not need to buy medicine),,,Yes,,,Yes,,,Yes,,,Yes,,,No,,,,No,Yes,Yes,,,Construction,,Employee (Private Sector),,Construction,,Employee (Private Sector),,Yes,,,Yes,,,,No,,,,No,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,No,,,Yes,Stayed the same,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,No,No,Yes,No,0,No,No,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,No,,,Tigrinya,Displayed no problems speaking or understanding the language,Very confident,uuid:3f8b82ee-6c5d-4adb-8278-80952ea147c9correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],
010104010100101028,4793.62890625,uuid:8f7943c2-f8b1-4bc6-9b25-60f8e3691427,10104010100101,2020-10-01T04:18:06Z,2020-10-01T08:40:00Z,Tigray,1,4,1,1,1,Urban,1,28,1,Female,40,Round 6,1,1,1,2,40,1,Yes,Yes,All of the time,Yes,Yes,About half of the time,Very worried,A substantial threat,I will definitely get tested,Yes,,,,,,,,,Yes,,,Yes,,,Yes,,,Yes,,,Yes,,,No,,,,"Yes, and successfully received the service",No,No,,,,,,,,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Yes,No,,Yes,Stayed the same,No,,Yes,Stayed the same,No,,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,0,No,No,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,Community does not receive assistance,,"No, does not have a farm",,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,No,,,Tigrinya,Displayed no problems speaking or understanding the language,Very confident,uuid:8f7943c2-f8b1-4bc6-9b25-60f8e3691427correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],
