household_id,individual_id,bi2_hhm_new,bi3_hhm_stillm,bi4_hhm_gender,bi5_hhm_age,bi5_hhm_age_months,bi6_hhm_relhhh,bi6_hhm_relhhh_other,bi7_hhm_reas,bi7_hhm_reas_other,bi8_hhm_where,key,roster_key,submissiondate
010101088800910082,1,No,Yes,Male,33,,Head,,,,,uuid:8dbdad0c-684d-4d24-9d13-0fbde980e4ee,uuid:8dbdad0c-684d-4d24-9d13-0fbde980e4ee/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-10-08T17:45:00Z
010101088800910082,2,No,Yes,Female,27,,Spouse,,,,,uuid:8dbdad0c-684d-4d24-9d13-0fbde980e4ee,uuid:8dbdad0c-684d-4d24-9d13-0fbde980e4ee/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-10-08T17:45:00Z
010101088800910082,3,No,Yes,Female,6,,Son/Daughter,,,,,uuid:8dbdad0c-684d-4d24-9d13-0fbde980e4ee,uuid:8dbdad0c-684d-4d24-9d13-0fbde980e4ee/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[3],2020-10-08T17:45:00Z
010101088800910082,4,No,Yes,Male,3,6,Son/Daughter,,,,,uuid:8dbdad0c-684d-4d24-9d13-0fbde980e4ee,uuid:8dbdad0c-684d-4d24-9d13-0fbde980e4ee/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[4],2020-10-08T17:45:00Z
010101088800910082,5,No,Yes,Female,0,11,Son/Daughter,,,,,uuid:8dbdad0c-684d-4d24-9d13-0fbde980e4ee,uuid:8dbdad0c-684d-4d24-9d13-0fbde980e4ee/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[5],2020-10-08T17:45:00Z
010102088801010035,1,No,Yes,Female,26,,Head,,,,,uuid:7e607780-7079-4e5e-a296-3fa82fad7115,uuid:7e607780-7079-4e5e-a296-3fa82fad7115/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-09-23T11:21:00Z
010102088801010090,1,No,Yes,Female,21,,Head,,,,,uuid:515bcff2-2f97-4b28-bd15-d56a9b6c67c5,uuid:515bcff2-2f97-4b28-bd15-d56a9b6c67c5/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-09-29T17:36:00Z
010102088801010104,1,No,Yes,Female,32,,Head,,,,,uuid:30bf5f3f-d28f-4b15-83b6-cdd2b4fb1656,uuid:30bf5f3f-d28f-4b15-83b6-cdd2b4fb1656/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-09-27T10:50:00Z
010102088801010104,2,No,Yes,Male,2,7,Son/Daughter,,,,,uuid:30bf5f3f-d28f-4b15-83b6-cdd2b4fb1656,uuid:30bf5f3f-d28f-4b15-83b6-cdd2b4fb1656/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-09-27T10:50:00Z
010102088801010113,1,No,Yes,Female,36,,Head,,,,,uuid:4ee8ad30-e3cf-4b3c-a0f9-196b7d736f83,uuid:4ee8ad30-e3cf-4b3c-a0f9-196b7d736f83/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-09-22T18:27:00Z
010102088801010113,2,No,Yes,Male,16,,Son/Daughter,,,,,uuid:4ee8ad30-e3cf-4b3c-a0f9-196b7d736f83,uuid:4ee8ad30-e3cf-4b3c-a0f9-196b7d736f83/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-09-22T18:27:00Z
010102088801010113,3,No,Yes,Female,13,,Son/Daughter,,,,,uuid:4ee8ad30-e3cf-4b3c-a0f9-196b7d736f83,uuid:4ee8ad30-e3cf-4b3c-a0f9-196b7d736f83/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[3],2020-09-22T18:27:00Z
010102088801010148,1,No,Yes,Male,58,,Head,,,,,uuid:0f5e84f3-fe38-4b74-a25b-fc05cee5b4f8,uuid:0f5e84f3-fe38-4b74-a25b-fc05cee5b4f8/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-09-27T10:50:00Z
010102088801010148,2,No,Yes,Female,40,,Spouse,,,,,uuid:0f5e84f3-fe38-4b74-a25b-fc05cee5b4f8,uuid:0f5e84f3-fe38-4b74-a25b-fc05cee5b4f8/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-09-27T10:50:00Z
010102088801010148,5,No,Yes,Male,17,,Son/Daughter,,,,,uuid:0f5e84f3-fe38-4b74-a25b-fc05cee5b4f8,uuid:0f5e84f3-fe38-4b74-a25b-fc05cee5b4f8/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[3],2020-09-27T10:50:00Z
010102088801010148,6,No,Yes,Male,16,,Son/Daughter,,,,,uuid:0f5e84f3-fe38-4b74-a25b-fc05cee5b4f8,uuid:0f5e84f3-fe38-4b74-a25b-fc05cee5b4f8/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[4],2020-09-27T10:50:00Z
010102088801010148,7,No,Yes,Male,14,,Son/Daughter,,,,,uuid:0f5e84f3-fe38-4b74-a25b-fc05cee5b4f8,uuid:0f5e84f3-fe38-4b74-a25b-fc05cee5b4f8/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[5],2020-09-27T10:50:00Z
010102088801010148,8,No,Yes,Female,12,,Son/Daughter,,,,,uuid:0f5e84f3-fe38-4b74-a25b-fc05cee5b4f8,uuid:0f5e84f3-fe38-4b74-a25b-fc05cee5b4f8/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[6],2020-09-27T10:50:00Z
010102088801010148,9,No,Yes,Male,6,,Son/Daughter,,,,,uuid:0f5e84f3-fe38-4b74-a25b-fc05cee5b4f8,uuid:0f5e84f3-fe38-4b74-a25b-fc05cee5b4f8/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[7],2020-09-27T10:50:00Z
010102088801010148,10,No,Yes,Female,8,,Son/Daughter,,,,,uuid:0f5e84f3-fe38-4b74-a25b-fc05cee5b4f8,uuid:0f5e84f3-fe38-4b74-a25b-fc05cee5b4f8/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[8],2020-09-27T10:50:00Z
010102088801010173,1,No,Yes,Male,70,,Head,,,,,uuid:7f124d55-48a6-4c3b-829e-b3abad57a18c,uuid:7f124d55-48a6-4c3b-829e-b3abad57a18c/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-09-24T18:35:00Z
010102088801010173,2,No,Yes,Male,24,,Son/Daughter,,,,,uuid:7f124d55-48a6-4c3b-829e-b3abad57a18c,uuid:7f124d55-48a6-4c3b-829e-b3abad57a18c/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-09-24T18:35:00Z
010102088801010173,4,No,Yes,Female,18,,Son/Daughter,,,,,uuid:7f124d55-48a6-4c3b-829e-b3abad57a18c,uuid:7f124d55-48a6-4c3b-829e-b3abad57a18c/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[3],2020-09-24T18:35:00Z
010102088801010173,5,No,Yes,Female,15,,Son/Daughter,,,,,uuid:7f124d55-48a6-4c3b-829e-b3abad57a18c,uuid:7f124d55-48a6-4c3b-829e-b3abad57a18c/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[4],2020-09-24T18:35:00Z
010102088801010173,6,No,Yes,Male,6,,Grandchild,,,,,uuid:7f124d55-48a6-4c3b-829e-b3abad57a18c,uuid:7f124d55-48a6-4c3b-829e-b3abad57a18c/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[5],2020-09-24T18:35:00Z
010102088801010173,7,No,Yes,Male,17,,Son/Daughter,,,,,uuid:7f124d55-48a6-4c3b-829e-b3abad57a18c,uuid:7f124d55-48a6-4c3b-829e-b3abad57a18c/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[6],2020-09-24T18:35:00Z
010103088800709056,1,No,Yes,Male,47,,Head,,,,,uuid:bee0f2c4-8e81-4952-9125-a86ca199cb69,uuid:bee0f2c4-8e81-4952-9125-a86ca199cb69/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-09-24T18:35:00Z
010103088800709056,2,No,Yes,Female,37,,Spouse,,,,,uuid:bee0f2c4-8e81-4952-9125-a86ca199cb69,uuid:bee0f2c4-8e81-4952-9125-a86ca199cb69/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-09-24T18:35:00Z
010103088800709056,3,No,Yes,Female,20,,Son/Daughter,,,,,uuid:bee0f2c4-8e81-4952-9125-a86ca199cb69,uuid:bee0f2c4-8e81-4952-9125-a86ca199cb69/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[3],2020-09-24T18:35:00Z
010103088800709056,4,No,Yes,Female,17,,Son/Daughter,,,,,uuid:bee0f2c4-8e81-4952-9125-a86ca199cb69,uuid:bee0f2c4-8e81-4952-9125-a86ca199cb69/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[4],2020-09-24T18:35:00Z
010103088800709056,5,No,Yes,Male,15,,Son/Daughter,,,,,uuid:bee0f2c4-8e81-4952-9125-a86ca199cb69,uuid:bee0f2c4-8e81-4952-9125-a86ca199cb69/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[5],2020-09-24T18:35:00Z
010103088800709056,6,No,Yes,Male,13,,Son/Daughter,,,,,uuid:bee0f2c4-8e81-4952-9125-a86ca199cb69,uuid:bee0f2c4-8e81-4952-9125-a86ca199cb69/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[6],2020-09-24T18:35:00Z
010103088800709056,7,No,Yes,Male,5,,Son/Daughter,,,,,uuid:bee0f2c4-8e81-4952-9125-a86ca199cb69,uuid:bee0f2c4-8e81-4952-9125-a86ca199cb69/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[7],2020-09-24T18:35:00Z
010103088800709056,8,No,Yes,Female,3,10,Son/Daughter,,,,,uuid:bee0f2c4-8e81-4952-9125-a86ca199cb69,uuid:bee0f2c4-8e81-4952-9125-a86ca199cb69/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[8],2020-09-24T18:35:00Z
010103088800709072,1,No,Yes,Male,45,,Head,,,,,uuid:3f8b82ee-6c5d-4adb-8278-80952ea147c9,uuid:3f8b82ee-6c5d-4adb-8278-80952ea147c9/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-09-24T11:06:00Z
010103088800709072,2,No,Yes,Female,38,,Spouse,,,,,uuid:3f8b82ee-6c5d-4adb-8278-80952ea147c9,uuid:3f8b82ee-6c5d-4adb-8278-80952ea147c9/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-09-24T11:06:00Z
010103088800709072,3,No,Yes,Male,12,,Son/Daughter,,,,,uuid:3f8b82ee-6c5d-4adb-8278-80952ea147c9,uuid:3f8b82ee-6c5d-4adb-8278-80952ea147c9/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[3],2020-09-24T11:06:00Z
010103088800709072,4,No,Yes,Male,10,,Son/Daughter,,,,,uuid:3f8b82ee-6c5d-4adb-8278-80952ea147c9,uuid:3f8b82ee-6c5d-4adb-8278-80952ea147c9/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[4],2020-09-24T11:06:00Z
010103088800709072,5,No,Yes,Female,7,,Son/Daughter,,,,,uuid:3f8b82ee-6c5d-4adb-8278-80952ea147c9,uuid:3f8b82ee-6c5d-4adb-8278-80952ea147c9/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[5],2020-09-24T11:06:00Z
010103088800709072,6,No,Yes,Male,5,,Son/Daughter,,,,,uuid:3f8b82ee-6c5d-4adb-8278-80952ea147c9,uuid:3f8b82ee-6c5d-4adb-8278-80952ea147c9/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[6],2020-09-24T11:06:00Z
010103088800709072,7,No,Yes,Female,3,3,Son/Daughter,,,,,uuid:3f8b82ee-6c5d-4adb-8278-80952ea147c9,uuid:3f8b82ee-6c5d-4adb-8278-80952ea147c9/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[7],2020-09-24T11:06:00Z
010103088800709072,8,No,Yes,Female,78,,Father/Mother,,,,,uuid:3f8b82ee-6c5d-4adb-8278-80952ea147c9,uuid:3f8b82ee-6c5d-4adb-8278-80952ea147c9/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[8],2020-09-24T11:06:00Z
010103088800709072,9,Yes,Yes,Female,20,,Son/Daughter,,Security,,Migrated from within Ethiopia,uuid:3f8b82ee-6c5d-4adb-8278-80952ea147c9,uuid:3f8b82ee-6c5d-4adb-8278-80952ea147c9/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[9],2020-09-24T11:06:00Z
010104010100101028,1,No,Yes,Female,40,,Head,,,,,uuid:8f7943c2-f8b1-4bc6-9b25-60f8e3691427,uuid:8f7943c2-f8b1-4bc6-9b25-60f8e3691427/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-10-01T08:40:00Z
010104010100101028,3,No,Yes,Female,21,,Son/Daughter,,,,,uuid:8f7943c2-f8b1-4bc6-9b25-60f8e3691427,uuid:8f7943c2-f8b1-4bc6-9b25-60f8e3691427/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-10-01T08:40:00Z
010104010100101028,4,No,Yes,Female,14,,Son/Daughter,,,,,uuid:8f7943c2-f8b1-4bc6-9b25-60f8e3691427,uuid:8f7943c2-f8b1-4bc6-9b25-60f8e3691427/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[3],2020-10-01T08:40:00Z
010104010100101028,5,No,Yes,Male,12,,Son/Daughter,,,,,uuid:8f7943c2-f8b1-4bc6-9b25-60f8e3691427,uuid:8f7943c2-f8b1-4bc6-9b25-60f8e3691427/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[4],2020-10-01T08:40:00Z
010104010100101028,6,No,Yes,Female,4,7,Son/Daughter,,,,,uuid:8f7943c2-f8b1-4bc6-9b25-60f8e3691427,uuid:8f7943c2-f8b1-4bc6-9b25-60f8e3691427/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[5],2020-10-01T08:40:00Z
010104010100101044,1,No,Yes,Female,32,,Head,,,,,uuid:cb372044-c194-41e3-b578-765e33815270,uuid:cb372044-c194-41e3-b578-765e33815270/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-10-01T15:49:00Z
010104010100101044,2,No,Yes,Female,22,,Sister/Brother,,,,,uuid:cb372044-c194-41e3-b578-765e33815270,uuid:cb372044-c194-41e3-b578-765e33815270/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-10-01T15:49:00Z
010104010100101044,3,Yes,Yes,Female,16,,Sister/Brother,,Security,,Migrated from within Ethiopia,uuid:cb372044-c194-41e3-b578-765e33815270,uuid:cb372044-c194-41e3-b578-765e33815270/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[3],2020-10-01T15:49:00Z
010104010100101060,1,No,Yes,Male,25,,Head,,,,,uuid:326d2eb4-c7e2-4e2b-be46-2dc9278d68bd,uuid:326d2eb4-c7e2-4e2b-be46-2dc9278d68bd/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-10-12T19:41:00Z
010104010100101076,1,No,Yes,Female,40,,Head,,,,,uuid:1c71e80b-0333-4ac9-b09e-0cb3a9e85c37,uuid:1c71e80b-0333-4ac9-b09e-0cb3a9e85c37/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-10-04T10:54:00Z
010104010100101076,2,No,Yes,Male,20,,Son/Daughter,,,,,uuid:1c71e80b-0333-4ac9-b09e-0cb3a9e85c37,uuid:1c71e80b-0333-4ac9-b09e-0cb3a9e85c37/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-10-04T10:54:00Z
010104010100101076,3,No,Yes,Male,18,,Son/Daughter,,,,,uuid:1c71e80b-0333-4ac9-b09e-0cb3a9e85c37,uuid:1c71e80b-0333-4ac9-b09e-0cb3a9e85c37/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[3],2020-10-04T10:54:00Z
010104010100101108,1,No,Yes,Male,21,,Head,,,,,uuid:c947f7ee-edcd-4228-b5cf-e35475ed469f,uuid:c947f7ee-edcd-4228-b5cf-e35475ed469f/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[1],2020-09-24T11:05:00Z
010104010100101108,2,No,Yes,Female,20,,Spouse,,,,,uuid:c947f7ee-edcd-4228-b5cf-e35475ed469f,uuid:c947f7ee-edcd-4228-b5cf-e35475ed469f/correct_hh_grp-ii_grp-consented_grp-bi_grp-bi_hhr_rpt[2],2020-09-24T11:05:00Z
