ea_id,saq14,saq01,saq02,saq03,saq04,saq05,saq06,saq07,cs6q01,cs6q02,cs6q03_1,cs6q03_2,cs6q03_3,cs6q04_1,cs6q04_2,cs6q04_3,cs6q05,cs6q06,cs6q07,cs6q08,cs6q09,cs6q10,cs6q11,cs6q12,cs6q12_os,cs6q13,cs6q13_os,cs6q14,cs6q14_os,cs6q14a,cs6q14b,cs6q14c,cs6q15,cs6q15_os,cs6q16a,cs6q16a_os,cs6q16b,cs6q16b_os,cs6q16c,cs6q16c_os,cs6q16d,cs6q16d_os,cs6q17a,cs6q17a_os,cs6q17b,cs6q17b_os,cs6q17c,cs6q17c_os,cs6q17d,cs6q17d_os,cs6q18a,cs6q18a_os,cs6q18b,cs6q18b_os,cs6q18c,cs6q18c_os,cs6q18d,cs6q18d_os,cs6q18e,cs6q18e_os,cs6q18f,cs6q18f_os,cs6q18g,cs6q18g_os,cs6q18h,cs6q18h_os
010101088800910,1. RURAL,1. TIGRAY,01,01,8,88,009,10,1. YES,"Mashla, Dagusa ,Simsm",10,11,,4,3,2,1. Too Much,2. Right time,1. Very early,1. YES,,1. YES,94,1. Government,,2. Private,,1. Government,,1. YES,1. YES,2. NO,1. Traditional,,1. More,,1. More,,1. More,,2. Less,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,2. Worse,,3. About the Same,,4. Better,,4. Better,,4. Better,,3. About the Same,
010102088801010,1. RURAL,1. TIGRAY,01,02,8,88,010,10,1. YES,"03 ,07 ,03",9,10,11,2,3,4,3. Too Late,3. Too Late,1. Very early,1. YES,,1. YES,20,1. Government,,1. Government,,1. Government,,2. NO,2. NO,2. NO,1. Traditional,,3. About the Same Number,,1. More,,1. More,,2. Less,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,3. About the Same,,2. Worse,,3. About the Same,,4. Better,,3. About the Same,,3. About the Same,,3. About the Same,
010103088800709,1. RURAL,1. TIGRAY,01,03,8,88,007,09,1. YES,"Teff,Bekolo,Dagusa",11,10,1,3,4,2,1. Too Much,1. Very early,2. Right time,1. YES,,1. YES,100,1. Government,,1. Government,,3. Union,,1. YES,1. YES,2. NO,1. Traditional,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,4. Better,,4. Better,,2. Worse,,5. Much Better,,4. Better,,4. Better,,3. About the Same,,2. Worse,,5. Much Better,,4. Better,,4. Better,,5. Much Better,
010104010100101,2. URBAN,1. TIGRAY,01,04,1,1,001,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010104088800405,1. RURAL,1. TIGRAY,01,04,8,88,004,05,1. YES,"bekolo,teff,dagusaa",10,11,12,3,4,5,1. Too Much,1. Very early,1. Very early,1. YES,,1. YES,50,1. Government,,1. Government,,1. Government,,1. YES,2. NO,2. NO,1. Traditional,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,2. Worse,,2. Worse,,2. Worse,,4. Better,,4. Better,,4. Better,,1. Much Worse,,2. Worse,,2. Worse,,2. Worse,,2. Worse,,2. Worse,
010105088800712,1. RURAL,1. TIGRAY,01,05,8,88,007,12,1. YES,"bekolo,mashila,dagusa",10,11,9,2,3,4,1. Too Much,2. Right time,3. Too Late,1. YES,,1. YES,35,3. Union,,2. Private,,1. Government,,1. YES,1. YES,2. NO,2. Modern,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,3. About the Same,,2. Worse,,2. Worse,,3. About the Same,,4. Better,,4. Better,,3. About the Same,,2. Worse,,4. Better,,4. Better,,2. Worse,,3. About the Same,
010105088802215,1. RURAL,1. TIGRAY,01,05,8,88,022,15,1. YES,"07 ,06 ,03",10,11,9,2,3,4,3. Too Late,3. Too Late,1. Very early,1. YES,,2. NO,,1. Government,,2. Private,,1. Government,,2. NO,2. NO,2. NO,1. Traditional,,3. About the Same Number,,1. More,,1. More,,2. Less,,4. Better,,4. Better,,4. Better,,4. Better,,1. Much Worse,,1. Much Worse,,1. Much Worse,,1. Much Worse,,1. Much Worse,,2. Worse,,4. Better,,1. Much Worse,
010106088801204,1. RURAL,1. TIGRAY,01,06,8,88,012,04,1. YES,"06 ,07 ,02",9,10,11,2,3,4,3. Too Late,3. Too Late,1. Very early,1. YES,,2. NO,,1. Government,,1. Government,,1. Government,,1. YES,2. NO,2. NO,1. Traditional,,2. Less,,2. Less,,1. More,,2. Less,,4. Better,,4. Better,,4. Better,,4. Better,,2. Worse,,4. Better,,1. Much Worse,,1. Much Worse,,3. About the Same,,2. Worse,,4. Better,,4. Better,
010107010100213,2. URBAN,1. TIGRAY,01,07,1,1,002,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010108010100218,2. URBAN,1. TIGRAY,01,08,1,1,002,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010201088801806,1. RURAL,1. TIGRAY,02,01,8,88,018,06,1. YES,"mashla,bekolo,dagusa",7,8,,3,2,4,1. Too Much,1. Very early,2. Right time,1. YES,,1. YES,337,3. Union,,3. Union,,3. Union,,1. YES,2. NO,2. NO,1. Traditional,,1. More,,1. More,,1. More,,1. More,,5. Much Better,,5. Much Better,,4. Better,,5. Much Better,,4. Better,,4. Better,,3. About the Same,,3. About the Same,,5. Much Better,,3. About the Same,,2. Worse,,4. Better,
010202088801509,1. RURAL,1. TIGRAY,02,02,8,88,015,09,1. YES,"tef,snde,gebs",11,10,,3,2,,2. The Right Amount,3. Too Late,2. Right time,1. YES,,1. YES,421,3. Union,,3. Union,,3. Union,,1. YES,2. NO,2. NO,1. Traditional,,3. About the Same Number,,3. About the Same Number,,1. More,,3. About the Same Number,,4. Better,,4. Better,,3. About the Same,,4. Better,,3. About the Same,,3. About the Same,,3. About the Same,,4. Better,,4. Better,,3. About the Same,,2. Worse,,3. About the Same,
010203020100103,2. URBAN,1. TIGRAY,02,03,2,1,001,03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010203088800910,1. RURAL,1. TIGRAY,02,03,8,88,009,10,1. YES,07/06/08,10,9,11,2,3,1,2. The Right Amount,2. Right time,2. Right time,1. YES,,1. YES,555,3. Union,,2. Private,,3. Union,,2. NO,2. NO,2. NO,1. Traditional,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,
010204088800713,1. RURAL,1. TIGRAY,02,04,8,88,007,13,1. YES,"tef,snde,dagusa",11,10,9,3,2,4,2. The Right Amount,2. Right time,2. Right time,1. YES,,1. YES,778,3. Union,,3. Union,,3. Union,,1. YES,2. NO,2. NO,1. Traditional,,1. More,,1. More,,1. More,,1. More,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,3. About the Same,,4. Better,,4. Better,,3. About the Same,,3. About the Same,,4. Better,
010205088801106,1. RURAL,1. TIGRAY,02,05,8,88,011,06,1. YES,"teff, snde, mashila",11,10,,3,4,2,2. The Right Amount,3. Too Late,2. Right time,1. YES,,1. YES,614,3. Union,,3. Union,,3. Union,,1. YES,2. NO,2. NO,1. Traditional,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,4. Better,,4. Better,,3. About the Same,,4. Better,,3. About the Same,,3. About the Same,,3. About the Same,,2. Worse,,3. About the Same,,1. Much Worse,,2. Worse,,3. About the Same,
