"ea_id","cs10bq02","saq14","saq01","saq02","saq03","saq04","saq05","saq06","saq07","cs10bq02_oth","cs10bq00","cs10bq03","cs10bq04","cs10bq05"
"010101088800910",1,1,1,"01","01",8,88,"009","10",,1,1,100,3000
"010101088800910",2,1,1,"01","01",8,88,"009","10",,2,,,
"010101088800910",3,1,1,"01","01",8,88,"009","10",,1,2,630,13
"010101088800910",4,1,1,"01","01",8,88,"009","10",,1,1,1,10.5
"010101088800910",5,1,1,"01","01",8,88,"009","10",,1,1,1,12.5
"010101088800910",6,1,1,"01","01",8,88,"009","10",,1,1,1,15
"010101088800910",7,1,1,"01","01",8,88,"009","10",,1,2,820,20
"010101088800910",8,1,1,"01","01",8,88,"009","10",,1,1,1,25
"010101088800910",9,1,1,"01","01",8,88,"009","10",,2,,,
"010101088800910",10,1,1,"01","01",8,88,"009","10",,1,1,1,60
"010101088800910",11,1,1,"01","01",8,88,"009","10",,2,,,
"010101088800910",12,1,1,"01","01",8,88,"009","10",,1,1,1,30
"010101088800910",13,1,1,"01","01",8,88,"009","10",,1,1,1,26
"010101088800910",14,1,1,"01","01",8,88,"009","10",,1,1,1,23
"010101088800910",15,1,1,"01","01",8,88,"009","10",,1,1,1,25
"010101088800910",16,1,1,"01","01",8,88,"009","10",,1,1,1,16
"010101088800910",17,1,1,"01","01",8,88,"009","10",,2,,,
"010101088800910",19,1,1,"01","01",8,88,"009","10",,1,31,1,6
"010101088800910",20,1,1,"01","01",8,88,"009","10",,1,141,1,4.5
"010101088800910",21,1,1,"01","01",8,88,"009","10",,1,1,1,40
"010101088800910",22,1,1,"01","01",8,88,"009","10",,1,182,1,11
"010101088800910",23,1,1,"01","01",8,88,"009","10",,1,171,1,5
"010101088800910",24,1,1,"01","01",8,88,"009","10",,2,,,
"010101088800910",26,1,1,"01","01",8,88,"009","10",,2,,,
"010101088800910",27,1,1,"01","01",8,88,"009","10",,1,141,1,2
"010101088800910",28,1,1,"01","01",8,88,"009","10",,1,141,1,15
"010101088800910",29,1,1,"01","01",8,88,"009","10",,1,141,1,7
"010101088800910",30,1,1,"01","01",8,88,"009","10",,1,1,1,320
"010101088800910",31,1,1,"01","01",8,88,"009","10",,2,,,
"010101088800910",32,1,1,"01","01",8,88,"009","10",,2,,,
"010101088800910",36,1,1,"01","01",8,88,"009","10",,2,,,
"010101088800910",37,1,1,"01","01",8,88,"009","10",,1,141,1,1
"010101088800910",38,1,1,"01","01",8,88,"009","10",,2,,,
"010101088800910",40,1,1,"01","01",8,88,"009","10",,2,,,
"010101088800910",41,1,1,"01","01",8,88,"009","10",,2,,,
"010101088800910",42,1,1,"01","01",8,88,"009","10",,2,,,
"010101088800910",43,1,1,"01","01",8,88,"009","10",,2,,,
"010101088800910",44,1,1,"01","01",8,88,"009","10",,1,141,1,250
"010101088800910",45,1,1,"01","01",8,88,"009","10",,2,,,
"010101088800910",60,1,1,"01","01",8,88,"009","10",,2,,,
"010101088800910",110,1,1,"01","01",8,88,"009","10",,1,1,1,40
"010101088800910",111,1,1,"01","01",8,88,"009","10",,2,,,
"010101088800910",131,1,1,"01","01",8,88,"009","10","SESAME",1,1,1,41
"010101088800910",141,1,1,"01","01",8,88,"009","10",,1,1,1,40
"010101088800910",142,1,1,"01","01",8,88,"009","10",,1,1,1,75
"010101088800910",143,1,1,"01","01",8,88,"009","10",,1,62,61,5
"010101088800910",144,1,1,"01","01",8,88,"009","10",,1,1,1,12
"010101088800910",145,1,1,"01","01",8,88,"009","10",,2,,,
"010101088800910",151,1,1,"01","01",8,88,"009","10",,1,1,1,35
"010101088800910",152,1,1,"01","01",8,88,"009","10",,2,,,
"010101088800910",170,1,1,"01","01",8,88,"009","10",,2,,,
