household_id,parcel_id,ea_id,saq14,pw_w4,ParcelName1,saq01,saq02,saq03,saq04,saq05,saq06,saq07,saq08,s10bq03,s10bq04,s10bq05,s10bq05_os,s10bq06,s10bq06_os,s10bq07,s10bq08a,s10bq08b,s10bq08b_os
010101088800910007,1,010101088800910,1. RURAL,1658.475108571429,**CONFIDENTIAL**,1. TIGRAY,01,01,8,88,009,10,7,1. YES,1. YES,4. Borrowed for Free,,2. AGRICULTURAL,,1. YES,,,
010101088800910017,1,010101088800910,1. RURAL,1658.475108571429,**CONFIDENTIAL**,1. TIGRAY,01,01,8,88,009,10,17,1. YES,1. YES,1. Granted by Local Leaders,,1. RESIDENTIAL,,1. YES,,,
010101088800910017,2,010101088800910,1. RURAL,1658.475108571429,**CONFIDENTIAL**,1. TIGRAY,01,01,8,88,009,10,17,2. NO,,3. Rent,,,,,,,
010101088800910017,3,010101088800910,1. RURAL,1658.475108571429,**CONFIDENTIAL**,1. TIGRAY,01,01,8,88,009,10,17,1. YES,2. NO,1. Granted by Local Leaders,,2. AGRICULTURAL,,2. NO,,,
010101088800910026,1,010101088800910,1. RURAL,1658.475108571429,**CONFIDENTIAL**,1. TIGRAY,01,01,8,88,009,10,26,2. NO,,3. Rent,,,,,,,
010101088800910029,1,010101088800910,1. RURAL,2892.689142857143,**CONFIDENTIAL**,1. TIGRAY,01,01,8,88,009,10,29,2. NO,,3. Rent,,,,,,,
010101088800910038,1,010101088800910,1. RURAL,1658.475108571429,**CONFIDENTIAL**,1. TIGRAY,01,01,8,88,009,10,38,1. YES,1. YES,1. Granted by Local Leaders,,1. RESIDENTIAL,,1. YES,,,
010101088800910038,2,010101088800910,1. RURAL,1658.475108571429,**CONFIDENTIAL**,1. TIGRAY,01,01,8,88,009,10,38,1. YES,2. NO,1. Granted by Local Leaders,,2. AGRICULTURAL,,1. YES,,,
010101088800910038,3,010101088800910,1. RURAL,1658.475108571429,**CONFIDENTIAL**,1. TIGRAY,01,01,8,88,009,10,38,1. YES,2. NO,3. Rent,,2. AGRICULTURAL,,1. YES,,,
010101088800910038,4,010101088800910,1. RURAL,1658.475108571429,**CONFIDENTIAL**,1. TIGRAY,01,01,8,88,009,10,38,1. YES,2. NO,1. Granted by Local Leaders,,2. AGRICULTURAL,,2. NO,,,
010101088800910046,1,010101088800910,1. RURAL,1658.475108571429,**CONFIDENTIAL**,1. TIGRAY,01,01,8,88,009,10,46,1. YES,1. YES,3. Rent,,1. RESIDENTIAL,,2. NO,,,
010101088800910054,1,010101088800910,1. RURAL,1658.475108571429,**CONFIDENTIAL**,1. TIGRAY,01,01,8,88,009,10,54,1. YES,1. YES,1. Granted by Local Leaders,,1. RESIDENTIAL,,2. NO,,,
010101088800910054,2,010101088800910,1. RURAL,1658.475108571429,**CONFIDENTIAL**,1. TIGRAY,01,01,8,88,009,10,54,1. YES,2. NO,1. Granted by Local Leaders,,2. AGRICULTURAL,,1. YES,,,
010101088800910062,1,010101088800910,1. RURAL,1658.475108571429,**CONFIDENTIAL**,1. TIGRAY,01,01,8,88,009,10,62,1. YES,1. YES,1. Granted by Local Leaders,,2. AGRICULTURAL,,1. YES,,,
010101088800910062,2,010101088800910,1. RURAL,1658.475108571429,**CONFIDENTIAL**,1. TIGRAY,01,01,8,88,009,10,62,1. YES,2. NO,3. Rent,,2. AGRICULTURAL,,1. YES,,,
010101088800910062,3,010101088800910,1. RURAL,1658.475108571429,**CONFIDENTIAL**,1. TIGRAY,01,01,8,88,009,10,62,1. YES,2. NO,1. Granted by Local Leaders,,2. AGRICULTURAL,,1. YES,,,
010101088800910062,4,010101088800910,1. RURAL,1658.475108571429,**CONFIDENTIAL**,1. TIGRAY,01,01,8,88,009,10,62,1. YES,2. NO,1. Granted by Local Leaders,,2. AGRICULTURAL,,1. YES,,,
010101088800910070,1,010101088800910,1. RURAL,1658.475108571429,**CONFIDENTIAL**,1. TIGRAY,01,01,8,88,009,10,70,1. YES,1. YES,1. Granted by Local Leaders,,2. AGRICULTURAL,,1. YES,,,
010101088800910070,2,010101088800910,1. RURAL,1658.475108571429,**CONFIDENTIAL**,1. TIGRAY,01,01,8,88,009,10,70,1. YES,1. YES,1. Granted by Local Leaders,,2. AGRICULTURAL,,1. YES,,,
010101088800910082,1,010101088800910,1. RURAL,1658.475108571429,**CONFIDENTIAL**,1. TIGRAY,01,01,8,88,009,10,82,1. YES,1. YES,4. Borrowed for Free,,1. RESIDENTIAL,,1. YES,,,
010101088800910082,2,010101088800910,1. RURAL,1658.475108571429,**CONFIDENTIAL**,1. TIGRAY,01,01,8,88,009,10,82,1. YES,2. NO,2. Gift/Inherited,,2. AGRICULTURAL,,1. YES,,,
010101088800910082,3,010101088800910,1. RURAL,1658.475108571429,**CONFIDENTIAL**,1. TIGRAY,01,01,8,88,009,10,82,2. NO,,3. Rent,,,,,,,
010101088800910093,1,010101088800910,1. RURAL,1658.475108571429,**CONFIDENTIAL**,1. TIGRAY,01,01,8,88,009,10,93,1. YES,1. YES,1. Granted by Local Leaders,,2. AGRICULTURAL,,1. YES,,,
010101088800910093,2,010101088800910,1. RURAL,1658.475108571429,**CONFIDENTIAL**,1. TIGRAY,01,01,8,88,009,10,93,1. YES,2. NO,1. Granted by Local Leaders,,2. AGRICULTURAL,,2. NO,,,
010102088801010034,1,010102088801010,1. RURAL,4968.359214830971,**CONFIDENTIAL**,1. TIGRAY,01,02,8,88,010,10,34,1. YES,1. YES,1. Granted by Local Leaders,,1. RESIDENTIAL,,2. NO,,,
010102088801010034,2,010102088801010,1. RURAL,4968.359214830971,**CONFIDENTIAL**,1. TIGRAY,01,02,8,88,010,10,34,2. NO,,1. Granted by Local Leaders,,,,,,,
010102088801010035,1,010102088801010,1. RURAL,2821.537331879317,**CONFIDENTIAL**,1. TIGRAY,01,02,8,88,010,10,35,1. YES,1. YES,1. Granted by Local Leaders,,1. RESIDENTIAL,,1. YES,,,
010102088801010048,1,010102088801010,1. RURAL,2821.537331879317,**CONFIDENTIAL**,1. TIGRAY,01,02,8,88,010,10,48,1. YES,1. YES,7. Purchased,,1. RESIDENTIAL,,1. YES,,,
010102088801010068,1,010102088801010,1. RURAL,2821.537331879317,**CONFIDENTIAL**,1. TIGRAY,01,02,8,88,010,10,68,1. YES,1. YES,1. Granted by Local Leaders,,1. RESIDENTIAL,,1. YES,,,
010102088801010068,2,010102088801010,1. RURAL,2821.537331879317,**CONFIDENTIAL**,1. TIGRAY,01,02,8,88,010,10,68,1. YES,2. NO,3. Rent,,2. AGRICULTURAL,,1. YES,,,
010102088801010068,3,010102088801010,1. RURAL,2821.537331879317,**CONFIDENTIAL**,1. TIGRAY,01,02,8,88,010,10,68,1. YES,2. NO,3. Rent,,2. AGRICULTURAL,,1. YES,,,
010102088801010068,4,010102088801010,1. RURAL,2821.537331879317,**CONFIDENTIAL**,1. TIGRAY,01,02,8,88,010,10,68,1. YES,2. NO,1. Granted by Local Leaders,,2. AGRICULTURAL,,1. YES,,,
010102088801010068,5,010102088801010,1. RURAL,2821.537331879317,**CONFIDENTIAL**,1. TIGRAY,01,02,8,88,010,10,68,1. YES,2. NO,3. Rent,,2. AGRICULTURAL,,1. YES,,,
010102088801010068,6,010102088801010,1. RURAL,2821.537331879317,**CONFIDENTIAL**,1. TIGRAY,01,02,8,88,010,10,68,1. YES,2. NO,3. Rent,,2. AGRICULTURAL,,1. YES,,,
010102088801010068,7,010102088801010,1. RURAL,2821.537331879317,**CONFIDENTIAL**,1. TIGRAY,01,02,8,88,010,10,68,1. YES,2. NO,1. Granted by Local Leaders,,2. AGRICULTURAL,,1. YES,,,
010102088801010090,1,010102088801010,1. RURAL,2821.537331879317,**CONFIDENTIAL**,1. TIGRAY,01,02,8,88,010,10,90,1. YES,1. YES,1. Granted by Local Leaders,,1. RESIDENTIAL,,1. YES,,,
010102088801010104,1,010102088801010,1. RURAL,4968.359214830971,**CONFIDENTIAL**,1. TIGRAY,01,02,8,88,010,10,104,2. NO,,3. Rent,,,,,,,
010102088801010113,1,010102088801010,1. RURAL,2821.537331879317,**CONFIDENTIAL**,1. TIGRAY,01,02,8,88,010,10,113,1. YES,1. YES,1. Granted by Local Leaders,,1. RESIDENTIAL,,2. NO,,,
