holder_id,household_id,seed_id,ea_id,saq14,pw_w4,saq01,saq02,saq03,saq04,saq05,saq06,saq07,saq08,saq09,saq15,s5q0A,s5q0B,s5q01a,s5q01b,s5q02,s5q03_1,s5q03_2,s5q04,s5q05,s5q06,s5q07,s5q08,s5q09,s5q10,s5q11_1,s5q11_2,s5q12,s5q13,s5q14_1,s5q14_2,s5q15,s5q16,s5q17
01010108880091000701,010101088800910007,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,7,1,1. crop production only,áˆ›áˆ½áˆ‹,6. SORGHUM,1. TRADITIONAL,,2. NO,,,,,,,,,,,,1. YES,3,7. RELATIVE,,0,2. NO,
01010108880091000701,010101088800910007,2,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,7,1,1. crop production only,á‰ á‰†áˆŽ,2. MAIZE,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,0.75
01010108880091001701,010101088800910017,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,17,1,3. Both livestock and crop production,áˆ›áˆ½áˆ‹,6. SORGHUM,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,1
01010108880091001701,010101088800910017,2,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,17,1,3. Both livestock and crop production,áˆ›áˆ½áˆ‹,6. SORGHUM,2. IMPROVED,1. IMPROVED NEW,1. YES,2. FARMER-BASED CLUB/ORGANIZATION,3. GOVERNMENT AGENCY,3,2. MOTER TRANSPORT,40,48,"1. PAID IN FULL,WITH OWN SAVINGS",,,,,2. NO,,,,,2. NO,
01010108880091001701,010101088800910017,3,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,17,1,3. Both livestock and crop production,á‰ áˆ­á‰ áˆ¬,38. RED PEPPER,1. TRADITIONAL,,1. YES,7. RELATIVE,8. FRIEND/NEIGHBOR,0,1. ON FOOT,0,40,"1. PAID IN FULL,WITH OWN SAVINGS",,,,,2. NO,,,,,2. NO,
01010108880091003801,010101088800910038,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,1,3. Both livestock and crop production,áˆ›áˆ½áˆ‹,6. SORGHUM,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,20
01010108880091003801,010101088800910038,2,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,1,3. Both livestock and crop production,áˆ°áˆŠáŒ¥,27. SESAME,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,10
01010108880091003801,010101088800910038,3,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,1,3. Both livestock and crop production,á‹³áŒ‰áˆ³,3. MILLET,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,45
01010108880091003801,010101088800910038,4,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,1,3. Both livestock and crop production,á‰ á‰†áˆŽ,2. MAIZE,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,1.5
01010108880091003801,010101088800910038,5,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,1,3. Both livestock and crop production,á‰ áˆ­á‰ áˆ¬,38. RED PEPPER,1. TRADITIONAL,,1. YES,7. RELATIVE,,0,1. ON FOOT,0,100,"1. PAID IN FULL,WITH OWN SAVINGS",,,,,2. NO,,,,,2. NO,
