holder_id,household_id,ea_id,saq14,pw_w4,saq01,saq02,saq03,saq04,saq05,saq06,saq07,saq08,saq09,saq15,s7q01,s7q02,s7q03,s7q03_os,s7q04,s7q05,s7q05_os,s7q06,s7q07,s7q07_os,s7q08,s7q08_os,s7q09,s7q10,s7q10_os,s7q11_1,s7q11_2,s7q11_os,s7q12,s7q13,s7q13_os,s7q14,s7q15,s7q15_os,s7q16,s7q16_os,s7q17,s7q18,s7q18_os,s7q19,s7q20,s7q21,s7q22,s7q23,s7q24,s7q25,s7q26,s7q27,s7q28_1,s7q28_2,s7q28_os,s7q29,s7q30,s7q31_1,s7q31_2,s7q31_3,s7q31_os,s7q32a_1,s7q32a_2,s7q32b_1,s7q32b_2,s7q32c_1,s7q32c_2
01010108880091000701,010101088800910007,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,7,1,1. crop production only,1. YES,1. YES,,,2. NO,5. LACK OF ADEQUATE CROP FIELD,,2. NO,,,2. UNABLE TO PAY THE LOAN,,2. NO,2. INADEQUATE SERVICE PROVIDED,,1. GOVERNMENT ORGANIZATION,,,0,2. BY PAIRING MINE W/SOMEONE'S OX,,0,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,100,0,100,0,0,,100,,,,,,1. YES,40,1. TERRACING,3. CONSERVATION ACTIVITIES,,,0,,0,,0,
01010108880091001701,010101088800910017,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,17,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,3. INADEQUATE SERVICE PROVIDED,,1. YES,,,1. GOVERNMENT ORGANIZATION,,,0,1. BY RENTING OX,,0,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,100,50,50,0,0,27,25,,,1. TO USE REMAINING FOR ANOTHER TIME,,,1. YES,40,1. TERRACING,3. CONSERVATION ACTIVITIES,,,0,,0,,0,
01010108880091002601,010101088800910026,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,26,1,2. livestock only ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01010108880091002901,010101088800910029,010101088800910,1. RURAL,2892.689142857143,1. TIGRAY,01,01,8,88,009,10,29,1,4. none ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01010108880091003801,010101088800910038,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,1. NON-AVAILABILITY OF THE SERVICE,,1. YES,,,1. GOVERNMENT ORGANIZATION,,,6,,,6,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,300,150,150,0,0,150,150,,,,,,1. YES,20,1. TERRACING,3. CONSERVATION ACTIVITIES,,,0,,0,,1,3. LITER
01010108880091004601,010101088800910046,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,46,1,2. livestock only ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01010108880091005401,010101088800910054,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,54,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,1. GOVERNMENT ORGANIZATION,,,1,3. BY PAIRING MINE W/OTHER ANIMAL,,1,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,56,50,6,0,0,50,6,,,,,,1. YES,40,1. TERRACING,3. CONSERVATION ACTIVITIES,,,0,,0,,0,
01010108880091006201,010101088800910062,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,62,1,3. Both livestock and crop production,1. YES,2. NO,2. HIGH PRICE,,2. NO,2. LACK OF MONEY,,2. NO,,,1. NON-AVAILABILITY OF THE SERVICE,,1. YES,,,6. NEVER USED FERTILIZER,,,2,,,2,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,0,0,0,0,0,,,,,,,,2. NO,,,,,,0,,0,,0,
01010108880091007001,010101088800910070,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,70,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,2. NO,2. INADEQUATE SERVICE PROVIDED,,1. GOVERNMENT ORGANIZATION,,,1,3. BY PAIRING MINE W/OTHER ANIMAL,,1,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,25,25,0,0,0,25,,,,,,,2. NO,,,,,,0,,0,,0,
01010108880091008201,010101088800910082,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,82,1,3. Both livestock and crop production,1. YES,2. NO,4. NON-AVAILABILITY OF SUPPLY,,2. NO,1. IGNORANCE,,2. NO,,,5. DOES NOT YIELD ANY RESULTS,,2. NO,3. IGNORANCE,,6. NEVER USED FERTILIZER,,,2,,,2,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,0,0,0,0,0,,,,,,,,1. YES,40,1. TERRACING,3. CONSERVATION ACTIVITIES,,,0,,0,,0,
