holder_id,household_id,s1q00,ea_id,saq14,pw_w4,saq01,saq02,saq03,saq04,saq05,saq06,saq07,saq08,saq09,saq15,s1q01,s1q02,s1q03,s1q04,s1q05
01010108880091000701,010101088800910007,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,7,1,1. crop production only,**CONFIDENTIAL**,60,2. FEMALE,1. crop production only,1. YES
01010108880091000701,010101088800910007,2,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,7,1,1. crop production only,**CONFIDENTIAL**,27,1. MALE,4. none ,
01010108880091000701,010101088800910007,3,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,7,1,1. crop production only,**CONFIDENTIAL**,20,2. FEMALE,4. none ,
01010108880091000701,010101088800910007,4,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,7,1,1. crop production only,**CONFIDENTIAL**,12,1. MALE,4. none ,
01010108880091000701,010101088800910007,5,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,7,1,1. crop production only,**CONFIDENTIAL**,10,2. FEMALE,4. none ,
01010108880091000701,010101088800910007,6,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,7,1,1. crop production only,**CONFIDENTIAL**,7,1. MALE,,
01010108880091001701,010101088800910017,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,17,1,3. Both livestock and crop production,**CONFIDENTIAL**,39,2. FEMALE,3. Both livestock and crop production,1. YES
01010108880091001701,010101088800910017,2,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,17,1,3. Both livestock and crop production,**CONFIDENTIAL**,14,2. FEMALE,4. none ,
01010108880091001701,010101088800910017,3,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,17,1,3. Both livestock and crop production,**CONFIDENTIAL**,10,2. FEMALE,4. none ,
01010108880091001701,010101088800910017,4,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,17,1,3. Both livestock and crop production,**CONFIDENTIAL**,8,1. MALE,,
01010108880091001701,010101088800910017,5,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,17,1,3. Both livestock and crop production,**CONFIDENTIAL**,4,1. MALE,,
01010108880091002601,010101088800910026,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,26,1,2. livestock only ,**CONFIDENTIAL**,35,2. FEMALE,2. livestock only ,1. YES
