"household_id","ea_id","saq14","pw_w4","saq01","saq02","saq03","saq04","saq05","saq06","saq07","saq08","saq09","saq11","saq12","saq13","saq17","saq18","InterviewStart","saq21"
"010101088800910007","010101088800910",1,1658.47510857143,1,"01","01",8,88,"009","10",7,6,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-19T09:15:28","**CONFIDENTIAL**"
"010101088800910017","010101088800910",1,1658.47510857143,1,"01","01",8,88,"009","10",17,5,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-18T15:20:10","**CONFIDENTIAL**"
"010101088800910026","010101088800910",1,1658.47510857143,1,"01","01",8,88,"009","10",26,8,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-18T12:14:15","**CONFIDENTIAL**"
"010101088800910029","010101088800910",1,2892.68914285714,1,"01","01",8,88,"009","10",29,2,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-17T16:38:11","**CONFIDENTIAL**"
"010101088800910038","010101088800910",1,1658.47510857143,1,"01","01",8,88,"009","10",38,11,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-07T15:16:33","**CONFIDENTIAL**"
"010101088800910046","010101088800910",1,1658.47510857143,1,"01","01",8,88,"009","10",46,5,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-04T10:15:24","**CONFIDENTIAL**"
"010101088800910054","010101088800910",1,1658.47510857143,1,"01","01",8,88,"009","10",54,3,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-05T08:41:55","**CONFIDENTIAL**"
"010101088800910062","010101088800910",1,1658.47510857143,1,"01","01",8,88,"009","10",62,5,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-08T07:05:01","**CONFIDENTIAL**"
"010101088800910070","010101088800910",1,1658.47510857143,1,"01","01",8,88,"009","10",70,4,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-17T18:50:38","**CONFIDENTIAL**"
"010101088800910082","010101088800910",1,1658.47510857143,1,"01","01",8,88,"009","10",82,5,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-06T10:13:06","**CONFIDENTIAL**"
"010101088800910093","010101088800910",1,1658.47510857143,1,"01","01",8,88,"009","10",93,5,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-18T09:13:04","**CONFIDENTIAL**"
"010102088801010034","010102088801010",1,4968.35921483097,1,"01","02",8,88,"010","10",34,3,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-23T14:29:10","**CONFIDENTIAL**"
