ea_id,saq01,saq02,saq03,saq04,saq05,saq06,saq07,saq14,saq21
010101088800910,1. TIGRAY,01,01,8,88,009,10,1. RURAL,**CONFIDENTIAL**
010102088801010,1. TIGRAY,01,02,8,88,010,10,1. RURAL,**CONFIDENTIAL**
010103088800709,1. TIGRAY,01,03,8,88,007,09,1. RURAL,**CONFIDENTIAL**
010104010100101,1. TIGRAY,01,04,1,1,001,01,2. URBAN,**CONFIDENTIAL**
010104088800405,1. TIGRAY,01,04,8,88,004,05,1. RURAL,**CONFIDENTIAL**
010105088800712,1. TIGRAY,01,05,8,88,007,12,1. RURAL,**CONFIDENTIAL**
010105088802215,1. TIGRAY,01,05,8,88,022,15,1. RURAL,**CONFIDENTIAL**
010106088801204,1. TIGRAY,01,06,8,88,012,04,1. RURAL,**CONFIDENTIAL**
010107010100213,1. TIGRAY,01,07,1,1,002,13,2. URBAN,**CONFIDENTIAL**
010108010100218,1. TIGRAY,01,08,1,1,002,18,2. URBAN,**CONFIDENTIAL**
010201088801806,1. TIGRAY,02,01,8,88,018,06,1. RURAL,**CONFIDENTIAL**
010202088801509,1. TIGRAY,02,02,8,88,015,09,1. RURAL,**CONFIDENTIAL**
010203020100103,1. TIGRAY,02,03,2,1,001,03,2. URBAN,**CONFIDENTIAL**
010203088800910,1. TIGRAY,02,03,8,88,009,10,1. RURAL,**CONFIDENTIAL**
010204088800713,1. TIGRAY,02,04,8,88,007,13,1. RURAL,**CONFIDENTIAL**
010205088801106,1. TIGRAY,02,05,8,88,011,06,1. RURAL,**CONFIDENTIAL**
010206088801508,1. TIGRAY,02,06,8,88,015,08,1. RURAL,**CONFIDENTIAL**
010207088802009,1. TIGRAY,02,07,8,88,020,09,1. RURAL,**CONFIDENTIAL**
010208088802007,1. TIGRAY,02,08,8,88,020,07,1. RURAL,**CONFIDENTIAL**
010209010100218,1. TIGRAY,02,09,1,1,002,18,2. URBAN,**CONFIDENTIAL**
010210088801507,1. TIGRAY,02,10,8,88,015,07,1. RURAL,**CONFIDENTIAL**
010211010100302,1. TIGRAY,02,11,1,1,003,02,2. URBAN,**CONFIDENTIAL**
010212010100510,1. TIGRAY,02,12,1,1,005,10,2. URBAN,**CONFIDENTIAL**
010302088800603,1. TIGRAY,03,02,8,88,006,03,1. RURAL,**CONFIDENTIAL**
010303088802005,1. TIGRAY,03,03,8,88,020,05,1. RURAL,**CONFIDENTIAL**
010304088801407,1. TIGRAY,03,04,8,88,014,07,1. RURAL,**CONFIDENTIAL**
