ea_id,saq14,saq01,saq02,saq03,saq04,saq05,saq06,saq07,cs2aq01,cs2aq02,cs2aq03,cs2aq04,cs2aq05,cs2aq06,cs2aq06_os,cs2aq07,cs2aq07_os,cs2aq08,cs2aq09,cs2aq10,cs2aq11
010101088800910,1. RURAL,1. TIGRAY,01,01,8,88,009,10,2. NO,1. YES,1. YES,1. YES,2. NO,5. Stone and mud,,4. Wood and Mud,,2. NO,1. YES,1. YES,1. YES
010102088801010,1. RURAL,1. TIGRAY,01,02,8,88,010,10,1. YES,1. YES,1. YES,1. YES,1. YES,5. Stone and mud,,1. Corrugated iron sheet,,2. NO,2. NO,,1. YES
010103088800709,1. RURAL,1. TIGRAY,01,03,8,88,007,09,2. NO,1. YES,1. YES,1. YES,1. YES,5. Stone and mud,,1. Corrugated iron sheet,,2. NO,2. NO,,1. YES
010104010100101,2. URBAN,1. TIGRAY,01,04,1,1,001,01,1. YES,1. YES,1. YES,1. YES,1. YES,5. Stone and mud,,1. Corrugated iron sheet,,2. NO,1. YES,2. NO,2. NO
010104088800405,1. RURAL,1. TIGRAY,01,04,8,88,004,05,2. NO,1. YES,1. YES,1. YES,1. YES,1. Wood and mud,,1. Corrugated iron sheet,,2. NO,2. NO,,2. NO
010105088800712,1. RURAL,1. TIGRAY,01,05,8,88,007,12,2. NO,1. YES,1. YES,1. YES,1. YES,5. Stone and mud,,1. Corrugated iron sheet,,2. NO,2. NO,,2. NO
010105088802215,1. RURAL,1. TIGRAY,01,05,8,88,022,15,1. YES,1. YES,1. YES,1. YES,2. NO,5. Stone and mud,,1. Corrugated iron sheet,,2. NO,1. YES,2. NO,2. NO
010106088801204,1. RURAL,1. TIGRAY,01,06,8,88,012,04,1. YES,1. YES,1. YES,1. YES,1. YES,4. Stone,,4. Wood and Mud,,2. NO,1. YES,1. YES,2. NO
010107010100213,2. URBAN,1. TIGRAY,01,07,1,1,002,13,1. YES,1. YES,1. YES,1. YES,1. YES,"7. Blocks, plastered with cement",,1. Corrugated iron sheet,,1. YES,1. YES,1. YES,1. YES
010108010100218,2. URBAN,1. TIGRAY,01,08,1,1,002,18,1. YES,1. YES,1. YES,1. YES,1. YES,"7. Blocks, plastered with cement",,1. Corrugated iron sheet,,1. YES,1. YES,1. YES,1. YES
010201088801806,1. RURAL,1. TIGRAY,02,01,8,88,018,06,2. NO,1. YES,2. NO,1. YES,2. NO,5. Stone and mud,,1. Corrugated iron sheet,,2. NO,2. NO,,2. NO
010202088801509,1. RURAL,1. TIGRAY,02,02,8,88,015,09,2. NO,1. YES,2. NO,1. YES,2. NO,5. Stone and mud,,1. Corrugated iron sheet,,2. NO,2. NO,,2. NO
010203020100103,2. URBAN,1. TIGRAY,02,03,2,1,001,03,2. NO,1. YES,1. YES,1. YES,1. YES,5. Stone and mud,,1. Corrugated iron sheet,,1. YES,1. YES,1. YES,1. YES
010203088800910,1. RURAL,1. TIGRAY,02,03,8,88,009,10,1. YES,1. YES,1. YES,1. YES,1. YES,5. Stone and mud,,4. Wood and Mud,,2. NO,2. NO,,2. NO
010204088800713,1. RURAL,1. TIGRAY,02,04,8,88,007,13,1. YES,1. YES,1. YES,1. YES,1. YES,5. Stone and mud,,1. Corrugated iron sheet,,2. NO,2. NO,,2. NO
010205088801106,1. RURAL,1. TIGRAY,02,05,8,88,011,06,1. YES,1. YES,1. YES,1. YES,1. YES,5. Stone and mud,,1. Corrugated iron sheet,,2. NO,2. NO,,1. YES
010206088801508,1. RURAL,1. TIGRAY,02,06,8,88,015,08,1. YES,1. YES,1. YES,1. YES,1. YES,5. Stone and mud,,1. Corrugated iron sheet,,2. NO,2. NO,,1. YES
010207088802009,1. RURAL,1. TIGRAY,02,07,8,88,020,09,2. NO,1. YES,1. YES,1. YES,1. YES,5. Stone and mud,,4. Wood and Mud,,2. NO,2. NO,,1. YES
010208088802007,1. RURAL,1. TIGRAY,02,08,8,88,020,07,2. NO,2. NO,2. NO,1. YES,1. YES,5. Stone and mud,,4. Wood and Mud,,1. YES,2. NO,,2. NO
010209010100218,2. URBAN,1. TIGRAY,02,09,1,1,002,18,1. YES,1. YES,1. YES,1. YES,1. YES,6. Stone and cement,,1. Corrugated iron sheet,,1. YES,1. YES,1. YES,1. YES
010210088801507,1. RURAL,1. TIGRAY,02,10,8,88,015,07,2. NO,2. NO,2. NO,1. YES,2. NO,5. Stone and mud,,4. Wood and Mud,,2. NO,2. NO,,2. NO
010211010100302,2. URBAN,1. TIGRAY,02,11,1,1,003,02,1. YES,1. YES,1. YES,1. YES,1. YES,6. Stone and cement,,1. Corrugated iron sheet,,1. YES,2. NO,,1. YES
010212010100510,2. URBAN,1. TIGRAY,02,12,1,1,005,10,2. NO,1. YES,1. YES,1. YES,1. YES,6. Stone and cement,,1. Corrugated iron sheet,,1. YES,1. YES,2. NO,1. YES
010302088800603,1. RURAL,1. TIGRAY,03,02,8,88,006,03,1. YES,1. YES,1. YES,1. YES,1. YES,5. Stone and mud,,4. Wood and Mud,,2. NO,2. NO,,2. NO
