ea_id,cs2q01,saq14,saq01,saq02,saq03,saq04,saq05,saq06,saq07,cs2q02,cs2q03,cs2q04,cs2q05_1,cs2q05_2,cs2q05_oth,cs2q06,cs2q07,cs2q07_oth
010101088800910,1,1. RURAL,1. TIGRAY,01,01,8,88,009,10,**CONFIDENTIAL**,1. Male,25,6. Agricultural Extension/Development Officier,,,3,6. Above Secondary school,
010101088800910,2,1. RURAL,1. TIGRAY,01,01,8,88,009,10,**CONFIDENTIAL**,1. Male,30,5. School Teacher,,,3,6. Above Secondary school,
010101088800910,3,1. RURAL,1. TIGRAY,01,01,8,88,009,10,**CONFIDENTIAL**,1. Male,25,8. Business Man/Woman,,,25,2. Incomplete primary school,
010102088801010,1,1. RURAL,1. TIGRAY,01,02,8,88,010,10,**CONFIDENTIAL**,1. Male,38,11. Other (Specify),,Deputy Chairperson,3,6. Above Secondary school,
010102088801010,2,1. RURAL,1. TIGRAY,01,02,8,88,010,10,**CONFIDENTIAL**,2. Female,22,2. Representative,,,3,6. Above Secondary school,
010102088801010,4,1. RURAL,1. TIGRAY,01,02,8,88,010,10,**CONFIDENTIAL**,1. Male,45,3. Elderly,,,45,2. Incomplete primary school,
010102088801010,5,1. RURAL,1. TIGRAY,01,02,8,88,010,10,**CONFIDENTIAL**,1. Male,38,1. Chairman/woman,,,38,2. Incomplete primary school,
010103088800709,1,1. RURAL,1. TIGRAY,01,03,8,88,007,09,**CONFIDENTIAL**,1. Male,55,9. Religious Leader,,,55,1. None/ illitrate,
010103088800709,2,1. RURAL,1. TIGRAY,01,03,8,88,007,09,**CONFIDENTIAL**,1. Male,66,3. Elderly,,,66,1. None/ illitrate,
010103088800709,3,1. RURAL,1. TIGRAY,01,03,8,88,007,09,**CONFIDENTIAL**,1. Male,47,3. Elderly,,,47,1. None/ illitrate,
010103088800709,4,1. RURAL,1. TIGRAY,01,03,8,88,007,09,**CONFIDENTIAL**,1. Male,46,9. Religious Leader,,,46,1. None/ illitrate,
010103088800709,5,1. RURAL,1. TIGRAY,01,03,8,88,007,09,**CONFIDENTIAL**,1. Male,40,11. Other (Specify),,Farmer,40,3. Primary school completed,
010103088800709,6,1. RURAL,1. TIGRAY,01,03,8,88,007,09,**CONFIDENTIAL**,1. Male,47,9. Religious Leader,,,47,2. Incomplete primary school,
010104010100101,1,2. URBAN,1. TIGRAY,01,04,1,1,001,01,**CONFIDENTIAL**,1. Male,28,11. Other (Specify),,Kebele Manager,1,6. Above Secondary school,
010104010100101,2,2. URBAN,1. TIGRAY,01,04,1,1,001,01,**CONFIDENTIAL**,2. Female,24,2. Representative,,,24,6. Above Secondary school,
010104010100101,3,2. URBAN,1. TIGRAY,01,04,1,1,001,01,**CONFIDENTIAL**,1. Male,22,11. Other (Specify),,Deputy Chairperson,22,6. Above Secondary school,
010104010100101,4,2. URBAN,1. TIGRAY,01,04,1,1,001,01,**CONFIDENTIAL**,2. Female,23,11. Other (Specify),,Food Security,23,6. Above Secondary school,
010104010100101,5,2. URBAN,1. TIGRAY,01,04,1,1,001,01,**CONFIDENTIAL**,1. Male,24,11. Other (Specify),,Community Mobilizer,24,6. Above Secondary school,
010104088800405,1,1. RURAL,1. TIGRAY,01,04,8,88,004,05,**CONFIDENTIAL**,1. Male,43,8. Business Man/Woman,,,2,2. Incomplete primary school,
010104088800405,2,1. RURAL,1. TIGRAY,01,04,8,88,004,05,**CONFIDENTIAL**,1. Male,76,3. Elderly,,,34,1. None/ illitrate,
010104088800405,3,1. RURAL,1. TIGRAY,01,04,8,88,004,05,**CONFIDENTIAL**,1. Male,77,3. Elderly,,,77,1. None/ illitrate,
010104088800405,4,1. RURAL,1. TIGRAY,01,04,8,88,004,05,**CONFIDENTIAL**,1. Male,40,11. Other (Specify),,Farmer,3,4. Incomplete secondary school,
010104088800405,5,1. RURAL,1. TIGRAY,01,04,8,88,004,05,**CONFIDENTIAL**,1. Male,43,3. Elderly,,,43,2. Incomplete primary school,
010104088800405,6,1. RURAL,1. TIGRAY,01,04,8,88,004,05,**CONFIDENTIAL**,1. Male,45,11. Other (Specify),,Farmer,45,1. None/ illitrate,
010105088800712,1,1. RURAL,1. TIGRAY,01,05,8,88,007,12,**CONFIDENTIAL**,1. Male,33,2. Representative,,,9,6. Above Secondary school,
010105088800712,2,1. RURAL,1. TIGRAY,01,05,8,88,007,12,**CONFIDENTIAL**,1. Male,66,3. Elderly,,,39,1. None/ illitrate,
010105088800712,3,1. RURAL,1. TIGRAY,01,05,8,88,007,12,**CONFIDENTIAL**,2. Female,36,2. Representative,,,36,2. Incomplete primary school,
010105088800712,4,1. RURAL,1. TIGRAY,01,05,8,88,007,12,**CONFIDENTIAL**,2. Female,23,2. Representative,,,23,5. Secondary school completed,
010105088800712,5,1. RURAL,1. TIGRAY,01,05,8,88,007,12,**CONFIDENTIAL**,1. Male,38,8. Business Man/Woman,,,8,3. Primary school completed,
010105088802215,1,1. RURAL,1. TIGRAY,01,05,8,88,022,15,**CONFIDENTIAL**,1. Male,26,6. Agricultural Extension/Development Officier,,,22,6. Above Secondary school,
010105088802215,2,1. RURAL,1. TIGRAY,01,05,8,88,022,15,**CONFIDENTIAL**,1. Male,29,2. Representative,,,26,6. Above Secondary school,
010105088802215,3,1. RURAL,1. TIGRAY,01,05,8,88,022,15,**CONFIDENTIAL**,1. Male,41,1. Chairman/woman,,,11,2. Incomplete primary school,
010105088802215,4,1. RURAL,1. TIGRAY,01,05,8,88,022,15,**CONFIDENTIAL**,1. Male,40,11. Other (Specify),,Community Mobilizer,23,4. Incomplete secondary school,
010105088802215,5,1. RURAL,1. TIGRAY,01,05,8,88,022,15,**CONFIDENTIAL**,1. Male,36,11. Other (Specify),,Kebele Manager,4,6. Above Secondary school,
010106088801204,1,1. RURAL,1. TIGRAY,01,06,8,88,012,04,**CONFIDENTIAL**,1. Male,42,1. Chairman/woman,,,42,5. Secondary school completed,
010106088801204,2,1. RURAL,1. TIGRAY,01,06,8,88,012,04,**CONFIDENTIAL**,1. Male,42,9. Religious Leader,,,42,2. Incomplete primary school,
010106088801204,3,1. RURAL,1. TIGRAY,01,06,8,88,012,04,**CONFIDENTIAL**,1. Male,26,6. Agricultural Extension/Development Officier,,,3,6. Above Secondary school,
010106088801204,4,1. RURAL,1. TIGRAY,01,06,8,88,012,04,**CONFIDENTIAL**,1. Male,39,2. Representative,,,39,2. Incomplete primary school,
010107010100213,1,2. URBAN,1. TIGRAY,01,07,1,1,002,13,**CONFIDENTIAL**,1. Male,58,1. Chairman/woman,,,12,4. Incomplete secondary school,
010107010100213,2,2. URBAN,1. TIGRAY,01,07,1,1,002,13,**CONFIDENTIAL**,1. Male,25,11. Other (Specify),,Deputy Chairperson,4,6. Above Secondary school,
010107010100213,3,2. URBAN,1. TIGRAY,01,07,1,1,002,13,**CONFIDENTIAL**,1. Male,31,11. Other (Specify),,Community Mobilizer,1,6. Above Secondary school,
010107010100213,4,2. URBAN,1. TIGRAY,01,07,1,1,002,13,**CONFIDENTIAL**,1. Male,32,11. Other (Specify),,Documentation,11,6. Above Secondary school,
010108010100218,1,2. URBAN,1. TIGRAY,01,08,1,1,002,18,**CONFIDENTIAL**,1. Male,25,11. Other (Specify),,Plan officer,6,6. Above Secondary school,
010108010100218,2,2. URBAN,1. TIGRAY,01,08,1,1,002,18,**CONFIDENTIAL**,1. Male,34,11. Other (Specify),,Documentation,34,6. Above Secondary school,
010108010100218,3,2. URBAN,1. TIGRAY,01,08,1,1,002,18,**CONFIDENTIAL**,2. Female,33,11. Other (Specify),,Monitoring and Evaluation,6,6. Above Secondary school,
010108010100218,4,2. URBAN,1. TIGRAY,01,08,1,1,002,18,**CONFIDENTIAL**,2. Female,28,11. Other (Specify),,Research Officer,7,6. Above Secondary school,
010201088801806,1,1. RURAL,1. TIGRAY,02,01,8,88,018,06,**CONFIDENTIAL**,2. Female,24,6. Agricultural Extension/Development Officier,,,4,6. Above Secondary school,
010201088801806,2,1. RURAL,1. TIGRAY,02,01,8,88,018,06,**CONFIDENTIAL**,2. Female,26,7. Health Worker,,,5,6. Above Secondary school,
010201088801806,3,1. RURAL,1. TIGRAY,02,01,8,88,018,06,**CONFIDENTIAL**,1. Male,34,5. School Teacher,,,8,6. Above Secondary school,
010201088801806,4,1. RURAL,1. TIGRAY,02,01,8,88,018,06,**CONFIDENTIAL**,1. Male,49,3. Elderly,,,49,2. Incomplete primary school,
