ea_id,saq14,saq01,saq02,saq03,saq04,saq05,saq06,saq07,cs3q01,cs3q02,cs3q03,cs3q04a,cs3q04a_os,cs3q04b,cs3q04c,cs3q04c_os,cs3q04d,cs3q04e,cs3q04e_os,cs3q04f,cs3q06,cs3q07,cs3q07_os,cs3q08,cs3q09,cs3q10,cs3q11,cs3q11a,cs3q11b,cs3q12a_1,cs3q12b_1,cs3q12a_2,cs3q12b_2,cs3q12a_3,cs3q12b_3
010101088800910,1. RURAL,1. TIGRAY,01,01,8,88,009,10,1. More moved in,6317,1483,1. Orthodox,,1483,,,,,,,3,2. Farming,,5. Both Flat & Hilly,20,0,15,2. NO,,1. Traditional,100,,,,
010102088801010,1. RURAL,1. TIGRAY,01,02,8,88,010,10,4. Neither arrivals nor departures,7899,1567,1. Orthodox,,1567,,,,,,,0,2. Farming,,5. Both Flat & Hilly,10,0,15,1. YES,7,1. Traditional,100,,,,
010103088800709,1. RURAL,1. TIGRAY,01,03,8,88,007,09,3. About the same of both,4321,2887,1. Orthodox,,2886,4. Muslim,,1,,,,2,2. Farming,,2. Slightly Sloping,3,0,20,1. YES,200,2. Municipality,100,,,,
010104010100101,2. URBAN,1. TIGRAY,01,04,1,1,001,01,2. More moved out,3065,500,1. Orthodox,,498,4. Muslim,,2,,,,0,3. Planned Housing,,1. Flat,0,0,0,2. NO,,1. Traditional,100,,,,
010104088800405,1. RURAL,1. TIGRAY,01,04,8,88,004,05,1. More moved in,3485,3005,1. Orthodox,,3005,,,,,,,2,2. Farming,,2. Slightly Sloping,5,0,2,1. YES,4,1. Traditional,50,2. Municipality,50,,
010105088800712,1. RURAL,1. TIGRAY,01,05,8,88,007,12,1. More moved in,17357,9934,1. Orthodox,,9934,,,,,,,5,2. Farming,,5. Both Flat & Hilly,20,0,5,2. NO,,2. Municipality,95,1. Traditional,5,,
010105088802215,1. RURAL,1. TIGRAY,01,05,8,88,022,15,2. More moved out,15066,2730,1. Orthodox,,2722,4. Muslim,,8,,,,0,2. Farming,,5. Both Flat & Hilly,20,0,5,1. YES,5,1. Traditional,98,,,,
010106088801204,1. RURAL,1. TIGRAY,01,06,8,88,012,04,4. Neither arrivals nor departures,7255,1461,1. Orthodox,,1461,,,,,,,0,2. Farming,,3. Moderately Sloping,10,0,30,2. NO,,1. Traditional,100,,,,
010107010100213,2. URBAN,1. TIGRAY,01,07,1,1,002,13,1. More moved in,12370,3638,1. Orthodox,,3038,4. Muslim,,500,3. Protestant,,100,0,3. Planned Housing,,1. Flat,0,0,0,2. NO,,1. Traditional,90,2. Municipality,6,3. Religious,4
010108010100218,2. URBAN,1. TIGRAY,01,08,1,1,002,18,1. More moved in,28187,8791,1. Orthodox,,8351,4. Muslim,,251,3. Protestant,,83,0,3. Planned Housing,,1. Flat,0,0,3,2. NO,,1. Traditional,90,3. Religious,5,2. Municipality,5
010201088801806,1. RURAL,1. TIGRAY,02,01,8,88,018,06,4. Neither arrivals nor departures,6170,1347,1. Orthodox,,1347,,,,,,,10,1. Pasture,,3. Moderately Sloping,35,13,30,2. NO,,1. Traditional,79,3. Religious,21,,
010202088801509,1. RURAL,1. TIGRAY,02,02,8,88,015,09,4. Neither arrivals nor departures,9714,213,1. Orthodox,,213,,,,,,,0,2. Farming,,2. Slightly Sloping,25,0,35,2. NO,,1. Traditional,75,3. Religious,25,,
010203020100103,2. URBAN,1. TIGRAY,02,03,2,1,001,03,1. More moved in,40000,15000,1. Orthodox,,13000,4. Muslim,,1500,3. Protestant,,500,30,3. Planned Housing,,2. Slightly Sloping,0,0,2,1. YES,20,1. Traditional,80,3. Religious,18,2. Municipality,2
010203088800910,1. RURAL,1. TIGRAY,02,03,8,88,009,10,2. More moved out,3410,2733,1. Orthodox,,2733,,,,,,,1,2. Farming,,2. Slightly Sloping,1,0,0,1. YES,14,1. Traditional,80,,,,
010204088800713,1. RURAL,1. TIGRAY,02,04,8,88,007,13,4. Neither arrivals nor departures,6809,1570,1. Orthodox,,1570,,,,,,,5,1. Pasture,,3. Moderately Sloping,11,0,53,1. YES,5,1. Traditional,80,3. Religious,15,2. Municipality,5
010205088801106,1. RURAL,1. TIGRAY,02,05,8,88,011,06,2. More moved out,8292,1856,1. Orthodox,,1849,4. Muslim,,7,,,,2,2. Farming,,1. Flat,3,82,15,2. NO,,3. Religious,98,1. Traditional,2,,
010206088801508,1. RURAL,1. TIGRAY,02,06,8,88,015,08,2. More moved out,6019,1369,1. Orthodox,,1369,,,,,,,0,3. Planned Housing,,5. Both Flat & Hilly,0,0,10,2. NO,,1. Traditional,85,3. Religious,10,2. Municipality,5
010207088802009,1. RURAL,1. TIGRAY,02,07,8,88,020,09,2. More moved out,8587,1942,1. Orthodox,,1942,,,,,,,0,4. Squatter Settlement,,5. Both Flat & Hilly,5,0,25,2. NO,,3. Religious,80,1. Traditional,20,,
010208088802007,1. RURAL,1. TIGRAY,02,08,8,88,020,07,1. More moved in,6655,1271,1. Orthodox,,1271,,,,,,,1,2. Farming,,3. Moderately Sloping,15,60,35,1. YES,10,1. Traditional,99,,,,
