ea_id,saq14,saq01,saq02,saq03,saq04,saq05,saq06,saq07,cs4q01,cs4q02,cs4q03,cs4q04__0,cs4q04__1,cs4q04__2,cs4q04__3,cs4q04__4,cs4q04__5,cs4q04__6,cs4q04__7,cs4q04__8,cs4q04__9,cs4q04__10,cs4q04__11,cs4q04__12,cs4q04__13,cs4q05__0,cs4q05__1,cs4q05__2,cs4q05__3,cs4q05__4,cs4q05__5,cs4q05__6,cs4q05__7,cs4q05__8,cs4q05__9,cs4q05__10,cs4q05__11,cs4q05__12,cs4q05__13,cs4q06,cs4q07a,cs4q07b,cs4q08,cs4q09,cs4q10,cs4q11,cs4q12a,cs4q12b,cs4q13,cs4q14,cs4q15,cs4q16,cs4q17,cs4q18,cs4q19,cs4q20,cs4q21,cs4q22,cs4q23,cs4q24,cs4q25,cs4q26,cs4q27,cs4q28,cs4q29,cs4q30,cs4q31,cs4q32,cs4q32_os,cs4q33,cs4q34,cs4q35,cs4q36,cs4q37,cs4q38,cs4q39,cs4q40,cs4q41,cs4q42a,cs4q42b,cs4q42c,cs4q42d,cs4q42e,cs4q42f,cs4q42f_os,cs4q43,cs4q44,cs4q45,cs4q46,cs4q47,cs4q48,cs4q49,cs4q50,cs4q51,cs4q52,cs4q53,cs4q54,cs4q55,cs4q56,cs4q57,cs4q58,cs4q59a,cs4q59b,cs4q60,cs4q61
010101088800910,1. RURAL,1. TIGRAY,01,01,8,88,009,10,2. Graded Graveled,24,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,0,1,3. Day,2. NO,24,20,2. NO,Shire,119,64,2. NO,24,5,0,7,1. YES,1. YES,15,1. YES,0,0,0,0,2. NO,24,1. YES,,1. Always Available,1. Government Facility,,1. YES,2. NO,,,24,1. Government,2. NO,,2. NO,,,,,,,,2. NO,24,2. NO,24,2. NO,,,2. NO,24,1. YES,,2. NO,24,2. NO,24,1. YES,45,72,0,0
010102088801010,1. RURAL,1. TIGRAY,01,02,8,88,010,10,1. Tar/Asphalt,12,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,0,0,,2. NO,5,5,2. NO,shire,35,20,2. NO,5,5,0,6,1. YES,1. YES,8,1. YES,0,0,0,0,2. NO,5,1. YES,,1. Always Available,1. Government Facility,,1. YES,2. NO,,,7,1. Government,2. NO,,2. NO,,,,,,,,2. NO,5,2. NO,5,1. YES,0,0,2. NO,6,1. YES,,2. NO,6,2. NO,5,1. YES,177,192,1,1
010103088800709,1. RURAL,1. TIGRAY,01,03,8,88,007,09,3. Dirt Raod (Maintained),12,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,15,5,3. Day,2. NO,12,10,2. NO,Shire,45,25,2. NO,15,12,0,0,1. YES,2. NO,12,1. YES,0,0,0,0,1. YES,,1. YES,,1. Always Available,1. Government Facility,,2. NO,1. YES,1. YES,2. NO,,1. Government,2. NO,,2. NO,,,,,,,,2. NO,15,2. NO,15,2. NO,,,2. NO,15,1. YES,,2. NO,14,2. NO,15,2. NO,,,,
010104010100101,2. URBAN,1. TIGRAY,01,04,1,1,001,01,3. Dirt Raod (Maintained),12,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,0,18,2. Hour,2. NO,18,13,2. NO,Shire,18,13,1. YES,,2,0,1,1. YES,1. YES,0,1. YES,0,0,0,0,2. NO,0,,,,,,,1. YES,1. YES,1. YES,,1. Government,1. YES,5,2. NO,,,,,,,,2. NO,18,1. YES,,1. YES,15,3000,2. NO,18,1. YES,,1. YES,,2. NO,18,1. YES,95,137,0,0
010104088800405,1. RURAL,1. TIGRAY,01,04,8,88,004,05,2. Graded Graveled,3,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,5,50,2. Hour,2. NO,1,5,1. YES,,,,2. NO,5,7,3,0,1. YES,2. NO,0,1. YES,0,0,0,0,2. NO,5,1. YES,,2. Sometimes Available,1. Government Facility,,2. NO,2. NO,,,8,1. Government,2. NO,,2. NO,,,,,,,,2. NO,5,1. YES,,2. NO,,,2. NO,5,1. YES,,1. YES,,1. YES,,2. NO,,,,
010105088800712,1. RURAL,1. TIGRAY,01,05,8,88,007,12,2. Graded Graveled,3,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,46,40,2. Hour,2. NO,58,32,2. NO,Shire,43,23,1. YES,,8,1,1,1. YES,2. NO,43,1. YES,0,0,0,0,1. YES,,1. YES,,1. Always Available,1. Government Facility,,1. YES,1. YES,2. NO,,,1. Government,1. YES,11,2. NO,,,,,,2. NO,,1. YES,,1. YES,,2. NO,,,2. NO,43,1. YES,,2. NO,43,2. NO,43,2. NO,,,,
010105088802215,1. RURAL,1. TIGRAY,01,05,8,88,022,15,1. Tar/Asphalt,10,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,0,0,,2. NO,18,10,2. NO,Shire,40,20,1. YES,,12,1,5,1. YES,1. YES,10,1. YES,0,0,0,0,2. NO,18,1. YES,,1. Always Available,1. Government Facility,,1. YES,1. YES,2. NO,,,1. Government,2. NO,,2. NO,,,,,,,,2. NO,18,2. NO,18,2. NO,,,2. NO,18,1. YES,,2. NO,40,2. NO,40,1. YES,90,91,0,0
010106088801204,1. RURAL,1. TIGRAY,01,06,8,88,012,04,1. Tar/Asphalt,20,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,0,4,2. Hour,2. NO,89,60,2. NO,shire,176,95,2. NO,6,8,0,15,1. YES,2. NO,21,1. YES,0,0,0,0,2. NO,21,1. YES,,1. Always Available,1. Government Facility,,1. YES,2. NO,,,21,1. Government,2. NO,,2. NO,,,,,,,,2. NO,89,2. NO,21,2. NO,,,2. NO,79,1. YES,,2. NO,89,2. NO,89,1. YES,746,807,0,0
010107010100213,2. URBAN,1. TIGRAY,01,07,1,1,002,13,1. Tar/Asphalt,0,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,0,80,1. Minute,1. YES,,,1. YES,,,,1. YES,,2,1,1,1. YES,1. YES,0,1. YES,1,0,1,0,1. YES,,,,,,,,1. YES,1. YES,1. YES,,1. Government,1. YES,0,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,2. NO,,1. YES,,1. YES,,1. YES,2000,1300,1. YES,,1. YES,,1. YES,,1. YES,,2. NO,,,,
010108010100218,2. URBAN,1. TIGRAY,01,08,1,1,002,18,1. Tar/Asphalt,0,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,0,80,1. Minute,1. YES,,,2. NO,Shire,95,44,1. YES,,3,2,5,1. YES,1. YES,0,1. YES,0,0,1,0,1. YES,,,,,,,,1. YES,1. YES,1. YES,,1. Government,1. YES,0,1. YES,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,,1. YES,,1. YES,,1. YES,5,3000,1. YES,,1. YES,,1. YES,,2. NO,95,2. NO,,,,
