ea_id,event_id,saq14,saq01,saq02,saq03,saq04,saq05,saq06,saq07,cs7q00,cs7q01_a,cs7q01_b,cs7q01_b_os,cs7q02,cs7q03
010101088800910,1,1. RURAL,1. TIGRAY,01,01,8,88,009,10,1. EVENTS THAT MADE PEOPLE WORSE OFF,á‹¨á‹‹áŒ‹ áŒáˆ½á‰ á‰µ,7. Sharp Change in Prices,,2011,100
010101088800910,2,1. RURAL,1. TIGRAY,01,01,8,88,009,10,1. EVENTS THAT MADE PEOPLE WORSE OFF,áˆµáˆ« áŠ áŒ¥áŠá‰µ áˆ˜á‰¥á‹›á‰µ,8. Loss of Key Social Service(s),,2011,30
010101088800910,3,1. RURAL,1. TIGRAY,01,01,8,88,009,10,2. EVENTS THAT MADE PEOPLE BETTER OFF,á‹¨á‰´áŠ­áŠ–áˆŽáŒ‚ áŒá‰¥áŠ£á‰µ áˆ˜áŒ¨áˆ˜áˆ­,15. New Road,,2010,100
010102088801010,1,1. RURAL,1. TIGRAY,01,02,8,88,010,10,1. EVENTS THAT MADE PEOPLE WORSE OFF,á‹¨á‹‹áŒ‹ áŒáˆ½á‰ á‰µ,7. Sharp Change in Prices,,2011,100
010102088801010,2,1. RURAL,1. TIGRAY,01,02,8,88,010,10,1. EVENTS THAT MADE PEOPLE WORSE OFF,áˆµáˆ« áŠ áŒ¥áŠá‰µ,10. Power Outage(s),,2011,6
010105088802215,1,1. RURAL,1. TIGRAY,01,05,8,88,022,15,1. EVENTS THAT MADE PEOPLE WORSE OFF,á‹¨á‹‹áŒ‹ áŒáˆ½á‰ á‰µ,7. Sharp Change in Prices,,2011,100
010106088801204,1,1. RURAL,1. TIGRAY,01,06,8,88,012,04,1. EVENTS THAT MADE PEOPLE WORSE OFF,á‹¨á‹‹áŒ‹ áŒáˆ½á‰ á‰µ,7. Sharp Change in Prices,,2011,100
010106088801204,2,1. RURAL,1. TIGRAY,01,06,8,88,012,04,2. EVENTS THAT MADE PEOPLE BETTER OFF,á‰´áŠ­áŠ–áˆŽáŒ‚ áŒá‰¥áŠ á‰µ áˆ˜áŒ¨áˆ˜áˆ­,12. Development Project,,2011,60
010107010100213,1,2. URBAN,1. TIGRAY,01,07,1,1,002,13,2. EVENTS THAT MADE PEOPLE BETTER OFF,Yedngay ntaf,15. New Road,,2011,80
010108010100218,1,2. URBAN,1. TIGRAY,01,08,1,1,002,18,2. EVENTS THAT MADE PEOPLE BETTER OFF,Adis yesra edel mefter,13. New Employment Oppurtunity,,2011,50
010203020100103,1,2. URBAN,1. TIGRAY,02,03,2,1,001,03,1. EVENTS THAT MADE PEOPLE WORSE OFF,yesewoch kelela bota tefenakilo memtat,9. Massive Job Lay-offs,,2011,30
010203020100103,2,2. URBAN,1. TIGRAY,02,03,2,1,001,03,1. EVENTS THAT MADE PEOPLE WORSE OFF,yewaga gishbet,7. Sharp Change in Prices,,2011,25
010211010100302,1,2. URBAN,1. TIGRAY,02,11,1,1,003,02,1. EVENTS THAT MADE PEOPLE WORSE OFF,yeweha etiret,11. Other Bad (Specify),yeweha etiret,2011,60
010211010100302,2,2. URBAN,1. TIGRAY,02,11,1,1,003,02,1. EVENTS THAT MADE PEOPLE WORSE OFF,yeelectric hayl mekoraret,10. Power Outage(s),,2011,90
010211010100302,3,2. URBAN,1. TIGRAY,02,11,1,1,003,02,1. EVENTS THAT MADE PEOPLE WORSE OFF,yetsetita for chiger,11. Other Bad (Specify),yepoletica guday,2011,5
010211010100302,4,2. URBAN,1. TIGRAY,02,11,1,1,003,02,2. EVENTS THAT MADE PEOPLE BETTER OFF,yetransport agolglot yeteshashalebet,17. Improved Transportation Services,,2010,10
010211010100302,5,2. URBAN,1. TIGRAY,02,11,1,1,003,02,2. EVENTS THAT MADE PEOPLE BETTER OFF,yelimat project mezergat,12. Development Project,,2011,20
010303088802005,1,1. RURAL,1. TIGRAY,03,03,8,88,020,05,1. EVENTS THAT MADE PEOPLE WORSE OFF,02,2. Flood,,2010,1
010305088801602,1,1. RURAL,1. TIGRAY,03,05,8,88,016,02,2. EVENTS THAT MADE PEOPLE BETTER OFF,Menged gnbata,15. New Road,,2010,25
010306010100104,1,2. URBAN,1. TIGRAY,03,06,1,1,001,04,1. EVENTS THAT MADE PEOPLE WORSE OFF,Derk,10. Power Outage(s),,2010,25
010306010100104,2,2. URBAN,1. TIGRAY,03,06,1,1,001,04,1. EVENTS THAT MADE PEOPLE WORSE OFF,yewaga neret,7. Sharp Change in Prices,,2011,75
010306010100104,3,2. URBAN,1. TIGRAY,03,06,1,1,001,04,1. EVENTS THAT MADE PEOPLE WORSE OFF,yehayel mekoraret,10. Power Outage(s),,2011,100
010306010100104,4,2. URBAN,1. TIGRAY,03,06,1,1,001,04,2. EVENTS THAT MADE PEOPLE BETTER OFF,seftenet,19. PSNP,,2010,30
010307088801303,1,1. RURAL,1. TIGRAY,03,07,8,88,013,03,2. EVENTS THAT MADE PEOPLE BETTER OFF,limat projet mezergat,12. Development Project,,2010,20
010308010100402,1,2. URBAN,1. TIGRAY,03,08,1,1,004,02,1. EVENTS THAT MADE PEOPLE WORSE OFF,ye waga niret,7. Sharp Change in Prices,,2010,70
010308010100402,2,2. URBAN,1. TIGRAY,03,08,1,1,004,02,2. EVENTS THAT MADE PEOPLE BETTER OFF,yelimat sra project,12. Development Project,,2011,9
010309010100311,1,2. URBAN,1. TIGRAY,03,09,1,1,003,11,1. EVENTS THAT MADE PEOPLE WORSE OFF,Yewaga neret,7. Sharp Change in Prices,,2011,75
010309010100311,2,2. URBAN,1. TIGRAY,03,09,1,1,003,11,2. EVENTS THAT MADE PEOPLE BETTER OFF,Yemenged sera,15. New Road,,2011,7
010401088800209,1,1. RURAL,1. TIGRAY,04,01,8,88,002,09,1. EVENTS THAT MADE PEOPLE WORSE OFF,Gorf,2. Flood,,2010,30
010401088800209,2,1. RURAL,1. TIGRAY,04,01,8,88,002,09,1. EVENTS THAT MADE PEOPLE WORSE OFF,Beredo,8. Loss of Key Social Service(s),,2010,20
010401088800209,3,1. RURAL,1. TIGRAY,04,01,8,88,002,09,1. EVENTS THAT MADE PEOPLE WORSE OFF,yewaga nret,7. Sharp Change in Prices,,2011,100
010401088800209,4,1. RURAL,1. TIGRAY,04,01,8,88,002,09,1. EVENTS THAT MADE PEOPLE WORSE OFF,gorf,2. Flood,,2011,5
010401088801804,1,1. RURAL,1. TIGRAY,04,01,8,88,018,04,1. EVENTS THAT MADE PEOPLE WORSE OFF,yewaga nret,7. Sharp Change in Prices,,2011,100
010403088800201,1,1. RURAL,1. TIGRAY,04,03,8,88,002,01,1. EVENTS THAT MADE PEOPLE WORSE OFF,drk,1. Drought,,2010,100
010403088801801,1,1. RURAL,1. TIGRAY,04,03,8,88,018,01,1. EVENTS THAT MADE PEOPLE WORSE OFF,gorf,2. Flood,,2011,30
010403088801801,2,1. RURAL,1. TIGRAY,04,03,8,88,018,01,1. EVENTS THAT MADE PEOPLE WORSE OFF,yeznab bzat,11. Other Bad (Specify),yeznab bzat,2011,100
010403088801801,3,1. RURAL,1. TIGRAY,04,03,8,88,018,01,2. EVENTS THAT MADE PEOPLE BETTER OFF,adis tmrt bet,16. New School,,2010,40
010405088800102,1,1. RURAL,1. TIGRAY,04,05,8,88,001,02,1. EVENTS THAT MADE PEOPLE WORSE OFF,gorf,2. Flood,,2010,22
010405088800102,2,1. RURAL,1. TIGRAY,04,05,8,88,001,02,1. EVENTS THAT MADE PEOPLE WORSE OFF,beredo,3. Crop Disease/Pests,,2011,13
010405088800102,3,1. RURAL,1. TIGRAY,04,05,8,88,001,02,1. EVENTS THAT MADE PEOPLE WORSE OFF,awlo nefas,8. Loss of Key Social Service(s),,2011,10
010405088800102,4,1. RURAL,1. TIGRAY,04,05,8,88,001,02,1. EVENTS THAT MADE PEOPLE WORSE OFF,gorf,2. Flood,,2011,25
010405088800102,5,1. RURAL,1. TIGRAY,04,05,8,88,001,02,2. EVENTS THAT MADE PEOPLE BETTER OFF,yewha gnbata,12. Development Project,,2011,50
010405088800102,6,1. RURAL,1. TIGRAY,04,05,8,88,001,02,2. EVENTS THAT MADE PEOPLE BETTER OFF,tmrt bet,16. New School,,2010,16
010405088800102,7,1. RURAL,1. TIGRAY,04,05,8,88,001,02,2. EVENTS THAT MADE PEOPLE BETTER OFF,yesra edl,13. New Employment Oppurtunity,,2011,40
