ea_id,cs8q00,saq14,saq01,saq02,saq03,saq04,saq05,saq06,saq07,cs8q01,cs8q02,cs8q03,cs8q00_os,cs8q04,cs8q05a,cs8q05b,cs8q05c,cs8q05d,cs8q05e,cs8q05f,cs8q05g,cs8q05h,cs8q06,cs8q07,cs8q08,cs8q09,cs8q10,cs8q10_os,cs8q11a,cs8q11b,cs8q11c,cs8q11d,cs8q11d_os
010101088800910,1. Road/Bridge,1. RURAL,1. TIGRAY,01,01,8,88,009,10,1. YES,1. YES,1. YES,,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,1. YES,1. Addressed/Being Addressed,0,,,,1. YES,1. YES,1. YES,2. NO,
010101088800910,2. Primary School,1. RURAL,1. TIGRAY,01,01,8,88,009,10,1. YES,1. YES,1. YES,,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. Addressed/Being Addressed,0,,,,1. YES,1. YES,1. YES,2. NO,
010101088800910,3. Secondary School,1. RURAL,1. TIGRAY,01,01,8,88,009,10,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010101088800910,4. Health Center/Clinic/Post,1. RURAL,1. TIGRAY,01,01,8,88,009,10,1. YES,1. YES,1. YES,,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. Addressed/Being Addressed,500000,50000,1. Voluntary,,1. YES,1. YES,2. NO,2. NO,
010101088800910,5. Piped Water/Boreholes/Wells,1. RURAL,1. TIGRAY,01,01,8,88,009,10,1. YES,1. YES,1. YES,,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,1. YES,2. NO,1. YES,1. Addressed/Being Addressed,60000,3000,1. Voluntary,,1. YES,1. YES,1. YES,2. NO,
010101088800910,6. Natural Resource Conservation,1. RURAL,1. TIGRAY,01,01,8,88,009,10,1. YES,1. YES,1. YES,,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,1. YES,1. Addressed/Being Addressed,0,,,,1. YES,1. YES,2. NO,2. NO,
010101088800910,7. Grain Mill,1. RURAL,1. TIGRAY,01,01,8,88,009,10,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010101088800910,8. Public Transportation,1. RURAL,1. TIGRAY,01,01,8,88,009,10,1. YES,1. YES,1. YES,,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. Addressed/Being Addressed,0,,,,2. NO,2. NO,2. NO,2. NO,
010101088800910,9. Agricultural/Fishery/Livestock Extension Services,1. RURAL,1. TIGRAY,01,01,8,88,009,10,1. YES,1. YES,1. YES,,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. Addressed/Being Addressed,0,,,,2. NO,1. YES,2. NO,2. NO,
010101088800910,10. Law Enforcement,1. RURAL,1. TIGRAY,01,01,8,88,009,10,1. YES,1. YES,1. YES,,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. Addressed/Being Addressed,45000,45000,1. Voluntary,,1. YES,1. YES,2. NO,2. NO,
