ea_id,saq14,saq01,saq02,saq03,saq04,saq05,saq06,saq07,cs10q01,cs10q01_oth,cs10q04a,cs10q04b,cs10q04c,cs10q05__Latitude,cs10q05__Longitude,cs10q05__Accuracy,cs10q05__Altitude,cs10q05__Timestamp
010101088800910,1. RURAL,1. TIGRAY,01,01,8,88,009,10,1. MARKETPLACE,,22,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010102088801010,1. RURAL,1. TIGRAY,01,02,8,88,010,10,1. MARKETPLACE,,17,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010103088800709,1. RURAL,1. TIGRAY,01,03,8,88,007,09,1. MARKETPLACE,,27,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010104010100101,2. URBAN,1. TIGRAY,01,04,1,1,001,01,1. MARKETPLACE,,22,10. June,2019,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010104088800405,1. RURAL,1. TIGRAY,01,04,8,88,004,05,3. OTHER (SPECIFY),kegebeya ena suk,28,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010105088800712,1. RURAL,1. TIGRAY,01,05,8,88,007,12,3. OTHER (SPECIFY),Gebeya ena Suk,16,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010105088802215,1. RURAL,1. TIGRAY,01,05,8,88,022,15,1. MARKETPLACE,,14,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010106088801204,1. RURAL,1. TIGRAY,01,06,8,88,012,04,1. MARKETPLACE,,15,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010107010100213,2. URBAN,1. TIGRAY,01,07,1,1,002,13,1. MARKETPLACE,,4,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010108010100218,2. URBAN,1. TIGRAY,01,08,1,1,002,18,1. MARKETPLACE,,21,10. June,2019,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010201088801806,1. RURAL,1. TIGRAY,02,01,8,88,018,06,1. MARKETPLACE,,25,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010202088801509,1. RURAL,1. TIGRAY,02,02,8,88,015,09,1. MARKETPLACE,,9,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010203020100103,2. URBAN,1. TIGRAY,02,03,2,1,001,03,1. MARKETPLACE,,26,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010203088800910,1. RURAL,1. TIGRAY,02,03,8,88,009,10,1. MARKETPLACE,,23,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010204088800713,1. RURAL,1. TIGRAY,02,04,8,88,007,13,1. MARKETPLACE,,23,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010205088801106,1. RURAL,1. TIGRAY,02,05,8,88,011,06,1. MARKETPLACE,,13,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010206088801508,1. RURAL,1. TIGRAY,02,06,8,88,015,08,1. MARKETPLACE,,10,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010207088802009,1. RURAL,1. TIGRAY,02,07,8,88,020,09,1. MARKETPLACE,,27,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010208088802007,1. RURAL,1. TIGRAY,02,08,8,88,020,07,2. SHOPS/STALLS,,23,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010209010100218,2. URBAN,1. TIGRAY,02,09,1,1,002,18,1. MARKETPLACE,,24,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010210088801507,1. RURAL,1. TIGRAY,02,10,8,88,015,07,1. MARKETPLACE,,22,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010211010100302,2. URBAN,1. TIGRAY,02,11,1,1,003,02,1. MARKETPLACE,,23,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010212010100510,2. URBAN,1. TIGRAY,02,12,1,1,005,10,1. MARKETPLACE,,23,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010302088800603,1. RURAL,1. TIGRAY,03,02,8,88,006,03,1. MARKETPLACE,,15,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010303088802005,1. RURAL,1. TIGRAY,03,03,8,88,020,05,1. MARKETPLACE,,24,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010304088801407,1. RURAL,1. TIGRAY,03,04,8,88,014,07,1. MARKETPLACE,,27,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010305088801602,1. RURAL,1. TIGRAY,03,05,8,88,016,02,1. MARKETPLACE,,23,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010306010100104,2. URBAN,1. TIGRAY,03,06,1,1,001,04,1. MARKETPLACE,,15,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010306088801803,1. RURAL,1. TIGRAY,03,06,8,88,018,03,2. SHOPS/STALLS,,30,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010307088801303,1. RURAL,1. TIGRAY,03,07,8,88,013,03,2. SHOPS/STALLS,,23,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010308010100402,2. URBAN,1. TIGRAY,03,08,1,1,004,02,1. MARKETPLACE,,19,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010309010100311,2. URBAN,1. TIGRAY,03,09,1,1,003,11,1. MARKETPLACE,,20,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010401088800209,1. RURAL,1. TIGRAY,04,01,8,88,002,09,1. MARKETPLACE,,15,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010401088801804,1. RURAL,1. TIGRAY,04,01,8,88,018,04,1. MARKETPLACE,,22,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010403088800201,1. RURAL,1. TIGRAY,04,03,8,88,002,01,1. MARKETPLACE,,12,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010403088801801,1. RURAL,1. TIGRAY,04,03,8,88,018,01,1. MARKETPLACE,,19,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010405010100123,2. URBAN,1. TIGRAY,04,05,1,1,001,23,1. MARKETPLACE,,26,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010405088800102,1. RURAL,1. TIGRAY,04,05,8,88,001,02,1. MARKETPLACE,,15,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010408010100204,2. URBAN,1. TIGRAY,04,08,1,1,002,04,1. MARKETPLACE,,26,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010501088800902,1. RURAL,1. TIGRAY,05,01,8,88,009,02,2. SHOPS/STALLS,,25,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010502020100102,2. URBAN,1. TIGRAY,05,02,2,1,001,02,1. MARKETPLACE,,24,10. June,2019,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010502088801410,1. RURAL,1. TIGRAY,05,02,8,88,014,10,3. OTHER (SPECIFY),gebeya ena suk,14,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010503088800803,1. RURAL,1. TIGRAY,05,03,8,88,008,03,3. OTHER (SPECIFY),tnsh gebeya ena suk,12,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010601010100215,2. URBAN,1. TIGRAY,06,01,1,1,002,15,1. MARKETPLACE,,25,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010602010100216,2. URBAN,1. TIGRAY,06,02,1,1,002,16,1. MARKETPLACE,,13,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010604010100137,2. URBAN,1. TIGRAY,06,04,1,1,001,37,1. MARKETPLACE,,29,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010605010100313,2. URBAN,1. TIGRAY,06,05,1,1,003,13,1. MARKETPLACE,,24,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010606010100423,2. URBAN,1. TIGRAY,06,06,1,1,004,23,1. MARKETPLACE,,25,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010701088802004,1. RURAL,1. TIGRAY,07,01,8,88,020,04,1. MARKETPLACE,,18,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010702010100112,2. URBAN,1. TIGRAY,07,02,1,1,001,12,1. MARKETPLACE,,23,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
010702088801409,1. RURAL,1. TIGRAY,07,02,8,88,014,09,1. MARKETPLACE,,15,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
