ea_id,saq14,saq01,saq02,saq03,saq04,saq05,saq06,saq07,cs5q01_1,cs5q01_2,cs5q01_3,cs5q01_os,cs5q02,cs5q03,cs5q04,cs5q05_1,cs5q05_2,cs5q05_os,cs5q06,cs5q07,cs5q08_1,cs5q08_2,cs5q08_os,cs5q09,cs5q10,cs5q11
010101088800910,1. RURAL,1. TIGRAY,01,01,8,88,009,10,1. Farming,,,,2. NO,,,,,,1. YES,1. Rural Areas,1. Farming,9. Professional Occupations,,2. NO,,
010102088801010,1. RURAL,1. TIGRAY,01,02,8,88,010,10,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
010103088800709,1. RURAL,1. TIGRAY,01,03,8,88,007,09,1. Farming,4. Small-Scale Trade & Service Provision,"5. Beer Brewing, Kachasu",,1. YES,20,1. Rural Areas,1. Farming,,,2. NO,,,,,2. NO,,
010104010100101,2. URBAN,1. TIGRAY,01,04,1,1,001,01,4. Small-Scale Trade & Service Provision,1. Farming,10. Civil Service,,1. YES,25,1. Rural Areas,1. Farming,11. Other (Specify),Werk mateb,1. YES,2. Urban Centres,11. Other (Specify),,Gnbara,2. NO,,
010104088800405,1. RURAL,1. TIGRAY,01,04,8,88,004,05,1. Farming,4. Small-Scale Trade & Service Provision,,,1. YES,5,2. Urban Centres,4. Small-Scale Trade & Service Provision,,,2. NO,,,,,2. NO,,
010105088800712,1. RURAL,1. TIGRAY,01,05,8,88,007,12,1. Farming,4. Small-Scale Trade & Service Provision,"5. Beer Brewing, Kachasu",,1. YES,5,2. Urban Centres,4. Small-Scale Trade & Service Provision,,,1. YES,2. Urban Centres,4. Small-Scale Trade & Service Provision,,,2. NO,,
010105088802215,1. RURAL,1. TIGRAY,01,05,8,88,022,15,1. Farming,,,,2. NO,,,,,,1. YES,1. Rural Areas,1. Farming,,,2. NO,,
010106088801204,1. RURAL,1. TIGRAY,01,06,8,88,012,04,1. Farming,,,,1. YES,5,1. Rural Areas,1. Farming,9. Professional Occupations,,2. NO,,,,,2. NO,,
010107010100213,2. URBAN,1. TIGRAY,01,07,1,1,002,13,11. Other (Specify),,,Yeken Sera,1. YES,5,2. Urban Centres,1. Farming,,,1. YES,2. Urban Centres,10. Civil Service,,,1. YES,10,5
010108010100218,2. URBAN,1. TIGRAY,01,08,1,1,002,18,10. Civil Service,9. Professional Occupations,1. Farming,,1. YES,10,2. Urban Centres,10. Civil Service,,,1. YES,2. Urban Centres,10. Civil Service,,,1. YES,30,25
010201088801806,1. RURAL,1. TIGRAY,02,01,8,88,018,06,1. Farming,,,,1. YES,1,1. Rural Areas,1. Farming,,,1. YES,1. Rural Areas,11. Other (Specify),,werk flega,2. NO,,
010202088801509,1. RURAL,1. TIGRAY,02,02,8,88,015,09,1. Farming,,,,1. YES,2,1. Rural Areas,1. Farming,,,2. NO,,,,,2. NO,,
010203020100103,2. URBAN,1. TIGRAY,02,03,2,1,001,03,1. Farming,4. Small-Scale Trade & Service Provision,10. Civil Service,,1. YES,3,1. Rural Areas,1. Farming,9. Professional Occupations,,1. YES,1. Rural Areas,9. Professional Occupations,10. Civil Service,,1. YES,1,1
010203088800910,1. RURAL,1. TIGRAY,02,03,8,88,009,10,1. Farming,,,,1. YES,2,1. Rural Areas,1. Farming,,,2. NO,,,,,2. NO,,
010204088800713,1. RURAL,1. TIGRAY,02,04,8,88,007,13,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
010205088801106,1. RURAL,1. TIGRAY,02,05,8,88,011,06,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
010206088801508,1. RURAL,1. TIGRAY,02,06,8,88,015,08,1. Farming,,,,1. YES,1,1. Rural Areas,1. Farming,9. Professional Occupations,,2. NO,,,,,2. NO,,
010207088802009,1. RURAL,1. TIGRAY,02,07,8,88,020,09,1. Farming,,,,1. YES,,2. Urban Centres,1. Farming,9. Professional Occupations,,1. YES,2. Urban Centres,10. Civil Service,,,2. NO,,
010208088802007,1. RURAL,1. TIGRAY,02,08,8,88,020,07,1. Farming,,,,1. YES,7,2. Urban Centres,11. Other (Specify),,yegulibet sira,2. NO,,,,,2. NO,,
010209010100218,2. URBAN,1. TIGRAY,02,09,1,1,002,18,1. Farming,10. Civil Service,11. Other (Specify),ken serategna,1. YES,10,1. Rural Areas,1. Farming,4. Small-Scale Trade & Service Provision,,1. YES,2. Urban Centres,10. Civil Service,,,1. YES,9,11
010210088801507,1. RURAL,1. TIGRAY,02,10,8,88,015,07,1. Farming,4. Small-Scale Trade & Service Provision,,,1. YES,25,2. Urban Centres,11. Other (Specify),,yegulibet sira,2. NO,,,,,1. YES,15,12
010211010100302,2. URBAN,1. TIGRAY,02,11,1,1,003,02,4. Small-Scale Trade & Service Provision,,,,1. YES,2,2. Urban Centres,10. Civil Service,9. Professional Occupations,,1. YES,1. Rural Areas,9. Professional Occupations,11. Other (Specify),yegulbet sra,1. YES,5,3
010212010100510,2. URBAN,1. TIGRAY,02,12,1,1,005,10,9. Professional Occupations,4. Small-Scale Trade & Service Provision,10. Civil Service,,1. YES,1,1. Rural Areas,1. Farming,,,1. YES,1. Rural Areas,9. Professional Occupations,,,1. YES,1,0
010302088800603,1. RURAL,1. TIGRAY,03,02,8,88,006,03,1. Farming,,,,1. YES,25,3. Outside Ethiopia,1. Farming,"6. Handicraft Production, Small-Scale Industry",,2. NO,,,,,2. NO,,
010303088802005,1. RURAL,1. TIGRAY,03,03,8,88,020,05,1. Farming,,,,1. YES,4,3. Outside Ethiopia,1. Farming,9. Professional Occupations,,2. NO,,,,,2. NO,,
010304088801407,1. RURAL,1. TIGRAY,03,04,8,88,014,07,1. Farming,,,,1. YES,1,1. Rural Areas,1. Farming,,,2. NO,,,,,2. NO,,
010305088801602,1. RURAL,1. TIGRAY,03,05,8,88,016,02,1. Farming,,,,1. YES,1,2. Urban Centres,1. Farming,,,1. YES,2. Urban Centres,10. Civil Service,,,2. NO,,
010306010100104,2. URBAN,1. TIGRAY,03,06,1,1,001,04,1. Farming,"5. Beer Brewing, Kachasu",9. Professional Occupations,,1. YES,5,2. Urban Centres,4. Small-Scale Trade & Service Provision,9. Professional Occupations,,1. YES,1. Rural Areas,4. Small-Scale Trade & Service Provision,9. Professional Occupations,,1. YES,45,55
010306088801803,1. RURAL,1. TIGRAY,03,06,8,88,018,03,1. Farming,"5. Beer Brewing, Kachasu",,,1. YES,10,3. Outside Ethiopia,11. Other (Specify),,gulibet sira,1. YES,1. Rural Areas,11. Other (Specify),9. Professional Occupations,gulibet sira,2. NO,,
010307088801303,1. RURAL,1. TIGRAY,03,07,8,88,013,03,1. Farming,,,,1. YES,5,2. Urban Centres,9. Professional Occupations,4. Small-Scale Trade & Service Provision,,2. NO,,,,,2. NO,,
010308010100402,2. URBAN,1. TIGRAY,03,08,1,1,004,02,"5. Beer Brewing, Kachasu",4. Small-Scale Trade & Service Provision,"6. Handicraft Production, Small-Scale Industry",,2. NO,,,,,,1. YES,1. Rural Areas,4. Small-Scale Trade & Service Provision,"5. Beer Brewing, Kachasu",,1. YES,48,52
