holder_id,household_id,parcel_id,field_id,crop_id,ea_id,saq14,pw_w4,saq01,saq02,saq03,saq04,saq05,saq06,saq07,saq08,saq09,saq15,s9q01,s9q00b,s10q01a,s10q01b,s10q01c,s10q01d,s10q01e,s10q01f,s10q01g,s10q01h,s10q01i,s10q02,s10q02a,s10q02b,s10q02c,s10q02d,s10q02e,s10q02f,s10q02g,s10q02h,s10q02i,s10q02j,s10q02k,s10q02l,s10q02m,s10q02n,s10q02o,s10q02p,s10q03a,s10q03b,s10q03c,s10q03d,s10q03e,s10q03f,s10q04,s10q05,s10q06
01010108880091000701,010101088800910007,1,2,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,7,1,1. Crop production only,áˆ›áˆ½áˆ‹,6. SORGHUM,0,,,0,,,0,,,3,1,2,2,8,2,2,2,8,3,2,2,8,,,,,0,,0,,0,,3. No,,0
01010108880091000701,010101088800910007,1,3,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,7,1,1. Crop production only,á‰ á‰†áˆŽ,2. MAIZE,0,,,0,,,0,,,2,1,3,1,2,3,3,2,2,,,,,,,,,0,,0,,0,,3. No,,0
01010108880091001701,010101088800910017,1,2,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,17,1,3. Both livestock and crop production,áˆ›áˆ½áˆ‹,6. SORGHUM,0,,,0,,,0,,,3,1,1,2,8,2,1,1,6,3,1,2,6,,,,,0,,0,,0,,3. No,,0
01010108880091001701,010101088800910017,1,3,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,17,1,3. Both livestock and crop production,á‰ áˆ­á‰ áˆ¬,38. RED PEPPER,0,,,0,,,0,,,2,1,1,1,4,2,1,1,4,,,,,,,,,0,,0,,0,,3. No,,0
01010108880091001701,010101088800910017,2,1,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,17,1,3. Both livestock and crop production,áˆ›áˆ½áˆ‹,6. SORGHUM,0,,,0,,,0,,,3,1,3,2,8,2,3,2,6,3,3,2,6,,,,,0,,0,,0,,3. No,,0
01010108880091003801,010101088800910038,1,2,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,1,3. Both livestock and crop production,á‰ á‰†áˆŽ,2. MAIZE,0,,,0,,,0,,,2,2,3,2,3,4,3,2,3,,,,,,,,,0,,0,,0,,3. No,,0
01010108880091003801,010101088800910038,2,1,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,1,3. Both livestock and crop production,áˆ›áˆ½áˆ‹,6. SORGHUM,20,1,125,0,,,0,,,9,1,3,3,8,3,3,2,8,4,3,1,7,5,1,3,8,0,,0,,0,,3. No,,300
01010108880091003801,010101088800910038,2,2,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,1,3. Both livestock and crop production,á‰ á‰€áˆŽ,2. MAIZE,0,,,0,,,0,,,5,1,2,1,2,3,1,2,4,5,2,1,2,4,2,1,3,0,,0,,0,,3. No,,0
01010108880091003801,010101088800910038,3,1,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,1,3. Both livestock and crop production,á‹³áŒ‰áˆ³,3. MILLET,14,2,130,0,,,0,,,9,1,4,3,8,2,3,3,6,3,4,3,8,4,4,2,2,0,,0,,0,,3. No,,200
01010108880091003801,010101088800910038,3,2,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,1,3. Both livestock and crop production,áˆ°áˆŠáŒ¥,27. SESAME,1,1,130,0,,,0,,,8,1,3,3,12,3,3,3,12,4,2,2,8,5,3,2,8,0,,0,,0,,3. No,,100
01010108880091003801,010101088800910038,4,1,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,1,3. Both livestock and crop production,áˆ›áŠ•áŒŽ,46. MANGOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
