household_id,assistance_cd,ea_id,saq14,pw_w4,saq01,saq02,saq03,saq04,saq05,saq06,saq07,saq08,s14q01,s14q01_os,s14q02a,s14q02b_1,s14q02b_2,s14q02b_3,s14q02b_os,s14q03,s14q04_1,s14q04_2,s14q04_os,s14q05,s14q06,s14q07,s14q08_1,s14q08_2,s14q08_3
010101088800910007,1. Direct support through PSNP ,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,7,2. NO,,,,,,,,,,,,,,,,
010101088800910007,2. Free food ,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,7,2. NO,,,,,,,,,,,,,,,,
010101088800910007,3. Other non food assistance,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,7,2. NO,,,,,,,,,,,,,,,,
010101088800910017,1. Direct support through PSNP ,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,17,2. NO,,,,,,,,,,,,,,,,
010101088800910017,2. Free food ,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,17,2. NO,,,,,,,,,,,,,,,,
010101088800910017,3. Other non food assistance,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,17,2. NO,,,,,,,,,,,,,,,,
010101088800910026,1. Direct support through PSNP ,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,26,2. NO,,,,,,,,,,,,,,,,
010101088800910026,2. Free food ,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,26,2. NO,,,,,,,,,,,,,,,,
010101088800910026,3. Other non food assistance,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,26,2. NO,,,,,,,,,,,,,,,,
010101088800910029,1. Direct support through PSNP ,010101088800910,1. RURAL,2892.689142857143,1. TIGRAY,01,01,8,88,009,10,29,2. NO,,,,,,,,,,,,,,,,
010101088800910029,2. Free food ,010101088800910,1. RURAL,2892.689142857143,1. TIGRAY,01,01,8,88,009,10,29,2. NO,,,,,,,,,,,,,,,,
010101088800910029,3. Other non food assistance,010101088800910,1. RURAL,2892.689142857143,1. TIGRAY,01,01,8,88,009,10,29,2. NO,,,,,,,,,,,,,,,,
010101088800910038,1. Direct support through PSNP ,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,2. NO,,,,,,,,,,,,,,,,
010101088800910038,2. Free food ,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,2. NO,,,,,,,,,,,,,,,,
010101088800910038,3. Other non food assistance,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,2. NO,,,,,,,,,,,,,,,,
010101088800910046,1. Direct support through PSNP ,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,46,1. YES,,,,,,,400,1. CASH,,,400,400,1. ENTIRE HOUSEHOLD,,,
010101088800910046,2. Free food ,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,46,2. NO,,,,,,,,,,,,,,,,
010101088800910046,3. Other non food assistance,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,46,2. NO,,,,,,,,,,,,,,,,
010101088800910054,1. Direct support through PSNP ,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,54,2. NO,,,,,,,,,,,,,,,,
