household_id,loan_id,ea_id,saq14,pw_w4,saq01,saq02,saq03,saq04,saq05,saq06,saq07,saq08,s15q02b,s15q02b_os,s15q03_1,s15q03_2,s15q04,s15q04_os,s15q05,s15q06a,s15q06b,s15q07,s15q08,s15q09a,s15q09b,s15q10a,s15q10b,s15q10c
010101088800910017,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,17,3. GROCERY/LOCAL MERCHANT,,1,,2. PURCHASE AGRICULTURAL INPUTS FOR FOOD CROP,,,3. NOVEMBER,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,2. NO,11. JULY,2011,188,0,188
010101088800910054,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,54,1. RELATIVE,,1,,2. PURCHASE AGRICULTURAL INPUTS FOR FOOD CROP,,,7. MARCH,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,2. NO,11. JULY,2011,150,0,150
010101088800910062,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,62,3. GROCERY/LOCAL MERCHANT,,1,2,2. PURCHASE AGRICULTURAL INPUTS FOR FOOD CROP,,,5. JANUARY,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,1. YES,,,350,0,350
010101088800910082,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,82,1. RELATIVE,,1,,2. PURCHASE AGRICULTURAL INPUTS FOR FOOD CROP,,,1. SEPTEMBER,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,1. YES,,,1500,0,1500
010104010100101012,1,010104010100101,2. URBAN,2407.01259885465,1. TIGRAY,01,04,1,1,001,01,12,10. SACCOS,,1,2,3. PURCHASE INPUTS FOR OTHER CROPS,,,10. JUNE,2010,6. ANNUALLY,2. NO,10. JUNE,2012,4000,1367,5367
010104010100101172,1,010104010100101,2. URBAN,2407.01259885465,1. TIGRAY,01,04,1,1,001,01,172,10. SACCOS,,1,2,1. PURCHASE HOUSE/LEASE LAND FOR FARMING,,,4. DECEMBER,2011,3. MONTHLY,2. NO,4. DECEMBER,2013,9000,17,9017
010104010100101188,1,010104010100101,2. URBAN,2407.01259885465,1. TIGRAY,01,04,1,1,001,01,188,7. MICROFINANCE INSTITUTION,,1,,4. PURCHASE HOUSE/LEASE LAND FOR BUSINESS,,,2. OCTOBER,2011,5. EVERY SIX MONTHS,2. NO,2. OCTOBER,2012,30000,12,30012
010104010100101236,1,010104010100101,2. URBAN,2407.01259885465,1. TIGRAY,01,04,1,1,001,01,236,7. MICROFINANCE INSTITUTION,,1,2,1. PURCHASE HOUSE/LEASE LAND FOR FARMING,,,9. MAY,2011,6. ANNUALLY,2. NO,9. MAY,2013,16000,17,16017
010105088800712054,1,010105088800712,1. RURAL,707.451149068323,1. TIGRAY,01,05,8,88,007,12,54,1. RELATIVE,,1,,11. HEALTH & EDUCATION EXPENDITURE,,,6. FEBRUARY,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,2. NO,1. SEPTEMBER,2012,16000,0,16000
010105088800712054,2,010105088800712,1. RURAL,707.451149068323,1. TIGRAY,01,05,8,88,007,12,54,7. MICROFINANCE INSTITUTION,,5,,4. PURCHASE HOUSE/LEASE LAND FOR BUSINESS,,,3. NOVEMBER,2011,2. WEEKLY,1. YES,,,13000,2173,15173
010106088801204060,1,010106088801204,1. RURAL,3321.888954703833,1. TIGRAY,01,06,8,88,012,04,60,1. RELATIVE,,1,,3. PURCHASE INPUTS FOR OTHER CROPS,,,9. MAY,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,2. NO,11. JULY,2011,150,0,150
010106088801204090,1,010106088801204,1. RURAL,3321.888954703833,1. TIGRAY,01,06,8,88,012,04,90,2. NEIGHBOR,,3,,1. PURCHASE HOUSE/LEASE LAND FOR FARMING,,,9. MAY,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,2. NO,1. SEPTEMBER,2012,1000,0,1000
010107010100213018,1,010107010100213,2. URBAN,1490.528251663642,1. TIGRAY,01,07,1,1,002,13,18,7. MICROFINANCE INSTITUTION,,1,,6. EXPANDING BUSINESS,,1,2. OCTOBER,2011,3. MONTHLY,2. NO,11. JULY,2016,52000,5000,57000
010107010100213114,1,010107010100213,2. URBAN,1490.528251663642,1. TIGRAY,01,07,1,1,002,13,114,2. NEIGHBOR,,1,,8. WORKING CAPITAL FOR NON-FARM ENTERPRISE,,1,2. OCTOBER,2011,3. MONTHLY,2. NO,3. NOVEMBER,2013,800,120,920
010108010100218017,1,010108010100218,2. URBAN,1330.009824561403,1. TIGRAY,01,08,1,1,002,18,17,7. MICROFINANCE INSTITUTION,,4,,1. PURCHASE HOUSE/LEASE LAND FOR FARMING,,,2. OCTOBER,2011,3. MONTHLY,2. NO,2. OCTOBER,2011,10000,1500,11500
010108010100218185,1,010108010100218,2. URBAN,1330.009824561403,1. TIGRAY,01,08,1,1,002,18,185,7. MICROFINANCE INSTITUTION,,1,,4. PURCHASE HOUSE/LEASE LAND FOR BUSINESS,,,11. JULY,2010,3. MONTHLY,2. NO,10. JUNE,2012,60000,10200,70200
010203020100103060,1,010203020100103,2. URBAN,1338.407676650189,1. TIGRAY,02,03,2,1,001,03,60,7. MICROFINANCE INSTITUTION,,2,,6. EXPANDING BUSINESS,,1,7. MARCH,2011,3. MONTHLY,2. NO,7. MARCH,2013,270000,43200,313200
010203020100103104,1,010203020100103,2. URBAN,1338.407676650189,1. TIGRAY,02,03,2,1,001,03,104,1. RELATIVE,,1,,6. EXPANDING BUSINESS,,1,1. SEPTEMBER,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,2. NO,11. JULY,2011,30000,0,30000
010203020100103137,1,010203020100103,2. URBAN,1338.407676650189,1. TIGRAY,02,03,2,1,001,03,137,7. MICROFINANCE INSTITUTION,,1,,12. HOUSE CONSTRUCTION/MAINTENANCES,,,3. NOVEMBER,2011,3. MONTHLY,2. NO,3. NOVEMBER,2012,50000,8000,58000
010203020100103159,1,010203020100103,2. URBAN,1338.407676650189,1. TIGRAY,02,03,2,1,001,03,159,1. RELATIVE,,1,,4. PURCHASE HOUSE/LEASE LAND FOR BUSINESS,,,10. JUNE,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,2. NO,10. JUNE,2011,1500,0,1500
010206088801508012,1,010206088801508,1. RURAL,2471.860072639226,1. TIGRAY,02,06,8,88,015,08,12,1. RELATIVE,,1,,2. PURCHASE AGRICULTURAL INPUTS FOR FOOD CROP,,,8. APRIL,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,2. NO,5. JANUARY,2013,10000,0,10000
010206088801508084,1,010206088801508,1. RURAL,2471.860072639226,1. TIGRAY,02,06,8,88,015,08,84,1. RELATIVE,,1,2,2. PURCHASE AGRICULTURAL INPUTS FOR FOOD CROP,,,2. OCTOBER,2011,5. EVERY SIX MONTHS,1. YES,,,2500,375,2875
010206088801508125,1,010206088801508,1. RURAL,2471.860072639226,1. TIGRAY,02,06,8,88,015,08,125,1. RELATIVE,,1,,2. PURCHASE AGRICULTURAL INPUTS FOR FOOD CROP,,,8. APRIL,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,1. YES,,,1000,0,1000
010211010100302092,1,010211010100302,2. URBAN,1332.803962848297,1. TIGRAY,02,11,1,1,003,02,92,7. MICROFINANCE INSTITUTION,,1,,12. HOUSE CONSTRUCTION/MAINTENANCES,,,3. NOVEMBER,2011,3. MONTHLY,2. NO,3. NOVEMBER,2016,15000,2100,17100
010211010100302142,1,010211010100302,2. URBAN,1332.803962848297,1. TIGRAY,02,11,1,1,003,02,142,7. MICROFINANCE INSTITUTION,,2,3,12. HOUSE CONSTRUCTION/MAINTENANCES,,,3. NOVEMBER,2011,3. MONTHLY,2. NO,3. NOVEMBER,2015,45000,20000,65000
010212010100510010,1,010212010100510,2. URBAN,1581.651974246995,1. TIGRAY,02,12,1,1,005,10,10,1. RELATIVE,,1,,8. WORKING CAPITAL FOR NON-FARM ENTERPRISE,,1,4. DECEMBER,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,2. NO,1. SEPTEMBER,2012,10000,0,10000
010302088800603032,1,010302088800603,1. RURAL,1854.287912087912,1. TIGRAY,03,02,8,88,006,03,32,2. NEIGHBOR,,1,,2. PURCHASE AGRICULTURAL INPUTS FOR FOOD CROP,,,9. MAY,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,1. YES,,,0,0,0
010302088800603048,1,010302088800603,1. RURAL,1854.287912087912,1. TIGRAY,03,02,8,88,006,03,48,1. RELATIVE,,1,,2. PURCHASE AGRICULTURAL INPUTS FOR FOOD CROP,,,6. FEBRUARY,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,1. YES,,,800,0,800
010302088800603064,1,010302088800603,1. RURAL,1854.287912087912,1. TIGRAY,03,02,8,88,006,03,64,1. RELATIVE,,1,,2. PURCHASE AGRICULTURAL INPUTS FOR FOOD CROP,,,9. MAY,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,2. NO,11. JULY,2011,500,0,500
010302088800603080,1,010302088800603,1. RURAL,1854.287912087912,1. TIGRAY,03,02,8,88,006,03,80,2. NEIGHBOR,,1,,2. PURCHASE AGRICULTURAL INPUTS FOR FOOD CROP,,,9. MAY,2010,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,1. YES,,,0,0,0
010304088801407007,1,010304088801407,1. RURAL,1771.406861471861,1. TIGRAY,03,04,8,88,014,07,7,2. NEIGHBOR,,1,2,2. PURCHASE AGRICULTURAL INPUTS FOR FOOD CROP,,,8. APRIL,2011,6. ANNUALLY,2. NO,11. JULY,2011,2000,0,2000
010304088801407015,1,010304088801407,1. RURAL,1771.406861471861,1. TIGRAY,03,04,8,88,014,07,15,7. MICROFINANCE INSTITUTION,,1,2,1. PURCHASE HOUSE/LEASE LAND FOR FARMING,,,2. OCTOBER,2011,5. EVERY SIX MONTHS,1. YES,,,0,6000,6000
010304088801407024,1,010304088801407,1. RURAL,1771.406861471861,1. TIGRAY,03,04,8,88,014,07,24,1. RELATIVE,,1,,2. PURCHASE AGRICULTURAL INPUTS FOR FOOD CROP,,,8. APRIL,2011,3. MONTHLY,2. NO,8. APRIL,2012,8000,2000,10000
010304088801407041,1,010304088801407,1. RURAL,1771.406861471861,1. TIGRAY,03,04,8,88,014,07,41,7. MICROFINANCE INSTITUTION,,2,,1. PURCHASE HOUSE/LEASE LAND FOR FARMING,,,10. JUNE,2010,6. ANNUALLY,2. NO,10. JUNE,2013,0,20000,20000
010306010100104002,1,010306010100104,2. URBAN,1299.734875650665,1. TIGRAY,03,06,1,1,001,04,2,3. GROCERY/LOCAL MERCHANT,,1,2,10. FOOD/NON-FOOD EXPENDITURE,,,8. APRIL,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,1. YES,,,350,0,350
010306010100104134,1,010306010100104,2. URBAN,1299.734875650665,1. TIGRAY,03,06,1,1,001,04,134,4. MONEY LENDER,,1,,7. PURCHASE NON-FARM INPUTS,,1,4. DECEMBER,2011,1. DAILY,1. YES,,,3000,0,3000
010307088801303039,1,010307088801303,1. RURAL,1847.355994659546,1. TIGRAY,03,07,8,88,013,03,39,1. RELATIVE,,1,,6. EXPANDING BUSINESS,,1,6. FEBRUARY,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,1. YES,,,0,0,0
010307088801303067,1,010307088801303,1. RURAL,1847.355994659546,1. TIGRAY,03,07,8,88,013,03,67,7. MICROFINANCE INSTITUTION,,1,,4. PURCHASE HOUSE/LEASE LAND FOR BUSINESS,,,11. JULY,2010,6. ANNUALLY,2. NO,11. JULY,2012,10000,2500,12500
010307088801303105,1,010307088801303,1. RURAL,1847.355994659546,1. TIGRAY,03,07,8,88,013,03,105,7. MICROFINANCE INSTITUTION,,1,,2. PURCHASE AGRICULTURAL INPUTS FOR FOOD CROP,,,6. FEBRUARY,2011,6. ANNUALLY,2. NO,6. FEBRUARY,2012,15000,2500,17500
