household_id,Age_Group,ea_id,saq14,pw_w4,saq01,saq02,saq03,saq04,saq05,saq06,saq07,saq08,s6bq04,s6bq05
010101088800910026,1. Children 0-5 years,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,26,2,2
010101088800910026,2. Children 6-15 years,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,26,1,1
010101088800910026,3. Adults 16-65 years,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,26,1,3
010101088800910026,4. People over 65 years old,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,26,0,
010101088800910038,1. Children 0-5 years,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,0,
010101088800910038,2. Children 6-15 years,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,4,5
010101088800910038,3. Adults 16-65 years,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,7,25
010101088800910038,4. People over 65 years old,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,0,
010101088800910046,1. Children 0-5 years,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,46,0,
010101088800910046,2. Children 6-15 years,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,46,0,
010101088800910046,3. Adults 16-65 years,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,46,3,5
010101088800910046,4. People over 65 years old,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,46,0,
010101088800910054,1. Children 0-5 years,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,54,1,2
010101088800910054,2. Children 6-15 years,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,54,0,
010101088800910054,3. Adults 16-65 years,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,54,2,2
010101088800910054,4. People over 65 years old,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,54,0,
010101088800910082,1. Children 0-5 years,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,82,1,2
010101088800910082,2. Children 6-15 years,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,82,0,
010101088800910082,3. Adults 16-65 years,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,82,1,2
010101088800910082,4. People over 65 years old,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,82,0,
010105088800712018,1. Children 0-5 years,010105088800712,1. RURAL,707.451149068323,1. TIGRAY,01,05,8,88,007,12,18,0,
010105088800712018,2. Children 6-15 years,010105088800712,1. RURAL,707.451149068323,1. TIGRAY,01,05,8,88,007,12,18,0,
010105088800712018,3. Adults 16-65 years,010105088800712,1. RURAL,707.451149068323,1. TIGRAY,01,05,8,88,007,12,18,0,
010105088800712018,4. People over 65 years old,010105088800712,1. RURAL,707.451149068323,1. TIGRAY,01,05,8,88,007,12,18,0,
010105088800712112,1. Children 0-5 years,010105088800712,1. RURAL,707.451149068323,1. TIGRAY,01,05,8,88,007,12,112,0,
010105088800712112,2. Children 6-15 years,010105088800712,1. RURAL,707.451149068323,1. TIGRAY,01,05,8,88,007,12,112,1,1
010105088800712112,3. Adults 16-65 years,010105088800712,1. RURAL,707.451149068323,1. TIGRAY,01,05,8,88,007,12,112,3,6
010105088800712112,4. People over 65 years old,010105088800712,1. RURAL,707.451149068323,1. TIGRAY,01,05,8,88,007,12,112,0,
010105088802215009,1. Children 0-5 years,010105088802215,1. RURAL,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,9,0,
010105088802215009,2. Children 6-15 years,010105088802215,1. RURAL,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,9,0,
010105088802215009,3. Adults 16-65 years,010105088802215,1. RURAL,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,9,4,2
010105088802215009,4. People over 65 years old,010105088802215,1. RURAL,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,9,0,
010105088802215025,1. Children 0-5 years,010105088802215,1. RURAL,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,25,0,
010105088802215025,2. Children 6-15 years,010105088802215,1. RURAL,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,25,1,1
010105088802215025,3. Adults 16-65 years,010105088802215,1. RURAL,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,25,2,1
010105088802215025,4. People over 65 years old,010105088802215,1. RURAL,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,25,2,1
010105088802215055,1. Children 0-5 years,010105088802215,1. RURAL,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,55,0,
010105088802215055,2. Children 6-15 years,010105088802215,1. RURAL,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,55,0,
010105088802215055,3. Adults 16-65 years,010105088802215,1. RURAL,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,55,3,2
010105088802215055,4. People over 65 years old,010105088802215,1. RURAL,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,55,0,
010105088802215070,1. Children 0-5 years,010105088802215,1. RURAL,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,70,0,
010105088802215070,2. Children 6-15 years,010105088802215,1. RURAL,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,70,0,
010105088802215070,3. Adults 16-65 years,010105088802215,1. RURAL,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,70,4,2
010105088802215070,4. People over 65 years old,010105088802215,1. RURAL,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,70,0,
010105088802215086,1. Children 0-5 years,010105088802215,1. RURAL,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,86,0,
010105088802215086,2. Children 6-15 years,010105088802215,1. RURAL,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,86,0,
010105088802215086,3. Adults 16-65 years,010105088802215,1. RURAL,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,86,4,2
010105088802215086,4. People over 65 years old,010105088802215,1. RURAL,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,86,0,
010105088802215091,1. Children 0-5 years,010105088802215,1. RURAL,4079.433406593407,1. TIGRAY,01,05,8,88,022,15,91,0,
010105088802215091,2. Children 6-15 years,010105088802215,1. RURAL,4079.433406593407,1. TIGRAY,01,05,8,88,022,15,91,1,1
010105088802215091,3. Adults 16-65 years,010105088802215,1. RURAL,4079.433406593407,1. TIGRAY,01,05,8,88,022,15,91,2,3
010105088802215091,4. People over 65 years old,010105088802215,1. RURAL,4079.433406593407,1. TIGRAY,01,05,8,88,022,15,91,0,
010105088802215104,1. Children 0-5 years,010105088802215,1. RURAL,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,104,0,
010105088802215104,2. Children 6-15 years,010105088802215,1. RURAL,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,104,0,
010105088802215104,3. Adults 16-65 years,010105088802215,1. RURAL,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,104,6,3
010105088802215104,4. People over 65 years old,010105088802215,1. RURAL,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,104,2,2
010105088802215120,1. Children 0-5 years,010105088802215,1. RURAL,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,120,0,
010105088802215120,2. Children 6-15 years,010105088802215,1. RURAL,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,120,0,
010105088802215120,3. Adults 16-65 years,010105088802215,1. RURAL,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,120,3,1
010105088802215120,4. People over 65 years old,010105088802215,1. RURAL,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,120,1,1
