household_id,ea_id,saq14,pw_w4,saq01,saq02,saq03,saq04,saq05,saq06,saq07,saq08,s8q01,s8q02a,s8q02b,s8q02c,s8q02d,s8q02e,s8q02f,s8q02g,s8q02h,s8q03a,s8q03b,s8q04,s8q05a,s8q05b,s8q05c,s8q06,s8q07__1,s8q07__2,s8q07__3,s8q07__4,s8q07__5,s8q07__6,s8q07__7,s8q07__8,s8q07__9,s8q07__10,s8q07__11,s8q07__12,s8q07__13,s8q07__14,s8q08_1,s8q08_2,s8q08_3,s8q08_os
010101088800910007,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,7,1. YES,1,1,1,0,0,1,0,0,3,,1. YES,,,,1. YES,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3. INADEQUATE HOUSEHOLD FOOD STOCKS DUE TO SMALL LAND SIZE,9. MARKET VERY FAR FROM THE VILLAGE,,
010101088800910017,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,17,2. NO,2,1,0,0,0,1,0,0,3,99. NO PEOPLE IN THE AGE GROUP,1. YES,,,,2. NO,,,,,,,,,,,,,,,,,,
010101088800910026,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,26,2. NO,1,1,1,0,0,0,0,0,3,99. NO PEOPLE IN THE AGE GROUP,1. YES,,,,2. NO,,,,,,,,,,,,,,,,,,
010101088800910029,010101088800910,1. RURAL,2892.689142857143,1. TIGRAY,01,01,8,88,009,10,29,2. NO,1,0,0,0,0,0,0,0,3,5,1. YES,,,,2. NO,,,,,,,,,,,,,,,,,,
010101088800910038,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,2. NO,0,0,0,0,0,0,0,0,3,,1. YES,,,,2. NO,,,,,,,,,,,,,,,,,,
010101088800910046,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,46,2. NO,0,0,0,0,0,0,0,1,3,5,1. YES,,,,1. YES,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3. INADEQUATE HOUSEHOLD FOOD STOCKS DUE TO SMALL LAND SIZE,8. NO FOOD IN MARKET,,
010101088800910054,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,54,2. NO,0,1,1,1,0,0,0,0,3,,1. YES,,,,2. NO,,,,,,,,,,,,,,,,,,
010101088800910062,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,62,2. NO,0,0,0,0,0,0,0,0,3,99. NO PEOPLE IN THE AGE GROUP,1. YES,,,,1. YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"5. TOOLS/DROUGHT ANIMALS,PLOUGH ETC.",,,
010101088800910070,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,70,1. YES,2,0,2,0,0,1,0,0,3,99. NO PEOPLE IN THE AGE GROUP,1. YES,,,,2. NO,,,,,,,,,,,,,,,,,,
010101088800910082,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,82,2. NO,2,2,0,0,0,0,0,0,3,4,1. YES,,,,2. NO,,,,,,,,,,,,,,,,,,
