"holder_id","household_id","parcel_id","field_id","plot_twi","plot_srtm","plot_srtmslp","dist_household"
"01010108880091000701","010101088800910007",1,1,13,1060,4,"0"
"01010108880091000701","010101088800910007",1,2,13,1060,4,"0.1"
"01010108880091000701","010101088800910007",1,3,13,1060,4,"0"
"01010108880091001701","010101088800910017",1,1,13,1060,6,"0"
"01010108880091001701","010101088800910017",1,2,13,1060,6,"0"
"01010108880091001701","010101088800910017",1,3,13,1060,5,"0"
"01010108880091001701","010101088800910017",2,1,14,1060,3,"0.7"
"01010108880091001701","010101088800910017",3,1,14,1060,3,"0.7"
"01010108880091002601","010101088800910026",1,1,12,1050,4,"0"
"01010108880091002901","010101088800910029",1,1,12,1050,4,"0"
"01010108880091003801","010101088800910038",1,1,12,1050,5,"0"
"01010108880091003801","010101088800910038",1,2,12,1050,5,"0"
"01010108880091003801","010101088800910038",2,1,12,1050,2,"0.2"
"01010108880091003801","010101088800910038",2,2,12,1050,2,"0.2"
"01010108880091003801","010101088800910038",3,1,13,1060,5,"0.7"
"01010108880091003801","010101088800910038",3,2,13,1060,5,"0.7"
"01010108880091003801","010101088800910038",4,1,16,1050,4,"3.9"
"01010108880091003801","010101088800910038",4,2,14,1060,5,"4.3"
"01010108880091003801","010101088800910038",4,3,15,1060,12,"4.6"
"01010108880091003801","010101088800910038",4,4,13,1070,12,"4.9"
"01010108880091003801","010101088800910038",4,5,12,1070,4,"5.2"
"01010108880091004601","010101088800910046",1,1,12,1050,5,"0"
"01010108880091005401","010101088800910054",1,1,14,1060,6,"0"
"01010108880091005401","010101088800910054",2,1,14,1060,6,"0"
"01010108880091005401","010101088800910054",2,2,13,1060,5,"0.1"
"01010108880091006201","010101088800910062",1,1,12,1060,12,"0"
"01010108880091006201","010101088800910062",1,2,12,1050,15,"0"
"01010108880091006201","010101088800910062",1,3,13,1060,7,"0.1"
"01010108880091006201","010101088800910062",1,4,13,1060,8,"0.1"
"01010108880091006201","010101088800910062",1,5,13,1060,8,"0.1"
"01010108880091006201","010101088800910062",1,6,12,1060,12,"0"
"01010108880091006201","010101088800910062",2,1,12,1060,3,"0.5"
"01010108880091006201","010101088800910062",2,2,12,1060,3,"0.5"
"01010108880091006201","010101088800910062",3,1,12,1060,3,"0.5"
"01010108880091006201","010101088800910062",4,1,12,1060,2,"0.5"
"01010108880091007001","010101088800910070",1,1,13,1060,5,"0"
"01010108880091007001","010101088800910070",1,2,13,1060,2,"0.1"
"01010108880091007001","010101088800910070",1,3,13,1060,9,"0"
"01010108880091007001","010101088800910070",1,4,13,1060,5,"0"
"01010108880091007001","010101088800910070",1,5,13,1060,8,"0"
"01010108880091007001","010101088800910070",1,6,13,1060,5,"0"
"01010108880091007001","010101088800910070",2,1,13,1060,4,"0.4"
"01010108880091008201","010101088800910082",1,1,12,1070,7,"0"
"01010108880091008201","010101088800910082",1,2,12,1070,7,"0"
"01010108880091008201","010101088800910082",2,1,14,1050,6,"0.6"
"01010108880091008201","010101088800910082",3,1,13,1050,5,"0.7"
"01010108880091008201","010101088800910082",3,2,15,1050,6,"0.6"
"01010108880091008301","010101088800910083",1,1,12,1060,8,"0"
"01010108880091009301","010101088800910093",1,1,13,1060,5,"0"
"01010108880091009301","010101088800910093",1,2,13,1060,7,"0"
"01010108880091009301","010101088800910093",1,3,13,1060,8,"0"
"01010108880091009301","010101088800910093",1,4,13,1060,8,"0"
"01010108880091009301","010101088800910093",1,5,13,1060,7,"0"
"01010208880101001201","010102088801010012",1,1,14,1780,2,"0"
"01010208880101003401","010102088801010034",1,1,13,1790,3,"0"
"01010208880101003501","010102088801010035",1,1,15,1790,2,"0.1"
"01010208880101003501","010102088801010035",1,2,15,1790,2,"0"
"01010208880101004801","010102088801010048",1,1,15,1790,2,"0"
"01010208880101004801","010102088801010048",1,2,13,1790,2,"0"
"01010208880101006801","010102088801010068",1,1,13,1800,3,"0"
"01010208880101006801","010102088801010068",1,2,13,1800,2,"0"
"01010208880101006801","010102088801010068",1,3,13,1800,2,"0"
"01010208880101006801","010102088801010068",1,4,13,1790,3,"0.1"
"01010208880101006801","010102088801010068",2,1,13,1790,2,"0.1"
"01010208880101006801","010102088801010068",3,1,14,1790,2,"0.2"
"01010208880101006801","010102088801010068",4,1,13,1790,2,"0.1"
"01010208880101006801","010102088801010068",5,1,14,1790,2,"0.1"
"01010208880101006801","010102088801010068",6,1,14,1790,2,"0.2"
"01010208880101006801","010102088801010068",7,1,15,1790,2,"0.2"
"01010208880101006801","010102088801010068",7,2,14,1790,2,"0.2"
"01010208880101006801","010102088801010068",7,3,14,1790,1,"0.2"
"01010208880101009001","010102088801010090",1,1,15,1790,2,"0"
"01010208880101009001","010102088801010090",1,2,15,1790,2,"0"
"01010208880101010401","010102088801010104",1,1,15,1790,3,"0.1"
"01010208880101011301","010102088801010113",1,1,15,1790,2,"0.1"
"01010208880101013601","010102088801010136",1,1,13,1800,8,"0"
"01010208880101013601","010102088801010136",1,2,13,1800,7,"0"
"01010208880101013601","010102088801010136",1,3,12,1800,7,"0"
"01010208880101014801","010102088801010148",1,1,12,1800,12,"0"
"01010208880101014801","010102088801010148",1,2,12,1800,9,"0"
"01010208880101014801","010102088801010148",1,3,13,1790,7,"0.1"
"01010208880101014801","010102088801010148",1,4,13,1790,7,"0.2"
"01010208880101014801","010102088801010148",1,5,12,1800,10,"0"
"01010208880101014801","010102088801010148",1,6,13,1790,7,"0.2"
"01010208880101014801","010102088801010148",1,7,13,1790,7,"0.2"
"01010208880101014801","010102088801010148",2,1,14,1790,2,"0.7"
"01010208880101014801","010102088801010148",3,1,15,1790,1,"0.7"
"01010208880101014801","010102088801010148",3,2,15,1790,1,"0.7"
"01010208880101014801","010102088801010148",4,1,14,1790,2,"0.7"
"01010208880101014802","010102088801010148",1,1,11,1790,13,"0.1"
"01010208880101016101","010102088801010161",1,1,13,1790,2,"0"
"01010208880101016101","010102088801010161",1,2,13,1790,2,"0"
"01010208880101016101","010102088801010161",1,3,13,1790,4,"0.3"
"01010208880101016101","010102088801010161",1,4,12,1790,2,"0"
"01010208880101016101","010102088801010161",2,1,13,1800,16,"0.9"
"01010208880101016101","010102088801010161",3,1,15,1790,7,"0.4"
"01010208880101017301","010102088801010173",1,1,13,1790,3,"0"
"01010208880101017301","010102088801010173",1,2,13,1790,3,"0"
"01010208880101017301","010102088801010173",1,3,13,1790,3,"0"
"01010208880101017301","010102088801010173",1,4,13,1790,3,"0"
"01010208880101017301","010102088801010173",2,1,16,1780,1,"1"
"01010208880101017301","010102088801010173",3,1,13,1780,2,"1"
"01010208880101017301","010102088801010173",4,1,14,1790,2,"1"
"01010208880101017301","010102088801010173",5,1,15,1790,3,"2.1"
"01010208880101017301","010102088801010173",5,2,15,1790,3,"2.1"
"01010308880070900801","010103088800709008",1,1,11,1980,8,"0"
"01010308880070900801","010103088800709008",1,2,12,1980,13,"0.1"
"01010308880070900801","010103088800709008",1,3,12,1990,14,"0.1"
"01010308880070900801","010103088800709008",1,4,12,1980,12,"0.1"
"01010308880070900801","010103088800709008",1,5,12,1980,12,"0.1"
"01010308880070900801","010103088800709008",2,1,18,1960,3,"1"
"01010308880070900801","010103088800709008",3,1,14,1950,6,"1"
"01010308880070900801","010103088800709008",4,1,13,1980,11,"0.3"
"01010308880070900801","010103088800709008",4,2,12,1980,9,"0.2"
"01010308880070901601","010103088800709016",1,1,12,1990,13,"0"
"01010308880070901601","010103088800709016",1,2,12,1990,13,"0"
"01010308880070901601","010103088800709016",1,3,12,1990,14,"0"
"01010308880070901601","010103088800709016",2,1,13,1970,4,"0.9"
"01010308880070901601","010103088800709016",4,1,11,2030,20,"0.5"
"01010308880070902401","010103088800709024",1,1,12,1980,9,"0"
"01010308880070902401","010103088800709024",1,2,12,1980,8,"0"
"01010308880070902401","010103088800709024",1,3,12,1980,9,"0"
"01010308880070902401","010103088800709024",1,5,12,1980,8,"0"
"01010308880070902401","010103088800709024",2,1,14,1970,3,"0.2"
"01010308880070902401","010103088800709024",5,1,16,1940,10,"1.3"
"01010308880070903201","010103088800709032",1,1,13,2010,15,"0.1"
"01010308880070903201","010103088800709032",1,2,13,2010,16,"0"
"01010308880070903201","010103088800709032",1,3,13,2010,16,"0"
"01010308880070903201","010103088800709032",1,4,13,2010,16,"0"
"01010308880070903201","010103088800709032",1,5,13,2010,16,"0"
"01010308880070903201","010103088800709032",1,6,12,2010,15,"0.1"
"01010308880070903202","010103088800709032",1,1,13,2010,16,"0.1"
"01010308880070903202","010103088800709032",1,2,13,2010,16,"0.1"
"01010308880070903202","010103088800709032",1,3,12,2020,16,"0.1"
"01010308880070904001","010103088800709040",1,1,10,2030,34,"0"
"01010308880070904001","010103088800709040",1,2,10,2010,28,"0"
"01010308880070904001","010103088800709040",1,3,10,2010,27,"0.1"
"01010308880070904001","010103088800709040",1,4,10,2010,27,"0.1"
"01010308880070904001","010103088800709040",1,5,10,2010,27,"0.1"
"01010308880070904001","010103088800709040",1,6,11,2010,26,"0.1"
"01010308880070904001","010103088800709040",1,7,10,2000,23,"0.1"
"01010308880070904001","010103088800709040",2,1,15,1970,5,"0.7"
"01010308880070904001","010103088800709040",2,2,15,1970,5,"0.7"
"01010308880070904001","010103088800709040",3,1,13,1970,5,"0.9"
