holder_id,household_id,harvestedcrop_id,ea_id,saq14,pw_w4,saq01,saq02,saq03,saq04,saq05,saq06,saq07,saq08,saq09,saq15,s11q00a,s11q01,s11q02a1,s11q02a2,s11q02b1,s11q02b2,s11q03a1,s11q03a2,s11q03a2_os,s11q04,s11q07,s11q08_1,s11q08_2,s11q09_1,s11q09_2,s11q10,s11q10_os,s11q11a,s11q11b,s11q11b_os,s11q12,s11q13_1,s11q13_2,s11q14a,s11q14b,s11q15,s11q16,s11q16_os,s11q17,s11q18a1,s11q18a2,s11q18a2_os,s11q19a1,s11q19a2,s11q19a2_os,s11q20a1,s11q20a2,s11q20a2_os,s11q21a1,s11q21a2,s11q21a2_os,s11q21a3,s11q22_1,s11q22_2,s11q22_os,s11q23,s11q24,s11q24_os,s11q25,s11q25a,s11q25a_os,s11q26_1,s11q26_2,s11q26_os,s11q27a,s11q27b,s11q27c,s11q27d,s11q27e
01010108880091000701,010101088800910007,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,7,1,1. Crop production only,áˆ›áˆ½áˆ‹,6. SORGHUM,,,,,4,123. Madaberia/Nuse/Shera/Cheret Large,,,2. NO,,,,,,,,,,,,,,,,,,,1,123. Madaberia/Nuse/Shera/Cheret Large,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,3,123. Madaberia/Nuse/Shera/Cheret Large,,5. ELEVATION,,,0,95,0,5,100
01010108880091000701,010101088800910007,2,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,7,1,1. Crop production only,á‰ á‰†áˆŽ,2. MAIZE,,,,,25,1. Kilogram,,,2. NO,,,,,,,,,,,,,,,,,,,20,1. Kilogram,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,5,1. Kilogram,,4. DID NOTHING,,,0,0,0,100,100
01010108880091001701,010101088800910017,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,17,1,3. Both livestock and crop production,áˆ›áˆ½áˆ‹,6. SORGHUM,,,,,178,1. Kilogram,,,2. NO,,,,,,,,,,,,,,,,,,,66,1. Kilogram,,0,,,0,,,24,182. Tasa/Tanika/Shember/Selemon Medium,,,2. INSECTS,,,1. YES,2. Heaped in House,,132,182. Tasa/Tanika/Shember/Selemon Medium,,4. DID NOTHING,,,0,95,0,5,100
01010108880091001701,010101088800910017,2,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,17,1,3. Both livestock and crop production,á‰ áˆ­á‰ áˆ¬,38. RED PEPPER,,,,,5,1. Kilogram,,,2. NO,,,,,,,,,,,,,,,,,,,3,1. Kilogram,,0,,,0,,,0,,,,,,,1. YES,2. Heaped in House,,2,1. Kilogram,,4. DID NOTHING,,,0,100,0,0,100
01010108880091003801,010101088800910038,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,1,3. Both livestock and crop production,áˆ›áˆ½áˆ‹,6. SORGHUM,,,,,10,3. Quintal,,,2. NO,,,,,,,,,,,,,,,,,,,2,3. Quintal,,0,,,0,,,0,,,,,,,1. YES,1. Unprotected Pile,,8,3. Quintal,,4. DID NOTHING,5. ELEVATION,,0,95,0,5,100
01010108880091003801,010101088800910038,2,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,1,3. Both livestock and crop production,áˆ°áˆŠáŒ¥,27. SESAME,,,,,115,1. Kilogram,,,1. YES,1,2,1,,4. LOCAL MARKET,,115,1. Kilogram,,4500,1,,3. November,2011,1,2. TRANSPORT,,80,0,,,0,,,0,,,0,,,,,,,2. NO,,,,,,,,,,,,,
01010108880091003801,010101088800910038,3,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,1,3. Both livestock and crop production,á‰ á‰†áˆŽ,2. MAIZE,,,,,40,1. Kilogram,,,2. NO,,,,,,,,,,,,,,,,,,,25,1. Kilogram,,0,,,15,1. Kilogram,,0,,,,,,,2. NO,,,,,,,,,,,,,
01010108880091003801,010101088800910038,5,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,1,3. Both livestock and crop production,á“á“á‹«,48. PAPAYA,2. 2011,1. September,2. 2011,5. January,50,1. Kilogram,,2,1. YES,1,2,1,,9. ROADSIDE,,50,1. Kilogram,,150,1,,2. October,2011,3,1. On Foot,,0,15,1. Kilogram,,0,,,0,,,30,1. Kilogram,,,3. RODENTS/PESTS,,,2. NO,,,,,,,,,,,,,
01010108880091003801,010101088800910038,6,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,1,3. Both livestock and crop production,á‰ áˆ­á‰ áˆ¬,38. RED PEPPER,,,,,5,1. Kilogram,,,2. NO,,,,,,,,,,,,,,,,,,,5,1. Kilogram,,0,,,0,,,0,,,,,,,2. NO,,,,,,,,,,,,,
01010108880091003801,010101088800910038,7,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,1,3. Both livestock and crop production,á‹³áŒ‰áˆ³,3. MILLET,,,,,100,1. Kilogram,,,2. NO,,,,,,,,,,,,,,,,,,,35,1. Kilogram,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,65,1. Kilogram,,4. DID NOTHING,,,0,95,0,5,100
