household_id,individual_id,phone_id,ea_id,saq14,pw_w4,saq01,saq02,saq03,saq04,saq05,saq06,saq07,saq08,Name_mobile,s11b_ind_03a,s11b_ind_04a_1,s11b_ind_04a_2,s11b_ind_04a_3,s11b_ind_03b,s11b_ind_04b,s11b_ind_04c,s11b_ind_05,s11b_ind_06,s11b_ind_07,s11b_ind_08
010101088800910026,8,0,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,26,itel 5020,2. NO,,,,,,,1. YES,2. NO,2. NO,800
010101088800910038,1,0,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,Tana G5319,2. NO,,,,,,,1. YES,2. NO,2. NO,140
010101088800910093,2,0,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,93,Tecno,1. YES,3,,,2. NO,,,1. YES,2. NO,2. NO,800
010102088801010035,1,0,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,35,agaks,2. NO,,,,,,,1. YES,2. NO,2. NO,100
010102088801010048,1,0,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,48,nkoya,2. NO,,,,,,,1. YES,1. YES,1. YES,500
010102088801010090,1,0,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,90,tecno,2. NO,,,,,,,1. YES,2. NO,2. NO,300
010102088801010104,1,0,010102088801010,1. RURAL,4968.359214830971,1. TIGRAY,01,02,8,88,010,10,104,itel,2. NO,,,,,,,1. YES,1. YES,2. NO,600
010102088801010113,1,0,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,113,itel,2. NO,,,,,,,1. YES,1. YES,2. NO,200
010102088801010173,1,0,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,173,itel,2. NO,,,,,,,1. YES,1. YES,1. YES,250
010103088800709016,6,0,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,16,tecno,2. NO,,,,,,,1. YES,1. YES,2. NO,400
010103088800709024,2,0,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,24,techno,2. NO,,,,,,,1. YES,2. NO,2. NO,1000
010103088800709032,2,0,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,32,nokia,2. NO,,,,,,,1. YES,2. NO,2. NO,400
010103088800709040,3,0,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,40,techno,2. NO,,,,,,,1. YES,98. DON'T KNOW,2. NO,600
010103088800709056,1,0,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,56,techno,2. NO,,,,,,,1. YES,1. YES,2. NO,500
010103088800709072,1,0,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,72,nokia,2. NO,,,,,,,1. YES,1. YES,2. NO,600
010104010100101012,3,0,010104010100101,2. URBAN,2407.01259885465,1. TIGRAY,01,04,1,1,001,01,12,tecno,2. NO,,,,,,,1. YES,1. YES,2. NO,450
010104010100101028,3,0,010104010100101,2. URBAN,2407.01259885465,1. TIGRAY,01,04,1,1,001,01,28,tecno,2. NO,,,,,,,1. YES,1. YES,2. NO,750
010104010100101044,1,0,010104010100101,2. URBAN,2407.01259885465,1. TIGRAY,01,04,1,1,001,01,44,tecno,2. NO,,,,,,,1. YES,2. NO,2. NO,600
010104010100101060,1,0,010104010100101,2. URBAN,2407.01259885465,1. TIGRAY,01,04,1,1,001,01,60,Tecno,2. NO,,,,,,,1. YES,1. YES,2. NO,500
010104010100101060,2,0,010104010100101,2. URBAN,2407.01259885465,1. TIGRAY,01,04,1,1,001,01,60,itel,2. NO,,,,,,,1. YES,1. YES,2. NO,700
010104010100101076,1,0,010104010100101,2. URBAN,2407.01259885465,1. TIGRAY,01,04,1,1,001,01,76,itel,2. NO,,,,,,,1. YES,1. YES,2. NO,700
010104010100101092,1,0,010104010100101,2. URBAN,2407.01259885465,1. TIGRAY,01,04,1,1,001,01,92,tecno,1. YES,2,,,1. YES,0,0,1. YES,1. YES,2. NO,600
010104010100101108,1,0,010104010100101,2. URBAN,2407.01259885465,1. TIGRAY,01,04,1,1,001,01,108,itel,1. YES,2,,,1. YES,0,0,1. YES,1. YES,2. NO,750
010104010100101108,2,0,010104010100101,2. URBAN,2407.01259885465,1. TIGRAY,01,04,1,1,001,01,108,itel,1. YES,1,,,1. YES,0,0,1. YES,1. YES,2. NO,750
010104010100101140,1,0,010104010100101,2. URBAN,2407.01259885465,1. TIGRAY,01,04,1,1,001,01,140,tecno,2. NO,,,,,,,1. YES,1. YES,2. NO,550
010104010100101156,1,0,010104010100101,2. URBAN,2407.01259885465,1. TIGRAY,01,04,1,1,001,01,156,tecno,1. YES,2,,,1. YES,0,1,1. YES,1. YES,2. NO,300
010104010100101156,2,0,010104010100101,2. URBAN,2407.01259885465,1. TIGRAY,01,04,1,1,001,01,156,tecno,1. YES,1,,,1. YES,0,0,1. YES,1. YES,2. NO,300
010104010100101156,3,0,010104010100101,2. URBAN,2407.01259885465,1. TIGRAY,01,04,1,1,001,01,156,tecno,2. NO,,,,,,,1. YES,1. YES,2. NO,500
010104010100101172,1,0,010104010100101,2. URBAN,2407.01259885465,1. TIGRAY,01,04,1,1,001,01,172,Itel,2. NO,,,,,,,1. YES,1. YES,2. NO,600
010104010100101188,1,0,010104010100101,2. URBAN,2407.01259885465,1. TIGRAY,01,04,1,1,001,01,188,ajaxis,2. NO,,,,,,,1. YES,1. YES,2. NO,500
010104010100101204,1,0,010104010100101,2. URBAN,2407.01259885465,1. TIGRAY,01,04,1,1,001,01,204,tecno,2. NO,,,,,,,1. YES,1. YES,2. NO,600
010104010100101220,1,0,010104010100101,2. URBAN,2407.01259885465,1. TIGRAY,01,04,1,1,001,01,220,sumsung,2. NO,,,,,,,1. YES,1. YES,2. NO,7000
010104010100101220,2,0,010104010100101,2. URBAN,2407.01259885465,1. TIGRAY,01,04,1,1,001,01,220,Nokia,2. NO,,,,,,,1. YES,1. YES,2. NO,500
010104010100101236,1,0,010104010100101,2. URBAN,2407.01259885465,1. TIGRAY,01,04,1,1,001,01,236,ethio telecom,2. NO,,,,,,,1. YES,1. YES,2. NO,500
010104088800405010,1,0,010104088800405,1. RURAL,1548.398081334724,1. TIGRAY,01,04,8,88,004,05,10,agakis,2. NO,,,,,,,1. YES,2. NO,2. NO,300
010104088800405056,1,0,010104088800405,1. RURAL,1548.398081334724,1. TIGRAY,01,04,8,88,004,05,56,tecno,2. NO,,,,,,,1. YES,1. YES,2. NO,600
010104088800405056,2,0,010104088800405,1. RURAL,1548.398081334724,1. TIGRAY,01,04,8,88,004,05,56,tecno,2. NO,,,,,,,1. YES,1. YES,1. YES,3000
010104088800405091,1,0,010104088800405,1. RURAL,1548.398081334724,1. TIGRAY,01,04,8,88,004,05,91,tecno,2. NO,,,,,,,1. YES,2. NO,2. NO,500
010104088800405098,2,0,010104088800405,1. RURAL,5014.698331595412,1. TIGRAY,01,04,8,88,004,05,98,tele,2. NO,,,,,,,2. NO,,,600
010104088800405098,2,1,010104088800405,1. RURAL,5014.698331595412,1. TIGRAY,01,04,8,88,004,05,98,Itel,2. NO,,,,,,,98. DON'T KNOW,,,650
010105088800712018,1,0,010105088800712,1. RURAL,707.451149068323,1. TIGRAY,01,05,8,88,007,12,18,itel,2. NO,,,,,,,1. YES,1. YES,2. NO,300
010105088800712045,1,0,010105088800712,1. RURAL,707.451149068323,1. TIGRAY,01,05,8,88,007,12,45,itel,2. NO,,,,,,,1. YES,1. YES,2. NO,400
010105088800712049,1,0,010105088800712,1. RURAL,707.451149068323,1. TIGRAY,01,05,8,88,007,12,49,Techno,2. NO,,,,,,,1. YES,1. YES,2. NO,600
010105088800712049,2,0,010105088800712,1. RURAL,707.451149068323,1. TIGRAY,01,05,8,88,007,12,49,pritel,2. NO,,,,,,,1. YES,1. YES,2. NO,300
010105088800712050,1,0,010105088800712,1. RURAL,14542.05139751553,1. TIGRAY,01,05,8,88,007,12,50,itel,2. NO,,,,,,,1. YES,98. DON'T KNOW,2. NO,300
010105088800712054,1,0,010105088800712,1. RURAL,707.451149068323,1. TIGRAY,01,05,8,88,007,12,54,Nokia,2. NO,,,,,,,1. YES,1. YES,2. NO,350
010105088800712054,3,0,010105088800712,1. RURAL,707.451149068323,1. TIGRAY,01,05,8,88,007,12,54,sumsung,2. NO,,,,,,,1. YES,1. YES,2. NO,6500
010105088800712061,1,0,010105088800712,1. RURAL,707.451149068323,1. TIGRAY,01,05,8,88,007,12,61,sumsung,2. NO,,,,,,,1. YES,1. YES,2. NO,3000
010105088800712072,1,0,010105088800712,1. RURAL,707.451149068323,1. TIGRAY,01,05,8,88,007,12,72,Techno,2. NO,,,,,,,1. YES,1. YES,2. NO,250
010105088800712079,1,0,010105088800712,1. RURAL,707.451149068323,1. TIGRAY,01,05,8,88,007,12,79,Hawiel,2. NO,,,,,,,1. YES,1. YES,2. NO,3000
010105088802215009,1,0,010105088802215,1. RURAL,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,9,itel,2. NO,,,,,,,1. YES,1. YES,1. YES,200
010105088802215009,2,0,010105088802215,1. RURAL,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,9,Tecno,2. NO,,,,,,,1. YES,1. YES,1. YES,250
010105088802215025,1,0,010105088802215,1. RURAL,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,25,Tecno,2. NO,,,,,,,1. YES,1. YES,1. YES,500
010105088802215055,1,0,010105088802215,1. RURAL,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,55,Tecno,2. NO,,,,,,,1. YES,1. YES,1. YES,2500
