holder_id,household_id,parcel_id,ea_id,saq14,pw_w4,saq01,saq02,saq03,saq04,saq05,saq06,saq07,saq08,saq09,saq15,s2q01,s2q01a,s2q02,s2q03,s2q04a_1,s2q04a_2,s2q04a_os,s2q04b_1,s2q04b_2,s2q04b_3,s2q04b_4,s2q05,s2q05_os,s2q06,s2q07_1,s2q07_2,s2q08,s2q09_1,s2q09_2,s2q10a,s2q10b,s2q10c,s2q11,s2q11_os,s2q12_1,s2q12_2,s2q12_os,s2q13,s2q14,s2q15a,s2q15b,s2q15c,s2q16,s2q16_os,s2q17
01010108880091000701,010101088800910007,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,7,1,1. crop production only,**CONFIDENTIAL**,3,2,2. NO,,,,,,,,4. Borrowed for Free,,,,,,,,,,,3. Full Year,,1. RELATIVE,2. FRIEND/NEIGHBOR,,,,,,,4. Luvisol,,2. Fair
01010108880091001701,010101088800910017,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,17,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,3,1. YES,1. TITLE DEED,2. CERTIFICATE OF CUSTOMARY OWNERSHIP,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,4. No,2500,,,,4. Luvisol,,3. Poor
01010108880091001701,010101088800910017,2,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,17,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,2. NO,,,,,,,,3. Rent,,,,,,,,1500,0,,1. Main Season,,1. RELATIVE,2. FRIEND/NEIGHBOR,,,,,,,3. Vertisol.,,2. Fair
01010108880091001701,010101088800910017,3,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,17,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,2. CERTIFICATE OF CUSTOMARY OWNERSHIP,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,4. No,1500,,,,5. Mixed type,,2. Fair
01010108880091002601,010101088800910026,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,26,1,2. livestock only ,**CONFIDENTIAL**,1,1,2. NO,,,,,,,,3. Rent,,,,,,,,1200,0,,3. Full Year,,1. RELATIVE,2. FRIEND/NEIGHBOR,,,,,,,"7. OTHER PARCEL USE (BARN, RESIDENTIAL, ETC.)",,
01010108880091002901,010101088800910029,1,010101088800910,1. RURAL,2892.689142857143,1. TIGRAY,01,01,8,88,009,10,29,1,4. none ,**CONFIDENTIAL**,1,1,2. NO,,,,,,,,3. Rent,,,,,,,,600,0,,3. Full Year,,2. FRIEND/NEIGHBOR,,,,,,,,4. Luvisol,,3. Poor
01010108880091003801,010101088800910038,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,2,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,4. No,3000,,,,4. Luvisol,,3. Poor
01010108880091003801,010101088800910038,2,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,2,2. NO,,,,,,,,1. Granted by Local Leaders,,2. NO,,,2. NO,,,,,,,,,,,4. No,1200,,,,5. Mixed type,,2. Fair
01010108880091003801,010101088800910038,3,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,2,2. NO,,,,,,,,3. Rent,,,,,,,,1500,0,,1. Main Season,,1. RELATIVE,2. FRIEND/NEIGHBOR,,,,,,,3. Vertisol.,,2. Fair
01010108880091003801,010101088800910038,4,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,5,2. NO,,,,,,,,1. Granted by Local Leaders,,2. NO,,,2. NO,,,,,,,,,,,4. No,5000,,,,4. Luvisol,,2. Fair
01010108880091004601,010101088800910046,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,46,1,2. livestock only ,**CONFIDENTIAL**,1,1,2. NO,,,,,,,,3. Rent,,,,,,,,480,0,,3. Full Year,,1. RELATIVE,2. FRIEND/NEIGHBOR,,,,,,,"7. OTHER PARCEL USE (BARN, RESIDENTIAL, ETC.)",,
01010108880091005401,010101088800910054,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,54,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,2. NO,,,,,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,4. No,1500,,,,4. Luvisol,,2. Fair
01010108880091005401,010101088800910054,2,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,54,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,2,2. NO,,,,,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,4. No,2000,,,,4. Luvisol,,2. Fair
01010108880091006201,010101088800910062,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,62,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,5,2. NO,,,,,,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,10000,,,,4. Luvisol,,2. Fair
01010108880091006201,010101088800910062,2,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,62,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,2,2. NO,,,,,,,,3. Rent,,,,,,,,2000,0,,1. Main Season,,1. RELATIVE,2. FRIEND/NEIGHBOR,,,,,,,4. Luvisol,,2. Fair
