household_id,enterprise_id,ea_id,pw_w4,saq01,saq02,saq03,saq04,saq05,saq06,saq07,saq08,saq14,s12bq01a,s12bq01b,s12bq01c,s12bq02,s12bq02_os,s12bq03_1,s12bq03_2,s12bq04,s12bq05,s12bq06_1,s12bq06_2,s12bq07_1,s12bq07_2,s12bq07_os,s12bq08a,s12bq08b,s12bq09_1,s12bq09_2,s12bq09_os,s12bq10,s12bq11_1,s12bq11_2,s12bq11_3,s12bq12,s12bq13,s12bq14,s12bq15a1,s12bq15a2_1,s12bq15a2_2,s12bq15a2_3,s12bq15b1,s12bq15b2_1,s12bq15b2_2,s12bq15b2_3,s12bq16,s12bq17a,s12bq17b,s12bq17c,s12bq17d,s12bq17e,s12bq17f,s12bq18,s12bq19,s12bq20,s12bq21,s12bq22,s12bq23,s12bq24,s12bq25_1,s12bq25_2,s12bq25_3,s12bq25_os
010101088800910029,1,010101088800910,2892.689142857143,1. TIGRAY,01,01,8,88,009,10,29,1. RURAL,Beauty salon,96. OTHER PERSONAL SERVICE ACTIVITIES,,"1. HOME, INSIDE RESIDENCE",,1,,1. YES,,1,,7. FAMILY OR FRIENDS LOCATED IN THIS COMMUNITY,,,6. FEBRUARY,2008,1. LOCAL CONSUMERS OR PASSERS-BY,,,1. YES,5. JANUARY,8. APRIL,1. SEPTEMBER,8,20,0,2. NO,,,,2. NO,,,,1000,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,80,81. MARKETS - ACCESS TO MARKETS (DISTANCE AND COST),82. MARKETS - DIFFICULTY TO OBTAIN INFORMATION ON YOUR PRODUCT'S MARKET,,
010101088800910054,1,010101088800910,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,54,1. RURAL,Producing and selling Enjera,10. MANUFACTURE OF FOOD PRODUCTS,,"1. HOME, INSIDE RESIDENCE",,1,,1. YES,,1,,7. FAMILY OR FRIENDS LOCATED IN THIS COMMUNITY,8. PRIVATE MONEYLENDERS,,4. DECEMBER,2011,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,3,15,0,2. NO,,,,1. YES,1,2,,300,0. NONE,50,0. NONE,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,0. NONE,31. WATER - ACCESS,81. MARKETS - ACCESS TO MARKETS (DISTANCE AND COST),86. MARKETS - DIFFICULTY TO OBTAIN INPUTS,
010102088801010090,1,010102088801010,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,90,1. RURAL,Beauty salon,96. OTHER PERSONAL SERVICE ACTIVITIES,,"2. HOME, OUTSIDE RESIDENCE",,1,,1. YES,,1,,10. OTHER (SPECIFY),7. FAMILY OR FRIENDS LOCATED IN THIS COMMUNITY,yelem,6. FEBRUARY,2010,1. LOCAL CONSUMERS OR PASSERS-BY,,,1. YES,8. APRIL,,,5,10,0,2. NO,,,,2. NO,,,,300,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,50,141. NONE,,,
010102088801010113,1,010102088801010,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,113,1. RURAL,Restaurant,56. FOOD AND BEVERAGE SERVICE ACTIVITIES,,"1. HOME, INSIDE RESIDENCE",,1,,1. YES,,1,,5. SALE OF ASSETS,,,11. JULY,2010,1. LOCAL CONSUMERS OR PASSERS-BY,,,1. YES,3. NOVEMBER,5. JANUARY,,12,4,0,2. NO,,,,2. NO,,,,50,0. NONE,0. NONE,0. NONE,400,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,10,141. NONE,,,
010103088800709056,1,010103088800709,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,56,1. RURAL,Retailer,"47. RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",,3. TRADITIONAL MARKET,,1,,1. YES,,1,,1. AGRICULTURAL INCOME,,,4. DECEMBER,2000,2. MARKET,,,1. YES,9. MAY,10. JUNE,,3,5,0,2. NO,,,,2. NO,,,,5000,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,15,63. TRANSPORT - COST,64. TRANSPORT - FACILITIES TO TRANSPORT GOODS,84. MARKETS - ACCESS TO INPUT MARKETS (DISTANCE AND COST),
010104010100101028,1,010104010100101,2407.01259885465,1. TIGRAY,01,04,1,1,001,01,28,2. URBAN,Retailer,"47. RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",,5. ROADSIDE,,1,,1. YES,,1,,1. AGRICULTURAL INCOME,,,1. SEPTEMBER,2010,1. LOCAL CONSUMERS OR PASSERS-BY,,,1. YES,5. JANUARY,,,11,25,0,2. NO,,,,1. YES,4,1,,1000,0. NONE,300,200,0. NONE,0. NONE,0. NONE,2. NO,,1. YES,20,2. NO,,50,72. FINANCIAL SERVICES - POSSIBILITY TO BORROW FROM FORMAL FINANCIAL INSTITUTIONS,,,
010104010100101060,1,010104010100101,2407.01259885465,1. TIGRAY,01,04,1,1,001,01,60,2. URBAN,Beauty salon,96. OTHER PERSONAL SERVICE ACTIVITIES,,"2. HOME, OUTSIDE RESIDENCE",,1,,1. YES,,1,,1. AGRICULTURAL INCOME,,,3. NOVEMBER,2006,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,12,20,0,2. NO,,,,1. YES,1,,,70,0. NONE,6000,6000,100,15,0. NONE,2. NO,,1. YES,15,1. YES,15,95,12. ELECTRICITY - QUALITY,,,
010104010100101140,1,010104010100101,2407.01259885465,1. TIGRAY,01,04,1,1,001,01,140,2. URBAN,Retailer,"47. RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",,3. TRADITIONAL MARKET,,2,,1. YES,,2,,3. WAGE OR SALARY INCOME,,,3. NOVEMBER,2010,1. LOCAL CONSUMERS OR PASSERS-BY,,,1. YES,5. JANUARY,,,7,20,0,2. NO,,,,2. NO,,,,100,0. NONE,150,100,25,100,0. NONE,1. YES,50,2. NO,,2. NO,,20,131. TAXATION - HIGH TAXES,64. TRANSPORT - FACILITIES TO TRANSPORT GOODS,86. MARKETS - DIFFICULTY TO OBTAIN INPUTS,
010104088800405098,1,010104088800405,5014.698331595412,1. TIGRAY,01,04,8,88,004,05,98,1. RURAL,Coffee house,56. FOOD AND BEVERAGE SERVICE ACTIVITIES,,"1. HOME, INSIDE RESIDENCE",,2,,1. YES,,2,,1. AGRICULTURAL INCOME,,,9. MAY,2011,1. LOCAL CONSUMERS OR PASSERS-BY,,,1. YES,9. MAY,,,2,10,0,2. NO,,,,2. NO,,,,20,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,0. NONE,141. NONE,,,
010105088800712018,1,010105088800712,707.451149068323,1. TIGRAY,01,05,8,88,007,12,18,1. RURAL,Producing and selling local beer,11. MANUFACTURE OF BEVERAGES,,"1. HOME, INSIDE RESIDENCE",,2,,1. YES,,2,,8. PRIVATE MONEYLENDERS,,,2. OCTOBER,2006,1. LOCAL CONSUMERS OR PASSERS-BY,,,1. YES,6. FEBRUARY,7. MARCH,9. MAY,8,8,0,2. NO,,,,2. NO,,,,2808,0. NONE,0. NONE,1808,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,25,33. WATER - COST,140. OTHER (SPECIFY),,wektawi mehone
